r (km)   	 u (km/s) 	 cs (km/s) 	 rho (g/cm3) 	 T (K)    	 P (dyne/cm2) 	 phi      	 L (erg/s) 	 L* (erg/s) 	 E (erg) 
1.200e+01 	 1.929e-05 	 2.825e+03 	 4.461e+04 	 1.287e+09 	 1.286e+22 	 1.465e+08 	 8.824e+38 	 5.767e+38 	 2.976e+22
1.200e+01 	 1.949e-05 	 2.822e+03 	 4.415e+04 	 1.285e+09 	 1.273e+22 	 1.448e+08 	 8.824e+38 	 5.767e+38 	 2.949e+22
1.200e+01 	 1.970e-05 	 2.819e+03 	 4.369e+04 	 1.282e+09 	 1.260e+22 	 1.431e+08 	 8.824e+38 	 5.767e+38 	 2.921e+22
1.200e+01 	 1.990e-05 	 2.816e+03 	 4.323e+04 	 1.279e+09 	 1.247e+22 	 1.415e+08 	 8.824e+38 	 5.767e+38 	 2.893e+22
1.200e+01 	 2.011e-05 	 2.813e+03 	 4.278e+04 	 1.277e+09 	 1.235e+22 	 1.399e+08 	 8.824e+38 	 5.767e+38 	 2.865e+22
1.200e+01 	 2.032e-05 	 2.810e+03 	 4.234e+04 	 1.274e+09 	 1.222e+22 	 1.383e+08 	 8.824e+38 	 5.767e+38 	 2.836e+22
1.200e+01 	 2.054e-05 	 2.807e+03 	 4.190e+04 	 1.271e+09 	 1.209e+22 	 1.367e+08 	 8.824e+38 	 5.767e+38 	 2.808e+22
1.200e+01 	 2.075e-05 	 2.804e+03 	 4.146e+04 	 1.268e+09 	 1.196e+22 	 1.351e+08 	 8.824e+38 	 5.767e+38 	 2.779e+22
1.200e+01 	 2.097e-05 	 2.801e+03 	 4.103e+04 	 1.265e+09 	 1.183e+22 	 1.335e+08 	 8.823e+38 	 5.767e+38 	 2.751e+22
1.200e+01 	 2.119e-05 	 2.797e+03 	 4.060e+04 	 1.262e+09 	 1.170e+22 	 1.320e+08 	 8.823e+38 	 5.767e+38 	 2.722e+22
1.200e+01 	 2.142e-05 	 2.794e+03 	 4.017e+04 	 1.259e+09 	 1.157e+22 	 1.305e+08 	 8.823e+38 	 5.767e+38 	 2.693e+22
1.200e+01 	 2.164e-05 	 2.790e+03 	 3.976e+04 	 1.256e+09 	 1.144e+22 	 1.289e+08 	 8.823e+38 	 5.767e+38 	 2.663e+22
1.200e+01 	 2.187e-05 	 2.787e+03 	 3.934e+04 	 1.253e+09 	 1.130e+22 	 1.274e+08 	 8.823e+38 	 5.767e+38 	 2.634e+22
1.200e+01 	 2.210e-05 	 2.783e+03 	 3.893e+04 	 1.249e+09 	 1.117e+22 	 1.259e+08 	 8.823e+38 	 5.767e+38 	 2.604e+22
1.200e+01 	 2.233e-05 	 2.779e+03 	 3.853e+04 	 1.246e+09 	 1.104e+22 	 1.245e+08 	 8.823e+38 	 5.767e+38 	 2.574e+22
1.200e+01 	 2.256e-05 	 2.776e+03 	 3.812e+04 	 1.242e+09 	 1.091e+22 	 1.230e+08 	 8.823e+38 	 5.767e+38 	 2.544e+22
1.200e+01 	 2.280e-05 	 2.772e+03 	 3.773e+04 	 1.239e+09 	 1.078e+22 	 1.215e+08 	 8.823e+38 	 5.767e+38 	 2.514e+22
1.200e+01 	 2.304e-05 	 2.768e+03 	 3.733e+04 	 1.235e+09 	 1.064e+22 	 1.201e+08 	 8.823e+38 	 5.767e+38 	 2.483e+22
1.200e+01 	 2.328e-05 	 2.765e+03 	 3.694e+04 	 1.233e+09 	 1.055e+22 	 1.188e+08 	 8.823e+38 	 5.767e+38 	 2.464e+22
1.200e+01 	 2.353e-05 	 2.763e+03 	 3.656e+04 	 1.231e+09 	 1.046e+22 	 1.174e+08 	 8.823e+38 	 5.766e+38 	 2.445e+22
1.200e+01 	 2.378e-05 	 2.761e+03 	 3.618e+04 	 1.230e+09 	 1.036e+22 	 1.161e+08 	 8.822e+38 	 5.766e+38 	 2.425e+22
1.200e+01 	 2.403e-05 	 2.759e+03 	 3.580e+04 	 1.228e+09 	 1.027e+22 	 1.148e+08 	 8.822e+38 	 5.766e+38 	 2.406e+22
1.200e+01 	 2.428e-05 	 2.757e+03 	 3.543e+04 	 1.226e+09 	 1.018e+22 	 1.135e+08 	 8.822e+38 	 5.766e+38 	 2.387e+22
1.200e+01 	 2.453e-05 	 2.754e+03 	 3.506e+04 	 1.224e+09 	 1.009e+22 	 1.123e+08 	 8.822e+38 	 5.766e+38 	 2.367e+22
1.200e+01 	 2.479e-05 	 2.752e+03 	 3.469e+04 	 1.222e+09 	 9.999e+21 	 1.110e+08 	 8.822e+38 	 5.766e+38 	 2.348e+22
1.200e+01 	 2.505e-05 	 2.750e+03 	 3.433e+04 	 1.219e+09 	 9.907e+21 	 1.098e+08 	 8.822e+38 	 5.766e+38 	 2.328e+22
1.200e+01 	 2.532e-05 	 2.747e+03 	 3.397e+04 	 1.217e+09 	 9.816e+21 	 1.085e+08 	 8.822e+38 	 5.766e+38 	 2.309e+22
1.200e+01 	 2.558e-05 	 2.745e+03 	 3.362e+04 	 1.215e+09 	 9.725e+21 	 1.073e+08 	 8.822e+38 	 5.766e+38 	 2.289e+22
1.200e+01 	 2.585e-05 	 2.743e+03 	 3.327e+04 	 1.213e+09 	 9.633e+21 	 1.061e+08 	 8.821e+38 	 5.766e+38 	 2.269e+22
1.200e+01 	 2.612e-05 	 2.740e+03 	 3.292e+04 	 1.211e+09 	 9.542e+21 	 1.049e+08 	 8.821e+38 	 5.766e+38 	 2.249e+22
1.200e+01 	 2.640e-05 	 2.737e+03 	 3.258e+04 	 1.208e+09 	 9.451e+21 	 1.037e+08 	 8.821e+38 	 5.766e+38 	 2.229e+22
1.200e+01 	 2.668e-05 	 2.735e+03 	 3.224e+04 	 1.206e+09 	 9.359e+21 	 1.025e+08 	 8.821e+38 	 5.766e+38 	 2.209e+22
1.200e+01 	 2.696e-05 	 2.732e+03 	 3.190e+04 	 1.204e+09 	 9.268e+21 	 1.013e+08 	 8.821e+38 	 5.766e+38 	 2.189e+22
1.200e+01 	 2.724e-05 	 2.729e+03 	 3.157e+04 	 1.201e+09 	 9.176e+21 	 1.002e+08 	 8.821e+38 	 5.766e+38 	 2.169e+22
1.200e+01 	 2.753e-05 	 2.727e+03 	 3.124e+04 	 1.199e+09 	 9.084e+21 	 9.905e+07 	 8.821e+38 	 5.766e+38 	 2.149e+22
1.200e+01 	 2.781e-05 	 2.724e+03 	 3.091e+04 	 1.196e+09 	 8.992e+21 	 9.792e+07 	 8.821e+38 	 5.766e+38 	 2.128e+22
1.200e+01 	 2.811e-05 	 2.721e+03 	 3.059e+04 	 1.194e+09 	 8.900e+21 	 9.679e+07 	 8.821e+38 	 5.766e+38 	 2.108e+22
1.200e+01 	 2.840e-05 	 2.718e+03 	 3.027e+04 	 1.191e+09 	 8.808e+21 	 9.568e+07 	 8.821e+38 	 5.766e+38 	 2.087e+22
1.200e+01 	 2.870e-05 	 2.715e+03 	 2.996e+04 	 1.189e+09 	 8.716e+21 	 9.458e+07 	 8.820e+38 	 5.766e+38 	 2.067e+22
1.201e+01 	 2.900e-05 	 2.712e+03 	 2.964e+04 	 1.186e+09 	 8.623e+21 	 9.349e+07 	 8.820e+38 	 5.766e+38 	 2.046e+22
1.201e+01 	 2.931e-05 	 2.708e+03 	 2.933e+04 	 1.183e+09 	 8.530e+21 	 9.241e+07 	 8.820e+38 	 5.766e+38 	 2.025e+22
1.201e+01 	 2.962e-05 	 2.705e+03 	 2.903e+04 	 1.180e+09 	 8.437e+21 	 9.134e+07 	 8.820e+38 	 5.766e+38 	 2.004e+22
1.201e+01 	 2.993e-05 	 2.702e+03 	 2.873e+04 	 1.177e+09 	 8.343e+21 	 9.028e+07 	 8.820e+38 	 5.766e+38 	 1.982e+22
1.201e+01 	 3.024e-05 	 2.699e+03 	 2.843e+04 	 1.175e+09 	 8.254e+21 	 8.923e+07 	 8.820e+38 	 5.766e+38 	 1.962e+22
1.201e+01 	 3.056e-05 	 2.696e+03 	 2.813e+04 	 1.173e+09 	 8.180e+21 	 8.823e+07 	 8.820e+38 	 5.766e+38 	 1.946e+22
1.201e+01 	 3.088e-05 	 2.694e+03 	 2.784e+04 	 1.171e+09 	 8.105e+21 	 8.724e+07 	 8.820e+38 	 5.766e+38 	 1.930e+22
1.201e+01 	 3.121e-05 	 2.692e+03 	 2.755e+04 	 1.168e+09 	 8.030e+21 	 8.625e+07 	 8.820e+38 	 5.765e+38 	 1.913e+22
1.201e+01 	 3.153e-05 	 2.689e+03 	 2.726e+04 	 1.166e+09 	 7.955e+21 	 8.528e+07 	 8.820e+38 	 5.765e+38 	 1.897e+22
1.201e+01 	 3.187e-05 	 2.687e+03 	 2.698e+04 	 1.164e+09 	 7.880e+21 	 8.431e+07 	 8.819e+38 	 5.765e+38 	 1.881e+22
1.201e+01 	 3.220e-05 	 2.684e+03 	 2.669e+04 	 1.162e+09 	 7.806e+21 	 8.335e+07 	 8.819e+38 	 5.765e+38 	 1.864e+22
1.201e+01 	 3.254e-05 	 2.682e+03 	 2.642e+04 	 1.160e+09 	 7.730e+21 	 8.241e+07 	 8.819e+38 	 5.765e+38 	 1.847e+22
1.201e+01 	 3.288e-05 	 2.679e+03 	 2.614e+04 	 1.157e+09 	 7.655e+21 	 8.147e+07 	 8.819e+38 	 5.765e+38 	 1.831e+22
1.201e+01 	 3.323e-05 	 2.676e+03 	 2.587e+04 	 1.155e+09 	 7.580e+21 	 8.054e+07 	 8.819e+38 	 5.765e+38 	 1.814e+22
1.201e+01 	 3.358e-05 	 2.674e+03 	 2.560e+04 	 1.153e+09 	 7.505e+21 	 7.962e+07 	 8.819e+38 	 5.765e+38 	 1.797e+22
1.201e+01 	 3.393e-05 	 2.671e+03 	 2.533e+04 	 1.150e+09 	 7.429e+21 	 7.871e+07 	 8.819e+38 	 5.765e+38 	 1.780e+22
1.201e+01 	 3.429e-05 	 2.668e+03 	 2.507e+04 	 1.148e+09 	 7.353e+21 	 7.781e+07 	 8.819e+38 	 5.765e+38 	 1.763e+22
1.201e+01 	 3.465e-05 	 2.665e+03 	 2.481e+04 	 1.145e+09 	 7.277e+21 	 7.691e+07 	 8.819e+38 	 5.765e+38 	 1.746e+22
1.201e+01 	 3.501e-05 	 2.662e+03 	 2.455e+04 	 1.143e+09 	 7.201e+21 	 7.603e+07 	 8.819e+38 	 5.765e+38 	 1.728e+22
1.201e+01 	 3.538e-05 	 2.659e+03 	 2.429e+04 	 1.140e+09 	 7.125e+21 	 7.515e+07 	 8.818e+38 	 5.765e+38 	 1.711e+22
1.201e+01 	 3.575e-05 	 2.656e+03 	 2.404e+04 	 1.138e+09 	 7.050e+21 	 7.428e+07 	 8.818e+38 	 5.765e+38 	 1.694e+22
1.201e+01 	 3.613e-05 	 2.653e+03 	 2.379e+04 	 1.135e+09 	 6.985e+21 	 7.344e+07 	 8.818e+38 	 5.765e+38 	 1.679e+22
1.201e+01 	 3.651e-05 	 2.651e+03 	 2.354e+04 	 1.133e+09 	 6.920e+21 	 7.261e+07 	 8.818e+38 	 5.765e+38 	 1.665e+22
1.201e+01 	 3.689e-05 	 2.648e+03 	 2.329e+04 	 1.131e+09 	 6.855e+21 	 7.179e+07 	 8.818e+38 	 5.765e+38 	 1.650e+22
1.201e+01 	 3.728e-05 	 2.646e+03 	 2.305e+04 	 1.129e+09 	 6.790e+21 	 7.097e+07 	 8.818e+38 	 5.765e+38 	 1.636e+22
1.201e+01 	 3.767e-05 	 2.643e+03 	 2.281e+04 	 1.127e+09 	 6.724e+21 	 7.017e+07 	 8.818e+38 	 5.765e+38 	 1.621e+22
1.201e+01 	 3.807e-05 	 2.641e+03 	 2.257e+04 	 1.125e+09 	 6.659e+21 	 6.937e+07 	 8.818e+38 	 5.765e+38 	 1.606e+22
1.201e+01 	 3.847e-05 	 2.638e+03 	 2.234e+04 	 1.122e+09 	 6.593e+21 	 6.857e+07 	 8.818e+38 	 5.765e+38 	 1.592e+22
1.201e+01 	 3.887e-05 	 2.635e+03 	 2.210e+04 	 1.120e+09 	 6.527e+21 	 6.779e+07 	 8.818e+38 	 5.765e+38 	 1.577e+22
1.201e+01 	 3.928e-05 	 2.632e+03 	 2.187e+04 	 1.118e+09 	 6.461e+21 	 6.701e+07 	 8.817e+38 	 5.765e+38 	 1.562e+22
1.201e+01 	 3.969e-05 	 2.629e+03 	 2.165e+04 	 1.115e+09 	 6.395e+21 	 6.624e+07 	 8.817e+38 	 5.765e+38 	 1.546e+22
1.201e+01 	 4.011e-05 	 2.627e+03 	 2.142e+04 	 1.113e+09 	 6.328e+21 	 6.548e+07 	 8.817e+38 	 5.765e+38 	 1.531e+22
1.201e+01 	 4.053e-05 	 2.624e+03 	 2.120e+04 	 1.110e+09 	 6.266e+21 	 6.473e+07 	 8.817e+38 	 5.765e+38 	 1.517e+22
1.201e+01 	 4.096e-05 	 2.621e+03 	 2.098e+04 	 1.108e+09 	 6.207e+21 	 6.400e+07 	 8.817e+38 	 5.765e+38 	 1.504e+22
1.201e+01 	 4.139e-05 	 2.619e+03 	 2.076e+04 	 1.106e+09 	 6.149e+21 	 6.327e+07 	 8.817e+38 	 5.765e+38 	 1.491e+22
