r (km)   	 u (km/s) 	 cs (km/s) 	 rho (g/cm3) 	 T (K)    	 P (dyne/cm2) 	 phi      	 L (erg/s) 	 L* (erg/s) 	 E (erg) 
1.200e+01 	 1.456e-06 	 2.744e+03 	 8.354e+04 	 1.214e+09 	 1.600e+22 	 1.884e+09 	 5.948e+38 	 3.886e+38 	 3.246e+22
1.200e+01 	 1.473e-06 	 2.740e+03 	 8.261e+04 	 1.211e+09 	 1.579e+22 	 1.860e+09 	 5.948e+38 	 3.886e+38 	 3.206e+22
1.200e+01 	 1.489e-06 	 2.737e+03 	 8.169e+04 	 1.208e+09 	 1.559e+22 	 1.837e+09 	 5.948e+38 	 3.886e+38 	 3.166e+22
1.200e+01 	 1.506e-06 	 2.733e+03 	 8.077e+04 	 1.204e+09 	 1.539e+22 	 1.814e+09 	 5.948e+38 	 3.886e+38 	 3.126e+22
1.200e+01 	 1.523e-06 	 2.729e+03 	 7.987e+04 	 1.201e+09 	 1.519e+22 	 1.791e+09 	 5.948e+38 	 3.886e+38 	 3.087e+22
1.200e+01 	 1.540e-06 	 2.725e+03 	 7.898e+04 	 1.198e+09 	 1.499e+22 	 1.769e+09 	 5.947e+38 	 3.886e+38 	 3.049e+22
1.200e+01 	 1.558e-06 	 2.721e+03 	 7.810e+04 	 1.194e+09 	 1.480e+22 	 1.747e+09 	 5.947e+38 	 3.886e+38 	 3.010e+22
1.200e+01 	 1.575e-06 	 2.718e+03 	 7.722e+04 	 1.191e+09 	 1.461e+22 	 1.725e+09 	 5.947e+38 	 3.886e+38 	 2.973e+22
1.200e+01 	 1.593e-06 	 2.714e+03 	 7.636e+04 	 1.188e+09 	 1.442e+22 	 1.703e+09 	 5.947e+38 	 3.886e+38 	 2.936e+22
1.200e+01 	 1.611e-06 	 2.710e+03 	 7.551e+04 	 1.185e+09 	 1.423e+22 	 1.682e+09 	 5.947e+38 	 3.886e+38 	 2.899e+22
1.200e+01 	 1.629e-06 	 2.706e+03 	 7.466e+04 	 1.181e+09 	 1.405e+22 	 1.661e+09 	 5.947e+38 	 3.886e+38 	 2.863e+22
1.200e+01 	 1.648e-06 	 2.703e+03 	 7.383e+04 	 1.178e+09 	 1.387e+22 	 1.640e+09 	 5.947e+38 	 3.886e+38 	 2.827e+22
1.200e+01 	 1.666e-06 	 2.699e+03 	 7.300e+04 	 1.175e+09 	 1.369e+22 	 1.620e+09 	 5.947e+38 	 3.886e+38 	 2.792e+22
1.200e+01 	 1.685e-06 	 2.695e+03 	 7.219e+04 	 1.172e+09 	 1.351e+22 	 1.599e+09 	 5.947e+38 	 3.886e+38 	 2.757e+22
1.200e+01 	 1.704e-06 	 2.692e+03 	 7.138e+04 	 1.168e+09 	 1.334e+22 	 1.579e+09 	 5.947e+38 	 3.886e+38 	 2.723e+22
1.200e+01 	 1.723e-06 	 2.688e+03 	 7.058e+04 	 1.165e+09 	 1.316e+22 	 1.560e+09 	 5.947e+38 	 3.886e+38 	 2.689e+22
1.200e+01 	 1.743e-06 	 2.684e+03 	 6.979e+04 	 1.162e+09 	 1.300e+22 	 1.540e+09 	 5.947e+38 	 3.886e+38 	 2.656e+22
1.200e+01 	 1.763e-06 	 2.680e+03 	 6.901e+04 	 1.159e+09 	 1.283e+22 	 1.521e+09 	 5.947e+38 	 3.886e+38 	 2.623e+22
1.200e+01 	 1.782e-06 	 2.677e+03 	 6.824e+04 	 1.155e+09 	 1.266e+22 	 1.502e+09 	 5.947e+38 	 3.886e+38 	 2.590e+22
1.200e+01 	 1.803e-06 	 2.673e+03 	 6.748e+04 	 1.152e+09 	 1.250e+22 	 1.483e+09 	 5.947e+38 	 3.886e+38 	 2.558e+22
1.200e+01 	 1.823e-06 	 2.669e+03 	 6.673e+04 	 1.149e+09 	 1.234e+22 	 1.464e+09 	 5.947e+38 	 3.886e+38 	 2.526e+22
1.200e+01 	 1.843e-06 	 2.666e+03 	 6.598e+04 	 1.146e+09 	 1.218e+22 	 1.446e+09 	 5.947e+38 	 3.886e+38 	 2.495e+22
1.200e+01 	 1.864e-06 	 2.662e+03 	 6.524e+04 	 1.143e+09 	 1.202e+22 	 1.428e+09 	 5.947e+38 	 3.886e+38 	 2.464e+22
1.200e+01 	 1.885e-06 	 2.658e+03 	 6.451e+04 	 1.140e+09 	 1.187e+22 	 1.410e+09 	 5.947e+38 	 3.886e+38 	 2.433e+22
1.200e+01 	 1.907e-06 	 2.655e+03 	 6.379e+04 	 1.137e+09 	 1.172e+22 	 1.392e+09 	 5.947e+38 	 3.886e+38 	 2.403e+22
1.200e+01 	 1.928e-06 	 2.651e+03 	 6.308e+04 	 1.133e+09 	 1.156e+22 	 1.375e+09 	 5.947e+38 	 3.886e+38 	 2.373e+22
