r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20000414e+01 	 2.187185e-06 	 1.548171e+03 	 1.566407e+05 	 1.159654e+09 	 1.594327e+22 	 7.078232e+08 	 6.823833e+38 	 4.459616e+38 	 3.139682e+22 	 1.154198e+10
1.20000739e+01 	 2.212035e-06 	 1.546107e+03 	 1.548801e+05 	 1.156564e+09 	 1.573590e+22 	 6.989387e+08 	 6.823822e+38 	 4.459615e+38 	 3.099969e+22 	 1.143043e+10
1.20001064e+01 	 2.237167e-06 	 1.544047e+03 	 1.531392e+05 	 1.153484e+09 	 1.553129e+22 	 6.901659e+08 	 6.823811e+38 	 4.459614e+38 	 3.060778e+22 	 1.131994e+10
1.20001388e+01 	 2.262585e-06 	 1.541990e+03 	 1.514179e+05 	 1.150412e+09 	 1.532941e+22 	 6.815035e+08 	 6.823800e+38 	 4.459614e+38 	 3.022103e+22 	 1.121050e+10
1.20001712e+01 	 2.288291e-06 	 1.539937e+03 	 1.497160e+05 	 1.147350e+09 	 1.513022e+22 	 6.729502e+08 	 6.823789e+38 	 4.459613e+38 	 2.983935e+22 	 1.110210e+10
1.20002035e+01 	 2.314290e-06 	 1.537886e+03 	 1.480332e+05 	 1.144297e+09 	 1.493369e+22 	 6.645044e+08 	 6.823778e+38 	 4.459612e+38 	 2.946268e+22 	 1.099473e+10
1.20002358e+01 	 2.340584e-06 	 1.535839e+03 	 1.463693e+05 	 1.141253e+09 	 1.473977e+22 	 6.561648e+08 	 6.823768e+38 	 4.459611e+38 	 2.909096e+22 	 1.088839e+10
1.20002681e+01 	 2.367177e-06 	 1.533796e+03 	 1.447241e+05 	 1.138218e+09 	 1.454843e+22 	 6.479302e+08 	 6.823757e+38 	 4.459611e+38 	 2.872410e+22 	 1.078305e+10
1.20003003e+01 	 2.394072e-06 	 1.531755e+03 	 1.430974e+05 	 1.135191e+09 	 1.435964e+22 	 6.397992e+08 	 6.823746e+38 	 4.459610e+38 	 2.836206e+22 	 1.067872e+10
1.20003325e+01 	 2.421273e-06 	 1.529718e+03 	 1.414890e+05 	 1.132174e+09 	 1.417336e+22 	 6.317704e+08 	 6.823735e+38 	 4.459609e+38 	 2.800476e+22 	 1.057538e+10
1.20003646e+01 	 2.448782e-06 	 1.527685e+03 	 1.398986e+05 	 1.129166e+09 	 1.398956e+22 	 6.238427e+08 	 6.823724e+38 	 4.459608e+38 	 2.765215e+22 	 1.047302e+10
1.20003967e+01 	 2.476605e-06 	 1.525654e+03 	 1.383262e+05 	 1.126167e+09 	 1.380820e+22 	 6.160147e+08 	 6.823713e+38 	 4.459608e+38 	 2.730414e+22 	 1.037164e+10
1.20004288e+01 	 2.504743e-06 	 1.523627e+03 	 1.367714e+05 	 1.123176e+09 	 1.362926e+22 	 6.082851e+08 	 6.823702e+38 	 4.459607e+38 	 2.696070e+22 	 1.027122e+10
1.20004608e+01 	 2.533201e-06 	 1.521604e+03 	 1.352341e+05 	 1.120194e+09 	 1.345269e+22 	 6.006528e+08 	 6.823691e+38 	 4.459606e+38 	 2.662174e+22 	 1.017176e+10
1.20004928e+01 	 2.561982e-06 	 1.519583e+03 	 1.337140e+05 	 1.117222e+09 	 1.327847e+22 	 5.931165e+08 	 6.823681e+38 	 4.459605e+38 	 2.628721e+22 	 1.007324e+10
1.20005247e+01 	 2.591091e-06 	 1.517566e+03 	 1.322111e+05 	 1.114258e+09 	 1.310657e+22 	 5.856749e+08 	 6.823670e+38 	 4.459604e+38 	 2.595706e+22 	 9.975664e+09
1.20005566e+01 	 2.620530e-06 	 1.515552e+03 	 1.307250e+05 	 1.111302e+09 	 1.293694e+22 	 5.783270e+08 	 6.823659e+38 	 4.459604e+38 	 2.563122e+22 	 9.879016e+09
1.20005885e+01 	 2.650304e-06 	 1.513542e+03 	 1.292557e+05 	 1.108356e+09 	 1.276957e+22 	 5.710715e+08 	 6.823648e+38 	 4.459603e+38 	 2.530963e+22 	 9.783288e+09
