r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20089948e+01 	 8.008681e-03 	 1.809350e+03 	 6.768547e+02 	 1.583928e+09 	 1.593987e+22 	 2.259174e+05 	 1.716514e+39 	 1.122246e+39 	 4.772000e+22 	 4.114289e+07
1.20215605e+01 	 8.084034e-03 	 1.806708e+03 	 6.689595e+02 	 1.579306e+09 	 1.575444e+22 	 2.234848e+05 	 1.712834e+39 	 1.120460e+39 	 4.716516e+22 	 4.078198e+07
1.20341686e+01 	 8.160054e-03 	 1.804069e+03 	 6.611563e+02 	 1.574695e+09 	 1.557104e+22 	 2.210793e+05 	 1.709161e+39 	 1.118676e+39 	 4.661640e+22 	 4.042433e+07
1.20468188e+01 	 8.236749e-03 	 1.801431e+03 	 6.534442e+02 	 1.570094e+09 	 1.538967e+22 	 2.187006e+05 	 1.705495e+39 	 1.116896e+39 	 4.607367e+22 	 4.006992e+07
1.20595103e+01 	 8.314124e-03 	 1.798796e+03 	 6.458220e+02 	 1.565503e+09 	 1.521029e+22 	 2.163484e+05 	 1.701836e+39 	 1.115118e+39 	 4.553693e+22 	 3.971871e+07
1.20722448e+01 	 8.392183e-03 	 1.796162e+03 	 6.382887e+02 	 1.560923e+09 	 1.503288e+22 	 2.140222e+05 	 1.698185e+39 	 1.113343e+39 	 4.500608e+22 	 3.937067e+07
1.20850218e+01 	 8.470933e-03 	 1.793531e+03 	 6.308433e+02 	 1.556353e+09 	 1.485743e+22 	 2.117220e+05 	 1.694542e+39 	 1.111571e+39 	 4.448107e+22 	 3.902578e+07
1.20978409e+01 	 8.550380e-03 	 1.790902e+03 	 6.234847e+02 	 1.551794e+09 	 1.468392e+22 	 2.094473e+05 	 1.690906e+39 	 1.109803e+39 	 4.396186e+22 	 3.868400e+07
1.21107020e+01 	 8.630530e-03 	 1.788275e+03 	 6.162120e+02 	 1.547245e+09 	 1.451233e+22 	 2.071979e+05 	 1.687277e+39 	 1.108037e+39 	 4.344839e+22 	 3.834531e+07
1.21236055e+01 	 8.711389e-03 	 1.785651e+03 	 6.090241e+02 	 1.542707e+09 	 1.434263e+22 	 2.049734e+05 	 1.683656e+39 	 1.106274e+39 	 4.294059e+22 	 3.800967e+07
1.21365514e+01 	 8.792962e-03 	 1.783028e+03 	 6.019201e+02 	 1.538179e+09 	 1.417482e+22 	 2.027736e+05 	 1.680043e+39 	 1.104514e+39 	 4.243842e+22 	 3.767705e+07
