r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20077546e+01 	 2.054868e-05 	 1.696078e+03 	 7.436595e+04 	 1.391816e+09 	 1.589972e+22 	 8.253752e+07 	 1.139678e+39 	 7.450737e+38 	 3.826950e+22 	 4.905486e+09
1.20078226e+01 	 2.078089e-05 	 1.694464e+03 	 7.353402e+04 	 1.389169e+09 	 1.574363e+22 	 8.153758e+07 	 1.139667e+39 	 7.450687e+38 	 3.792315e+22 	 4.856399e+09
1.20078906e+01 	 2.101573e-05 	 1.692855e+03 	 7.271140e+04 	 1.386531e+09 	 1.558932e+22 	 8.054987e+07 	 1.139656e+39 	 7.450637e+38 	 3.758053e+22 	 4.807790e+09
1.20079588e+01 	 2.125322e-05 	 1.691249e+03 	 7.189798e+04 	 1.383902e+09 	 1.543677e+22 	 7.957424e+07 	 1.139645e+39 	 7.450587e+38 	 3.724162e+22 	 4.759658e+09
1.20080270e+01 	 2.149339e-05 	 1.689647e+03 	 7.109366e+04 	 1.381283e+09 	 1.528596e+22 	 7.861055e+07 	 1.139634e+39 	 7.450536e+38 	 3.690637e+22 	 4.711995e+09
1.20080952e+01 	 2.173628e-05 	 1.688050e+03 	 7.029833e+04 	 1.378672e+09 	 1.513687e+22 	 7.765865e+07 	 1.139623e+39 	 7.450485e+38 	 3.657473e+22 	 4.664799e+09
1.20081636e+01 	 2.198191e-05 	 1.686457e+03 	 6.951191e+04 	 1.376070e+09 	 1.498946e+22 	 7.671839e+07 	 1.139611e+39 	 7.450434e+38 	 3.624666e+22 	 4.618065e+09
1.20082320e+01 	 2.223031e-05 	 1.684867e+03 	 6.873428e+04 	 1.373478e+09 	 1.484374e+22 	 7.578963e+07 	 1.139600e+39 	 7.450382e+38 	 3.592212e+22 	 4.571788e+09
1.20083004e+01 	 2.248153e-05 	 1.683282e+03 	 6.796535e+04 	 1.370894e+09 	 1.469966e+22 	 7.487222e+07 	 1.139589e+39 	 7.450330e+38 	 3.560106e+22 	 4.525964e+09
1.20083690e+01 	 2.273558e-05 	 1.681700e+03 	 6.720502e+04 	 1.368320e+09 	 1.455722e+22 	 7.396603e+07 	 1.139577e+39 	 7.450278e+38 	 3.528346e+22 	 4.480588e+09
1.20084376e+01 	 2.299250e-05 	 1.680123e+03 	 6.645320e+04 	 1.365754e+09 	 1.441639e+22 	 7.307092e+07 	 1.139566e+39 	 7.450225e+38 	 3.496926e+22 	 4.435657e+09
1.20085062e+01 	 2.325233e-05 	 1.678550e+03 	 6.570979e+04 	 1.363197e+09 	 1.427716e+22 	 7.218675e+07 	 1.139554e+39 	 7.450172e+38 	 3.465843e+22 	 4.391166e+09
1.20085750e+01 	 2.351509e-05 	 1.676980e+03 	 6.497469e+04 	 1.360649e+09 	 1.413950e+22 	 7.131339e+07 	 1.139543e+39 	 7.450119e+38 	 3.435093e+22 	 4.347111e+09
1.20086438e+01 	 2.378082e-05 	 1.675415e+03 	 6.424782e+04 	 1.358110e+09 	 1.400340e+22 	 7.045071e+07 	 1.139531e+39 	 7.450066e+38 	 3.404672e+22 	 4.303487e+09
1.20087126e+01 	 2.404955e-05 	 1.673854e+03 	 6.352908e+04 	 1.355580e+09 	 1.386883e+22 	 6.959857e+07 	 1.139519e+39 	 7.450012e+38 	 3.374576e+22 	 4.260291e+09
1.20087816e+01 	 2.432132e-05 	 1.672296e+03 	 6.281838e+04 	 1.353059e+09 	 1.373579e+22 	 6.875683e+07 	 1.139508e+39 	 7.449958e+38 	 3.344801e+22 	 4.217518e+09
1.20088506e+01 	 2.459616e-05 	 1.670743e+03 	 6.211564e+04 	 1.350546e+09 	 1.360424e+22 	 6.792539e+07 	 1.139496e+39 	 7.449903e+38 	 3.315344e+22 	 4.175165e+09
1.20089197e+01 	 2.487411e-05 	 1.669193e+03 	 6.142075e+04 	 1.348043e+09 	 1.347418e+22 	 6.710410e+07 	 1.139484e+39 	 7.449849e+38 	 3.286200e+22 	 4.133228e+09
1.20089888e+01 	 2.515519e-05 	 1.667648e+03 	 6.073364e+04 	 1.345548e+09 	 1.334557e+22 	 6.629284e+07 	 1.139472e+39 	 7.449794e+38 	 3.257367e+22 	 4.091701e+09
1.20090581e+01 	 2.543946e-05 	 1.666107e+03 	 6.005421e+04 	 1.343062e+09 	 1.321842e+22 	 6.549149e+07 	 1.139460e+39 	 7.449738e+38 	 3.228840e+22 	 4.050583e+09
1.20091274e+01 	 2.572693e-05 	 1.664569e+03 	 5.938238e+04 	 1.340584e+09 	 1.309269e+22 	 6.469993e+07 	 1.139448e+39 	 7.449682e+38 	 3.200616e+22 	 4.009868e+09
1.20091968e+01 	 2.601765e-05 	 1.663036e+03 	 5.871807e+04 	 1.338115e+09 	 1.296838e+22 	 6.391803e+07 	 1.139436e+39 	 7.449626e+38 	 3.172692e+22 	 3.969552e+09
1.20092662e+01 	 2.631166e-05 	 1.661506e+03 	 5.806120e+04 	 1.335655e+09 	 1.284546e+22 	 6.314568e+07 	 1.139424e+39 	 7.449570e+38 	 3.145063e+22 	 3.929633e+09
1.20093358e+01 	 2.660899e-05 	 1.659981e+03 	 5.741167e+04 	 1.333203e+09 	 1.272391e+22 	 6.238276e+07 	 1.139412e+39 	 7.449513e+38 	 3.117728e+22 	 3.890106e+09
