r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.19996440e+01 	 2.747818e-06 	 2.867033e+03 	 9.904551e+04 	 1.325667e+09 	 1.596712e+22 	 1.048689e+09 	 6.544842e+38 	 4.277210e+38 	 3.597694e+22 	 6.736152e+09
1.19997510e+01 	 2.780537e-06 	 2.862906e+03 	 9.787803e+04 	 1.321853e+09 	 1.575788e+22 	 1.034809e+09 	 6.544803e+38 	 4.277205e+38 	 3.552162e+22 	 6.668617e+09
1.19998578e+01 	 2.813646e-06 	 2.858786e+03 	 9.672431e+04 	 1.318051e+09 	 1.555145e+22 	 1.021113e+09 	 6.544764e+38 	 4.277200e+38 	 3.507225e+22 	 6.601748e+09
1.19999644e+01 	 2.847150e-06 	 2.854672e+03 	 9.558419e+04 	 1.314261e+09 	 1.534780e+22 	 1.007599e+09 	 6.544726e+38 	 4.277195e+38 	 3.462876e+22 	 6.535538e+09
1.20000709e+01 	 2.881053e-06 	 2.850566e+03 	 9.445751e+04 	 1.310483e+09 	 1.514689e+22 	 9.942646e+08 	 6.544687e+38 	 4.277190e+38 	 3.419106e+22 	 6.469982e+09
1.20001771e+01 	 2.915359e-06 	 2.846467e+03 	 9.334412e+04 	 1.306716e+09 	 1.494867e+22 	 9.811073e+08 	 6.544648e+38 	 4.277185e+38 	 3.375908e+22 	 6.405072e+09
1.20002832e+01 	 2.950074e-06 	 2.842374e+03 	 9.224384e+04 	 1.302962e+09 	 1.475312e+22 	 9.681249e+08 	 6.544610e+38 	 4.277179e+38 	 3.333274e+22 	 6.340803e+09
1.20003892e+01 	 2.985202e-06 	 2.838289e+03 	 9.115654e+04 	 1.299219e+09 	 1.456019e+22 	 9.553150e+08 	 6.544571e+38 	 4.277174e+38 	 3.291197e+22 	 6.277167e+09
1.20004949e+01 	 3.020749e-06 	 2.834210e+03 	 9.008205e+04 	 1.295487e+09 	 1.436986e+22 	 9.426752e+08 	 6.544533e+38 	 4.277169e+38 	 3.249668e+22 	 6.214160e+09
1.20006005e+01 	 3.056720e-06 	 2.830138e+03 	 8.902022e+04 	 1.291768e+09 	 1.418207e+22 	 9.302032e+08 	 6.544495e+38 	 4.277164e+38 	 3.208681e+22 	 6.151775e+09
1.20007059e+01 	 3.093118e-06 	 2.826073e+03 	 8.797092e+04 	 1.288060e+09 	 1.399681e+22 	 9.178970e+08 	 6.544456e+38 	 4.277159e+38 	 3.168228e+22 	 6.090006e+09
1.20008111e+01 	 3.129950e-06 	 2.822015e+03 	 8.693398e+04 	 1.284363e+09 	 1.381403e+22 	 9.057541e+08 	 6.544418e+38 	 4.277154e+38 	 3.128301e+22 	 6.028847e+09
