r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.19873878e+01 	 1.858514e-06 	 2.850812e+03 	 1.039112e+05 	 1.310709e+09 	 1.592980e+22 	 1.542400e+09 	 6.234333e+38 	 4.072077e+38 	 3.542661e+22 	 7.102024e+09
1.19874920e+01 	 1.880996e-06 	 2.846597e+03 	 1.026672e+05 	 1.306836e+09 	 1.571545e+22 	 1.521634e+09 	 6.234299e+38 	 4.072073e+38 	 3.496546e+22 	 7.029837e+09
1.19875960e+01 	 1.903749e-06 	 2.842390e+03 	 1.014381e+05 	 1.302976e+09 	 1.550406e+22 	 1.501150e+09 	 6.234265e+38 	 4.072070e+38 	 3.451048e+22 	 6.958372e+09
1.19876998e+01 	 1.926778e-06 	 2.838189e+03 	 1.002238e+05 	 1.299127e+09 	 1.529557e+22 	 1.480942e+09 	 6.234231e+38 	 4.072066e+38 	 3.406161e+22 	 6.887622e+09
1.19878034e+01 	 1.950086e-06 	 2.833995e+03 	 9.902393e+04 	 1.295291e+09 	 1.508996e+22 	 1.461007e+09 	 6.234197e+38 	 4.072063e+38 	 3.361875e+22 	 6.817579e+09
1.19879069e+01 	 1.973676e-06 	 2.829809e+03 	 9.783847e+04 	 1.291467e+09 	 1.488717e+22 	 1.441341e+09 	 6.234163e+38 	 4.072060e+38 	 3.318183e+22 	 6.748237e+09
1.19880102e+01 	 1.997551e-06 	 2.825629e+03 	 9.666720e+04 	 1.287655e+09 	 1.468717e+22 	 1.421941e+09 	 6.234130e+38 	 4.072056e+38 	 3.275076e+22 	 6.679588e+09
1.19881132e+01 	 2.021715e-06 	 2.821457e+03 	 9.550995e+04 	 1.283855e+09 	 1.448992e+22 	 1.402803e+09 	 6.234096e+38 	 4.072053e+38 	 3.232545e+22 	 6.611627e+09
1.19882161e+01 	 2.046171e-06 	 2.817291e+03 	 9.436655e+04 	 1.280067e+09 	 1.429538e+22 	 1.383924e+09 	 6.234063e+38 	 4.072050e+38 	 3.190584e+22 	 6.544346e+09
1.19883189e+01 	 2.070923e-06 	 2.813133e+03 	 9.323685e+04 	 1.276291e+09 	 1.410351e+22 	 1.365300e+09 	 6.234029e+38 	 4.072046e+38 	 3.149183e+22 	 6.477738e+09
1.19884214e+01 	 2.095975e-06 	 2.808982e+03 	 9.212066e+04 	 1.272527e+09 	 1.391428e+22 	 1.346927e+09 	 6.233996e+38 	 4.072043e+38 	 3.108336e+22 	 6.411797e+09
1.19885238e+01 	 2.121330e-06 	 2.804837e+03 	 9.101784e+04 	 1.268775e+09 	 1.372765e+22 	 1.328802e+09 	 6.233962e+38 	 4.072039e+38 	 3.068035e+22 	 6.346516e+09
1.19886259e+01 	 2.146992e-06 	 2.800700e+03 	 8.992822e+04 	 1.265034e+09 	 1.354358e+22 	 1.310923e+09 	 6.233929e+38 	 4.072036e+38 	 3.028273e+22 	 6.281889e+09
1.19887279e+01 	 2.172964e-06 	 2.796570e+03 	 8.885165e+04 	 1.261306e+09 	 1.336203e+22 	 1.293284e+09 	 6.233895e+38 	 4.072033e+38 	 2.989041e+22 	 6.217910e+09
1.19888298e+01 	 2.199251e-06 	 2.792447e+03 	 8.778796e+04 	 1.257589e+09 	 1.318298e+22 	 1.275884e+09 	 6.233862e+38 	 4.072029e+38 	 2.950333e+22 	 6.154571e+09
1.19889314e+01 	 2.225855e-06 	 2.788330e+03 	 8.673701e+04 	 1.253884e+09 	 1.300638e+22 	 1.258719e+09 	 6.233829e+38 	 4.072026e+38 	 2.912141e+22 	 6.091867e+09
1.19890329e+01 	 2.252782e-06 	 2.784221e+03 	 8.569864e+04 	 1.250191e+09 	 1.283220e+22 	 1.241785e+09 	 6.233796e+38 	 4.072023e+38 	 2.874459e+22 	 6.029791e+09
1.19891342e+01 	 2.280034e-06 	 2.780118e+03 	 8.467270e+04 	 1.246510e+09 	 1.266041e+22 	 1.225081e+09 	 6.233763e+38 	 4.072019e+38 	 2.837279e+22 	 5.968338e+09
