r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.19932768e+01 	 1.040594e-05 	 1.645648e+03 	 1.042470e+05 	 1.310280e+09 	 1.594489e+22 	 1.581415e+08 	 9.698459e+38 	 6.336390e+38 	 3.543647e+22 	 7.129913e+09
1.19933268e+01 	 1.052297e-05 	 1.643825e+03 	 1.030867e+05 	 1.307379e+09 	 1.576550e+22 	 1.562096e+08 	 9.698414e+38 	 6.336375e+38 	 3.506143e+22 	 7.060194e+09
1.19933769e+01 	 1.064131e-05 	 1.642006e+03 	 1.019393e+05 	 1.304487e+09 	 1.558829e+22 	 1.543014e+08 	 9.698370e+38 	 6.336360e+38 	 3.469079e+22 	 6.991141e+09
1.19934269e+01 	 1.076099e-05 	 1.640191e+03 	 1.008046e+05 	 1.301605e+09 	 1.541325e+22 	 1.524167e+08 	 9.698325e+38 	 6.336345e+38 	 3.432449e+22 	 6.922750e+09
1.19934770e+01 	 1.088201e-05 	 1.638380e+03 	 9.968259e+04 	 1.298731e+09 	 1.524033e+22 	 1.505552e+08 	 9.698281e+38 	 6.336330e+38 	 3.396247e+22 	 6.855013e+09
1.19935271e+01 	 1.100439e-05 	 1.636572e+03 	 9.857306e+04 	 1.295867e+09 	 1.506951e+22 	 1.487166e+08 	 9.698236e+38 	 6.336315e+38 	 3.360469e+22 	 6.787926e+09
1.19935771e+01 	 1.112815e-05 	 1.634768e+03 	 9.747588e+04 	 1.293012e+09 	 1.490077e+22 	 1.469006e+08 	 9.698191e+38 	 6.336299e+38 	 3.325108e+22 	 6.721480e+09
1.19936272e+01 	 1.125330e-05 	 1.632968e+03 	 9.639092e+04 	 1.290167e+09 	 1.473408e+22 	 1.451069e+08 	 9.698146e+38 	 6.336284e+38 	 3.290161e+22 	 6.655672e+09
1.19936773e+01 	 1.137986e-05 	 1.631172e+03 	 9.531803e+04 	 1.287330e+09 	 1.456941e+22 	 1.433353e+08 	 9.698101e+38 	 6.336269e+38 	 3.255622e+22 	 6.590493e+09
1.19937274e+01 	 1.150784e-05 	 1.629380e+03 	 9.425708e+04 	 1.284502e+09 	 1.440674e+22 	 1.415855e+08 	 9.698056e+38 	 6.336253e+38 	 3.221485e+22 	 6.525940e+09
1.19937774e+01 	 1.163726e-05 	 1.627591e+03 	 9.320794e+04 	 1.281684e+09 	 1.424605e+22 	 1.398572e+08 	 9.698010e+38 	 6.336237e+38 	 3.187745e+22 	 6.462005e+09
1.19938275e+01 	 1.176814e-05 	 1.625806e+03 	 9.217048e+04 	 1.278874e+09 	 1.408730e+22 	 1.381501e+08 	 9.697965e+38 	 6.336222e+38 	 3.154399e+22 	 6.398683e+09
1.19938776e+01 	 1.190049e-05 	 1.624025e+03 	 9.114456e+04 	 1.276074e+09 	 1.393047e+22 	 1.364641e+08 	 9.697919e+38 	 6.336206e+38 	 3.121440e+22 	 6.335969e+09
1.19939277e+01 	 1.203433e-05 	 1.622248e+03 	 9.013007e+04 	 1.273282e+09 	 1.377554e+22 	 1.347987e+08 	 9.697873e+38 	 6.336190e+38 	 3.088865e+22 	 6.273856e+09
1.19939778e+01 	 1.216967e-05 	 1.620474e+03 	 8.912686e+04 	 1.270499e+09 	 1.362249e+22 	 1.331539e+08 	 9.697827e+38 	 6.336174e+38 	 3.056667e+22 	 6.212338e+09
