r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20017526e+01 	 1.701469e-03 	 3.131982e+03 	 2.012917e+03 	 1.582004e+09 	 1.599386e+22 	 1.840642e+06 	 1.675291e+39 	 1.094945e+39 	 4.768604e+22 	 1.223792e+08
1.20044115e+01 	 1.721120e-03 	 3.129332e+03 	 1.988936e+03 	 1.579328e+09 	 1.588458e+22 	 1.818087e+06 	 1.673741e+39 	 1.094060e+39 	 4.736221e+22 	 1.210796e+08
1.20070908e+01 	 1.740991e-03 	 3.126679e+03 	 1.965242e+03 	 1.576651e+09 	 1.577582e+22 	 1.795811e+06 	 1.672186e+39 	 1.093173e+39 	 4.703989e+22 	 1.197942e+08
1.20097906e+01 	 1.761085e-03 	 3.124022e+03 	 1.941829e+03 	 1.573973e+09 	 1.566758e+22 	 1.773812e+06 	 1.670624e+39 	 1.092282e+39 	 4.671907e+22 	 1.185229e+08
1.20125109e+01 	 1.781405e-03 	 3.121361e+03 	 1.918695e+03 	 1.571293e+09 	 1.555986e+22 	 1.752085e+06 	 1.669057e+39 	 1.091388e+39 	 4.639975e+22 	 1.172655e+08
1.20152519e+01 	 1.801952e-03 	 3.118697e+03 	 1.895837e+03 	 1.568611e+09 	 1.545265e+22 	 1.730628e+06 	 1.667483e+39 	 1.090491e+39 	 4.608193e+22 	 1.160219e+08
1.20180139e+01 	 1.822729e-03 	 3.116029e+03 	 1.873251e+03 	 1.565929e+09 	 1.534595e+22 	 1.709437e+06 	 1.665904e+39 	 1.089590e+39 	 4.576559e+22 	 1.147918e+08
1.20207968e+01 	 1.843739e-03 	 3.113357e+03 	 1.850935e+03 	 1.563244e+09 	 1.523977e+22 	 1.688508e+06 	 1.664319e+39 	 1.088687e+39 	 4.545074e+22 	 1.135753e+08
1.20236009e+01 	 1.864983e-03 	 3.110681e+03 	 1.828884e+03 	 1.560559e+09 	 1.513410e+22 	 1.667839e+06 	 1.662728e+39 	 1.087780e+39 	 4.513737e+22 	 1.123721e+08
1.20264264e+01 	 1.886465e-03 	 3.108002e+03 	 1.807096e+03 	 1.557871e+09 	 1.502893e+22 	 1.647426e+06 	 1.661131e+39 	 1.086870e+39 	 4.482547e+22 	 1.111820e+08
1.20292734e+01 	 1.908188e-03 	 3.105318e+03 	 1.785567e+03 	 1.555183e+09 	 1.492427e+22 	 1.627266e+06 	 1.659528e+39 	 1.085958e+39 	 4.451504e+22 	 1.100050e+08
1.20321420e+01 	 1.930152e-03 	 3.102631e+03 	 1.764295e+03 	 1.552492e+09 	 1.482011e+22 	 1.607356e+06 	 1.657920e+39 	 1.085042e+39 	 4.420609e+22 	 1.088409e+08
1.20350323e+01 	 1.952362e-03 	 3.099941e+03 	 1.743276e+03 	 1.549801e+09 	 1.471646e+22 	 1.587693e+06 	 1.656306e+39 	 1.084123e+39 	 4.389859e+22 	 1.076894e+08
