r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20053866e+01 	 6.110804e-03 	 3.134325e+03 	 7.911406e+02 	 1.584372e+09 	 1.596890e+22 	 5.128765e+05 	 1.708543e+39 	 1.116857e+39 	 4.779027e+22 	 4.806695e+07
1.20159117e+01 	 6.173217e-03 	 3.129928e+03 	 7.815893e+02 	 1.579930e+09 	 1.579028e+22 	 5.069790e+05 	 1.705124e+39 	 1.115139e+39 	 4.725611e+22 	 4.761405e+07
1.20264778e+01 	 6.236232e-03 	 3.125533e+03 	 7.721533e+02 	 1.575496e+09 	 1.561348e+22 	 5.011515e+05 	 1.701709e+39 	 1.113423e+39 	 4.672743e+22 	 4.716557e+07
1.20370842e+01 	 6.299856e-03 	 3.121140e+03 	 7.628312e+02 	 1.571070e+09 	 1.543852e+22 	 4.953932e+05 	 1.698298e+39 	 1.111709e+39 	 4.620421e+22 	 4.672146e+07
1.20477321e+01 	 6.364092e-03 	 3.116749e+03 	 7.536216e+02 	 1.566653e+09 	 1.526535e+22 	 4.897031e+05 	 1.694892e+39 	 1.109996e+39 	 4.568635e+22 	 4.628168e+07
1.20584221e+01 	 6.428945e-03 	 3.112360e+03 	 7.445233e+02 	 1.562244e+09 	 1.509396e+22 	 4.840806e+05 	 1.691490e+39 	 1.108286e+39 	 4.517383e+22 	 4.584619e+07
1.20691547e+01 	 6.494421e-03 	 3.107974e+03 	 7.355348e+02 	 1.557843e+09 	 1.492434e+22 	 4.785248e+05 	 1.688092e+39 	 1.106577e+39 	 4.466657e+22 	 4.541496e+07
1.20799313e+01 	 6.560524e-03 	 3.103589e+03 	 7.266548e+02 	 1.553450e+09 	 1.475646e+22 	 4.730349e+05 	 1.684699e+39 	 1.104870e+39 	 4.416450e+22 	 4.498794e+07
1.20907525e+01 	 6.627259e-03 	 3.099205e+03 	 7.178820e+02 	 1.549065e+09 	 1.459029e+22 	 4.676103e+05 	 1.681310e+39 	 1.103166e+39 	 4.366756e+22 	 4.456510e+07
1.21016178e+01 	 6.694631e-03 	 3.094823e+03 	 7.092151e+02 	 1.544688e+09 	 1.442583e+22 	 4.622501e+05 	 1.677926e+39 	 1.101464e+39 	 4.317570e+22 	 4.414639e+07
1.21125276e+01 	 6.762647e-03 	 3.090443e+03 	 7.006528e+02 	 1.540318e+09 	 1.426305e+22 	 4.569534e+05 	 1.674548e+39 	 1.099764e+39 	 4.268887e+22 	 4.373178e+07
