r (cm)        	 u (cm/s)    	 cs (cm/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20013683e+06 	 9.027346e-01 	 2.935846e+08 	 7.570443e+04 	 1.390066e+09 	 1.596030e+22 	 3.262794e+08 	 8.145968e+38 	 5.323990e+38 	 3.829555e+22 	 4.998473e+09
1.20014964e+06 	 9.132687e-01 	 2.931981e+08 	 7.482940e+04 	 1.386409e+09 	 1.576875e+22 	 3.220813e+08 	 8.145892e+38 	 5.323970e+38 	 3.785519e+22 	 4.948859e+09
1.20016244e+06 	 9.239258e-01 	 2.928123e+08 	 7.396449e+04 	 1.382763e+09 	 1.557962e+22 	 3.179374e+08 	 8.145815e+38 	 5.323950e+38 	 3.742018e+22 	 4.899728e+09
1.20017523e+06 	 9.347073e-01 	 2.924273e+08 	 7.310958e+04 	 1.379129e+09 	 1.539286e+22 	 3.138472e+08 	 8.145738e+38 	 5.323930e+38 	 3.699045e+22 	 4.851076e+09
1.20018800e+06 	 9.456146e-01 	 2.920429e+08 	 7.226454e+04 	 1.375506e+09 	 1.520844e+22 	 3.098099e+08 	 8.145661e+38 	 5.323910e+38 	 3.656592e+22 	 4.802898e+09
1.20020076e+06 	 9.566492e-01 	 2.916592e+08 	 7.142928e+04 	 1.371894e+09 	 1.502635e+22 	 3.058248e+08 	 8.145585e+38 	 5.323890e+38 	 3.614654e+22 	 4.755190e+09
1.20021351e+06 	 9.678125e-01 	 2.912762e+08 	 7.060367e+04 	 1.368293e+09 	 1.484654e+22 	 3.018912e+08 	 8.145508e+38 	 5.323869e+38 	 3.573225e+22 	 4.707947e+09
1.20022625e+06 	 9.791062e-01 	 2.908939e+08 	 6.978760e+04 	 1.364704e+09 	 1.466899e+22 	 2.980084e+08 	 8.145431e+38 	 5.323849e+38 	 3.532296e+22 	 4.661165e+09
1.20023897e+06 	 9.905317e-01 	 2.905123e+08 	 6.898096e+04 	 1.361126e+09 	 1.449366e+22 	 2.941759e+08 	 8.145354e+38 	 5.323829e+38 	 3.491864e+22 	 4.614839e+09
1.20025168e+06 	 1.002091e+00 	 2.901314e+08 	 6.818365e+04 	 1.357559e+09 	 1.432054e+22 	 2.903929e+08 	 8.145278e+38 	 5.323809e+38 	 3.451919e+22 	 4.568966e+09
1.20026438e+06 	 1.013784e+00 	 2.897512e+08 	 6.739555e+04 	 1.354003e+09 	 1.414958e+22 	 2.866588e+08 	 8.145201e+38 	 5.323789e+38 	 3.412458e+22 	 4.523540e+09
1.20027707e+06 	 1.025615e+00 	 2.893717e+08 	 6.661657e+04 	 1.350458e+09 	 1.398077e+22 	 2.829730e+08 	 8.145124e+38 	 5.323768e+38 	 3.373474e+22 	 4.478557e+09
1.20028975e+06 	 1.037583e+00 	 2.889928e+08 	 6.584658e+04 	 1.346924e+09 	 1.381407e+22 	 2.793349e+08 	 8.145048e+38 	 5.323748e+38 	 3.334960e+22 	 4.434013e+09
1.20030241e+06 	 1.049691e+00 	 2.886147e+08 	 6.508550e+04 	 1.343402e+09 	 1.364946e+22 	 2.757437e+08 	 8.144971e+38 	 5.323728e+38 	 3.296912e+22 	 4.389905e+09
1.20031506e+06 	 1.061940e+00 	 2.882372e+08 	 6.433321e+04 	 1.339890e+09 	 1.348691e+22 	 2.721990e+08 	 8.144895e+38 	 5.323707e+38 	 3.259322e+22 	 4.346227e+09
