r (km)   	 u (km/s) 	 cs (km/s) 	 rho (g/cm3) 	 T (K)    	 P (dyne/cm2) 	 phi      	 L (erg/s) 	 L* (erg/s) 	 E (erg) 
1.201e+01 	 2.919e-03 	 3.131e+03 	 1.313e+03 	 1.581e+09 	 1.597e+22 	 1.072e+06 	 1.693e+39 	 1.107e+39 	 4.758e+22
1.202e+01 	 2.949e-03 	 3.128e+03 	 1.299e+03 	 1.578e+09 	 1.584e+22 	 1.061e+06 	 1.691e+39 	 1.106e+39 	 4.722e+22
1.202e+01 	 2.978e-03 	 3.125e+03 	 1.285e+03 	 1.575e+09 	 1.572e+22 	 1.049e+06 	 1.689e+39 	 1.105e+39 	 4.686e+22
1.203e+01 	 3.008e-03 	 3.122e+03 	 1.271e+03 	 1.572e+09 	 1.560e+22 	 1.038e+06 	 1.687e+39 	 1.104e+39 	 4.650e+22
1.203e+01 	 3.039e-03 	 3.119e+03 	 1.258e+03 	 1.569e+09 	 1.548e+22 	 1.026e+06 	 1.685e+39 	 1.103e+39 	 4.614e+22
1.204e+01 	 3.069e-03 	 3.116e+03 	 1.244e+03 	 1.566e+09 	 1.536e+22 	 1.015e+06 	 1.683e+39 	 1.101e+39 	 4.579e+22
1.204e+01 	 3.100e-03 	 3.113e+03 	 1.230e+03 	 1.563e+09 	 1.525e+22 	 1.004e+06 	 1.681e+39 	 1.100e+39 	 4.544e+22
1.205e+01 	 3.131e-03 	 3.110e+03 	 1.217e+03 	 1.560e+09 	 1.513e+22 	 9.931e+05 	 1.679e+39 	 1.099e+39 	 4.509e+22
1.205e+01 	 3.163e-03 	 3.107e+03 	 1.204e+03 	 1.557e+09 	 1.501e+22 	 9.822e+05 	 1.676e+39 	 1.098e+39 	 4.474e+22
1.205e+01 	 3.195e-03 	 3.104e+03 	 1.191e+03 	 1.554e+09 	 1.489e+22 	 9.715e+05 	 1.674e+39 	 1.097e+39 	 4.440e+22
1.206e+01 	 3.227e-03 	 3.101e+03 	 1.178e+03 	 1.551e+09 	 1.478e+22 	 9.609e+05 	 1.672e+39 	 1.096e+39 	 4.405e+22
1.206e+01 	 3.259e-03 	 3.098e+03 	 1.165e+03 	 1.548e+09 	 1.466e+22 	 9.504e+05 	 1.670e+39 	 1.095e+39 	 4.371e+22
1.207e+01 	 3.292e-03 	 3.095e+03 	 1.153e+03 	 1.545e+09 	 1.455e+22 	 9.401e+05 	 1.668e+39 	 1.093e+39 	 4.337e+22
1.207e+01 	 3.325e-03 	 3.092e+03 	 1.140e+03 	 1.542e+09 	 1.444e+22 	 9.298e+05 	 1.666e+39 	 1.092e+39 	 4.303e+22
1.208e+01 	 3.359e-03 	 3.089e+03 	 1.128e+03 	 1.539e+09 	 1.432e+22 	 9.197e+05 	 1.664e+39 	 1.091e+39 	 4.270e+22
