r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20027970e+01 	 1.635258e-06 	 2.845797e+03 	 1.049490e+05 	 1.306102e+09 	 1.588115e+22 	 1.750086e+09 	 6.145695e+38 	 4.016918e+38 	 3.520224e+22 	 7.205943e+09
1.20029011e+01 	 1.655165e-06 	 2.841549e+03 	 1.036847e+05 	 1.302205e+09 	 1.566548e+22 	 1.726367e+09 	 6.145662e+38 	 4.016915e+38 	 3.473953e+22 	 7.132243e+09
1.20030051e+01 	 1.675314e-06 	 2.837308e+03 	 1.024356e+05 	 1.298321e+09 	 1.545280e+22 	 1.702970e+09 	 6.145630e+38 	 4.016912e+38 	 3.428307e+22 	 7.059285e+09
1.20031088e+01 	 1.695709e-06 	 2.833074e+03 	 1.012016e+05 	 1.294449e+09 	 1.524308e+22 	 1.679891e+09 	 6.145597e+38 	 4.016909e+38 	 3.383280e+22 	 6.987061e+09
1.20032124e+01 	 1.716352e-06 	 2.828847e+03 	 9.998247e+04 	 1.290589e+09 	 1.503627e+22 	 1.657126e+09 	 6.145564e+38 	 4.016906e+38 	 3.338861e+22 	 6.915563e+09
1.20033158e+01 	 1.737246e-06 	 2.824628e+03 	 9.877802e+04 	 1.286742e+09 	 1.483232e+22 	 1.634671e+09 	 6.145532e+38 	 4.016903e+38 	 3.295042e+22 	 6.844786e+09
1.20034190e+01 	 1.758395e-06 	 2.820415e+03 	 9.758808e+04 	 1.282907e+09 	 1.463121e+22 	 1.612521e+09 	 6.145499e+38 	 4.016900e+38 	 3.251815e+22 	 6.774722e+09
1.20035220e+01 	 1.779802e-06 	 2.816210e+03 	 9.641247e+04 	 1.279085e+09 	 1.443288e+22 	 1.590672e+09 	 6.145467e+38 	 4.016897e+38 	 3.209173e+22 	 6.705363e+09
1.20036248e+01 	 1.801469e-06 	 2.812012e+03 	 9.525102e+04 	 1.275274e+09 	 1.423730e+22 	 1.569121e+09 	 6.145434e+38 	 4.016894e+38 	 3.167106e+22 	 6.636702e+09
1.20037274e+01 	 1.823400e-06 	 2.807821e+03 	 9.410357e+04 	 1.271476e+09 	 1.404443e+22 	 1.547863e+09 	 6.145402e+38 	 4.016891e+38 	 3.125606e+22 	 6.568733e+09
