r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20008047e+01 	 2.416831e-06 	 2.859464e+03 	 1.003417e+05 	 1.318677e+09 	 1.586849e+22 	 1.189326e+09 	 6.427487e+38 	 4.200732e+38 	 3.559012e+22 	 6.847436e+09
1.20009106e+01 	 2.445745e-06 	 2.855311e+03 	 9.915341e+04 	 1.314849e+09 	 1.565872e+22 	 1.173502e+09 	 6.427450e+38 	 4.200727e+38 	 3.513548e+22 	 6.778500e+09
1.20010163e+01 	 2.475006e-06 	 2.851164e+03 	 9.797922e+04 	 1.311033e+09 	 1.545180e+22 	 1.157890e+09 	 6.427414e+38 	 4.200723e+38 	 3.468683e+22 	 6.710247e+09
1.20011218e+01 	 2.504617e-06 	 2.847025e+03 	 9.681894e+04 	 1.307229e+09 	 1.524768e+22 	 1.142486e+09 	 6.427377e+38 	 4.200718e+38 	 3.424409e+22 	 6.642670e+09
1.20012272e+01 	 2.534582e-06 	 2.842893e+03 	 9.567239e+04 	 1.303437e+09 	 1.504632e+22 	 1.127287e+09 	 6.427340e+38 	 4.200714e+38 	 3.380719e+22 	 6.575762e+09
1.20013323e+01 	 2.564905e-06 	 2.838768e+03 	 9.453943e+04 	 1.299657e+09 	 1.484769e+22 	 1.112292e+09 	 6.427304e+38 	 4.200709e+38 	 3.337604e+22 	 6.509517e+09
1.20014373e+01 	 2.595592e-06 	 2.834650e+03 	 9.341988e+04 	 1.295889e+09 	 1.465174e+22 	 1.097497e+09 	 6.427267e+38 	 4.200705e+38 	 3.295056e+22 	 6.443929e+09
1.20015422e+01 	 2.626646e-06 	 2.830538e+03 	 9.231358e+04 	 1.292133e+09 	 1.445845e+22 	 1.082899e+09 	 6.427230e+38 	 4.200701e+38 	 3.253069e+22 	 6.378991e+09
1.20016468e+01 	 2.658071e-06 	 2.826434e+03 	 9.122039e+04 	 1.288388e+09 	 1.426777e+22 	 1.068497e+09 	 6.427194e+38 	 4.200696e+38 	 3.211633e+22 	 6.314696e+09
1.20017513e+01 	 2.689872e-06 	 2.822336e+03 	 9.014015e+04 	 1.284655e+09 	 1.407967e+22 	 1.054286e+09 	 6.427158e+38 	 4.200692e+38 	 3.170743e+22 	 6.251038e+09
1.20018556e+01 	 2.722054e-06 	 2.818246e+03 	 8.907270e+04 	 1.280934e+09 	 1.389411e+22 	 1.040266e+09 	 6.427121e+38 	 4.200687e+38 	 3.130389e+22 	 6.188012e+09
1.20019597e+01 	 2.754622e-06 	 2.814162e+03 	 8.801788e+04 	 1.277225e+09 	 1.371106e+22 	 1.026432e+09 	 6.427085e+38 	 4.200683e+38 	 3.090566e+22 	 6.125611e+09
1.20020636e+01 	 2.787578e-06 	 2.810085e+03 	 8.697556e+04 	 1.273527e+09 	 1.353049e+22 	 1.012783e+09 	 6.427049e+38 	 4.200678e+38 	 3.051265e+22 	 6.063829e+09
1.20021674e+01 	 2.820930e-06 	 2.806015e+03 	 8.594559e+04 	 1.269840e+09 	 1.335235e+22 	 9.993164e+08 	 6.427012e+38 	 4.200674e+38 	 3.012481e+22 	 6.002660e+09
1.20022710e+01 	 2.854680e-06 	 2.801952e+03 	 8.492781e+04 	 1.266166e+09 	 1.317661e+22 	 9.860294e+08 	 6.426976e+38 	 4.200670e+38 	 2.974205e+22 	 5.942097e+09
1.20023744e+01 	 2.888834e-06 	 2.797896e+03 	 8.392208e+04 	 1.262503e+09 	 1.300325e+22 	 9.729197e+08 	 6.426940e+38 	 4.200665e+38 	 2.936431e+22 	 5.882136e+09
1.20024777e+01 	 2.923397e-06 	 2.793847e+03 	 8.292826e+04 	 1.258851e+09 	 1.283223e+22 	 9.599850e+08 	 6.426904e+38 	 4.200661e+38 	 2.899153e+22 	 5.822770e+09
1.20025808e+01 	 2.958374e-06 	 2.789804e+03 	 8.194621e+04 	 1.255210e+09 	 1.266351e+22 	 9.472229e+08 	 6.426868e+38 	 4.200656e+38 	 2.862362e+22 	 5.763993e+09
1.20026837e+01 	 2.993769e-06 	 2.785768e+03 	 8.097580e+04 	 1.251581e+09 	 1.249707e+22 	 9.346310e+08 	 6.426832e+38 	 4.200652e+38 	 2.826054e+22 	 5.705799e+09
1.20027864e+01 	 3.029588e-06 	 2.781740e+03 	 8.001687e+04 	 1.247964e+09 	 1.233288e+22 	 9.222072e+08 	 6.426796e+38 	 4.200647e+38 	 2.790222e+22 	 5.648184e+09
1.20028890e+01 	 3.065835e-06 	 2.777717e+03 	 7.906930e+04 	 1.244358e+09 	 1.217090e+22 	 9.099491e+08 	 6.426760e+38 	 4.200643e+38 	 2.754858e+22 	 5.591140e+09
1.20029914e+01 	 3.102517e-06 	 2.773702e+03 	 7.813295e+04 	 1.240763e+09 	 1.201109e+22 	 8.978546e+08 	 6.426724e+38 	 4.200639e+38 	 2.719957e+22 	 5.534664e+09
1.20030937e+01 	 3.139637e-06 	 2.769694e+03 	 7.720769e+04 	 1.237179e+09 	 1.185345e+22 	 8.859214e+08 	 6.426689e+38 	 4.200634e+38 	 2.685512e+22 	 5.478748e+09
1.20031958e+01 	 3.177201e-06 	 2.765692e+03 	 7.629338e+04 	 1.233606e+09 	 1.169792e+22 	 8.741474e+08 	 6.426653e+38 	 4.200630e+38 	 2.651518e+22 	 5.423388e+09
1.20032977e+01 	 3.215215e-06 	 2.761697e+03 	 7.538990e+04 	 1.230045e+09 	 1.154449e+22 	 8.625304e+08 	 6.426617e+38 	 4.200625e+38 	 2.617968e+22 	 5.368578e+09
1.20033994e+01 	 3.253684e-06 	 2.757708e+03 	 7.449713e+04 	 1.226495e+09 	 1.139312e+22 	 8.510684e+08 	 6.426582e+38 	 4.200621e+38 	 2.584856e+22 	 5.314313e+09
1.20035010e+01 	 3.292613e-06 	 2.753727e+03 	 7.361492e+04 	 1.222956e+09 	 1.124379e+22 	 8.397593e+08 	 6.426546e+38 	 4.200617e+38 	 2.552177e+22 	 5.260587e+09
1.20036024e+01 	 3.332008e-06 	 2.749752e+03 	 7.274316e+04 	 1.219428e+09 	 1.109647e+22 	 8.286009e+08 	 6.426510e+38 	 4.200612e+38 	 2.519924e+22 	 5.207396e+09
1.20037037e+01 	 3.371875e-06 	 2.745784e+03 	 7.188173e+04 	 1.215911e+09 	 1.095113e+22 	 8.175914e+08 	 6.426475e+38 	 4.200608e+38 	 2.488092e+22 	 5.154733e+09
1.20038048e+01 	 3.412218e-06 	 2.741823e+03 	 7.103049e+04 	 1.212405e+09 	 1.080775e+22 	 8.067287e+08 	 6.426440e+38 	 4.200603e+38 	 2.456676e+22 	 5.102594e+09
1.20039057e+01 	 3.453045e-06 	 2.737868e+03 	 7.018934e+04 	 1.208910e+09 	 1.066629e+22 	 7.960109e+08 	 6.426404e+38 	 4.200599e+38 	 2.425668e+22 	 5.050974e+09
1.20040065e+01 	 3.494360e-06 	 2.733920e+03 	 6.935815e+04 	 1.205427e+09 	 1.052673e+22 	 7.854359e+08 	 6.426369e+38 	 4.200594e+38 	 2.395066e+22 	 4.999868e+09
1.20041071e+01 	 3.536169e-06 	 2.729979e+03 	 6.853680e+04 	 1.201954e+09 	 1.038904e+22 	 7.750020e+08 	 6.426334e+38 	 4.200590e+38 	 2.364861e+22 	 4.949270e+09
1.20042076e+01 	 3.578479e-06 	 2.726044e+03 	 6.772518e+04 	 1.198491e+09 	 1.025321e+22 	 7.647071e+08 	 6.426298e+38 	 4.200586e+38 	 2.335050e+22 	 4.899175e+09
1.20043079e+01 	 3.621296e-06 	 2.722116e+03 	 6.692317e+04 	 1.195040e+09 	 1.011920e+22 	 7.545495e+08 	 6.426263e+38 	 4.200581e+38 	 2.305627e+22 	 4.849579e+09
1.20044080e+01 	 3.664624e-06 	 2.718195e+03 	 6.613065e+04 	 1.191599e+09 	 9.986983e+21 	 7.445273e+08 	 6.426228e+38 	 4.200577e+38 	 2.276587e+22 	 4.800477e+09
1.20045080e+01 	 3.708471e-06 	 2.714280e+03 	 6.534752e+04 	 1.188170e+09 	 9.856543e+21 	 7.346387e+08 	 6.426193e+38 	 4.200572e+38 	 2.247925e+22 	 4.751864e+09
1.20046079e+01 	 3.752843e-06 	 2.710372e+03 	 6.457367e+04 	 1.184751e+09 	 9.727853e+21 	 7.248818e+08 	 6.426158e+38 	 4.200568e+38 	 2.219635e+22 	 4.703735e+09
1.20047075e+01 	 3.797746e-06 	 2.706471e+03 	 6.380898e+04 	 1.181342e+09 	 9.600887e+21 	 7.152551e+08 	 6.426123e+38 	 4.200564e+38 	 2.191713e+22 	 4.656086e+09
1.20048071e+01 	 3.843186e-06 	 2.702576e+03 	 6.305334e+04 	 1.177945e+09 	 9.475624e+21 	 7.057566e+08 	 6.426088e+38 	 4.200559e+38 	 2.164154e+22 	 4.608911e+09
1.20049064e+01 	 3.889170e-06 	 2.698688e+03 	 6.230666e+04 	 1.174558e+09 	 9.352039e+21 	 6.963847e+08 	 6.426053e+38 	 4.200555e+38 	 2.136952e+22 	 4.562206e+09
1.20050056e+01 	 3.935705e-06 	 2.694806e+03 	 6.156881e+04 	 1.171181e+09 	 9.230109e+21 	 6.871377e+08 	 6.426018e+38 	 4.200550e+38 	 2.110104e+22 	 4.515966e+09
1.20051047e+01 	 3.982796e-06 	 2.690931e+03 	 6.083970e+04 	 1.167815e+09 	 9.109813e+21 	 6.780139e+08 	 6.425983e+38 	 4.200546e+38 	 2.083604e+22 	 4.470188e+09
1.20052036e+01 	 4.030451e-06 	 2.687062e+03 	 6.011923e+04 	 1.164460e+09 	 8.991126e+21 	 6.690117e+08 	 6.425948e+38 	 4.200542e+38 	 2.057448e+22 	 4.424866e+09
1.20053023e+01 	 4.078676e-06 	 2.683200e+03 	 5.940729e+04 	 1.161115e+09 	 8.874028e+21 	 6.601294e+08 	 6.425914e+38 	 4.200537e+38 	 2.031631e+22 	 4.379995e+09
1.20054009e+01 	 4.127478e-06 	 2.679345e+03 	 5.870378e+04 	 1.157781e+09 	 8.758497e+21 	 6.513655e+08 	 6.425879e+38 	 4.200533e+38 	 2.006148e+22 	 4.335572e+09
1.20054994e+01 	 4.176865e-06 	 2.675496e+03 	 5.800860e+04 	 1.154457e+09 	 8.644511e+21 	 6.427183e+08 	 6.425844e+38 	 4.200528e+38 	 1.980996e+22 	 4.291593e+09
1.20055977e+01 	 4.226842e-06 	 2.671653e+03 	 5.732166e+04 	 1.151143e+09 	 8.532050e+21 	 6.341863e+08 	 6.425810e+38 	 4.200524e+38 	 1.956170e+22 	 4.248051e+09
1.20056958e+01 	 4.277418e-06 	 2.667817e+03 	 5.664285e+04 	 1.147840e+09 	 8.421091e+21 	 6.257680e+08 	 6.425775e+38 	 4.200520e+38 	 1.931665e+22 	 4.204945e+09
1.20057938e+01 	 4.328598e-06 	 2.663988e+03 	 5.597207e+04 	 1.144547e+09 	 8.311615e+21 	 6.174618e+08 	 6.425741e+38 	 4.200515e+38 	 1.907476e+22 	 4.162268e+09
1.20058917e+01 	 4.380392e-06 	 2.660165e+03 	 5.530924e+04 	 1.141264e+09 	 8.203601e+21 	 6.092662e+08 	 6.425706e+38 	 4.200511e+38 	 1.883601e+22 	 4.120018e+09
1.20059894e+01 	 4.432805e-06 	 2.656349e+03 	 5.465426e+04 	 1.137992e+09 	 8.097031e+21 	 6.011798e+08 	 6.425672e+38 	 4.200506e+38 	 1.860035e+22 	 4.078189e+09
1.20060870e+01 	 4.485845e-06 	 2.652539e+03 	 5.400704e+04 	 1.134730e+09 	 7.991883e+21 	 5.932011e+08 	 6.425637e+38 	 4.200502e+38 	 1.836773e+22 	 4.036777e+09
1.20061844e+01 	 4.539521e-06 	 2.648735e+03 	 5.336748e+04 	 1.131478e+09 	 7.888139e+21 	 5.853286e+08 	 6.425603e+38 	 4.200497e+38 	 1.813812e+22 	 3.995780e+09
1.20062816e+01 	 4.593838e-06 	 2.644938e+03 	 5.273550e+04 	 1.128237e+09 	 7.785780e+21 	 5.775610e+08 	 6.425569e+38 	 4.200493e+38 	 1.791148e+22 	 3.955191e+09
1.20063787e+01 	 4.648806e-06 	 2.641148e+03 	 5.211099e+04 	 1.125005e+09 	 7.684786e+21 	 5.698968e+08 	 6.425534e+38 	 4.200489e+38 	 1.768776e+22 	 3.915008e+09
1.20064757e+01 	 4.704431e-06 	 2.637363e+03 	 5.149389e+04 	 1.121784e+09 	 7.585139e+21 	 5.623347e+08 	 6.425500e+38 	 4.200484e+38 	 1.746693e+22 	 3.875227e+09
1.20065725e+01 	 4.760723e-06 	 2.633586e+03 	 5.088409e+04 	 1.118572e+09 	 7.486821e+21 	 5.548733e+08 	 6.425466e+38 	 4.200480e+38 	 1.724894e+22 	 3.835842e+09
1.20066692e+01 	 4.817687e-06 	 2.629814e+03 	 5.028151e+04 	 1.115371e+09 	 7.389813e+21 	 5.475112e+08 	 6.425432e+38 	 4.200475e+38 	 1.703377e+22 	 3.796852e+09
1.20067658e+01 	 4.875334e-06 	 2.626050e+03 	 4.968607e+04 	 1.112180e+09 	 7.294097e+21 	 5.402471e+08 	 6.425398e+38 	 4.200471e+38 	 1.682138e+22 	 3.758251e+09
1.20068622e+01 	 4.933671e-06 	 2.622291e+03 	 4.909768e+04 	 1.108998e+09 	 7.199656e+21 	 5.330797e+08 	 6.425364e+38 	 4.200467e+38 	 1.661172e+22 	 3.720036e+09
1.20069584e+01 	 4.992706e-06 	 2.618539e+03 	 4.851626e+04 	 1.105827e+09 	 7.106472e+21 	 5.260077e+08 	 6.425330e+38 	 4.200462e+38 	 1.640476e+22 	 3.682203e+09
1.20070545e+01 	 5.052447e-06 	 2.614793e+03 	 4.794173e+04 	 1.102666e+09 	 7.014530e+21 	 5.190299e+08 	 6.425296e+38 	 4.200458e+38 	 1.620046e+22 	 3.644749e+09
1.20071505e+01 	 5.112903e-06 	 2.611054e+03 	 4.737399e+04 	 1.099514e+09 	 6.923810e+21 	 5.121450e+08 	 6.425262e+38 	 4.200453e+38 	 1.599880e+22 	 3.607669e+09
1.20072464e+01 	 5.174083e-06 	 2.607321e+03 	 4.681298e+04 	 1.096372e+09 	 6.834298e+21 	 5.053516e+08 	 6.425228e+38 	 4.200449e+38 	 1.579973e+22 	 3.570960e+09
1.20073421e+01 	 5.235995e-06 	 2.603594e+03 	 4.625862e+04 	 1.093240e+09 	 6.745976e+21 	 4.986487e+08 	 6.425194e+38 	 4.200445e+38 	 1.560322e+22 	 3.534618e+09
1.20074376e+01 	 5.298648e-06 	 2.599874e+03 	 4.571082e+04 	 1.090118e+09 	 6.658828e+21 	 4.920350e+08 	 6.425160e+38 	 4.200440e+38 	 1.540924e+22 	 3.498640e+09
1.20075330e+01 	 5.362051e-06 	 2.596160e+03 	 4.516950e+04 	 1.087006e+09 	 6.572838e+21 	 4.855094e+08 	 6.425126e+38 	 4.200436e+38 	 1.521775e+22 	 3.463022e+09
1.20076283e+01 	 5.426212e-06 	 2.592452e+03 	 4.463460e+04 	 1.083904e+09 	 6.487991e+21 	 4.790705e+08 	 6.425093e+38 	 4.200431e+38 	 1.502872e+22 	 3.427760e+09
1.20077235e+01 	 5.491142e-06 	 2.588751e+03 	 4.410603e+04 	 1.080811e+09 	 6.404272e+21 	 4.727174e+08 	 6.425059e+38 	 4.200427e+38 	 1.484212e+22 	 3.392852e+09
1.20078185e+01 	 5.556848e-06 	 2.585056e+03 	 4.358372e+04 	 1.077727e+09 	 6.321664e+21 	 4.664487e+08 	 6.425025e+38 	 4.200423e+38 	 1.465791e+22 	 3.358293e+09
1.20079134e+01 	 5.623341e-06 	 2.581367e+03 	 4.306759e+04 	 1.074654e+09 	 6.240152e+21 	 4.602635e+08 	 6.424992e+38 	 4.200418e+38 	 1.447607e+22 	 3.324080e+09
1.20080081e+01 	 5.690630e-06 	 2.577685e+03 	 4.255758e+04 	 1.071590e+09 	 6.159722e+21 	 4.541606e+08 	 6.424958e+38 	 4.200414e+38 	 1.429656e+22 	 3.290210e+09
1.20081027e+01 	 5.758724e-06 	 2.574008e+03 	 4.205361e+04 	 1.068536e+09 	 6.080359e+21 	 4.481388e+08 	 6.424924e+38 	 4.200409e+38 	 1.411935e+22 	 3.256680e+09
1.20081972e+01 	 5.827633e-06 	 2.570338e+03 	 4.155560e+04 	 1.065491e+09 	 6.002049e+21 	 4.421972e+08 	 6.424891e+38 	 4.200405e+38 	 1.394441e+22 	 3.223485e+09
1.20082915e+01 	 5.897367e-06 	 2.566675e+03 	 4.106350e+04 	 1.062455e+09 	 5.924777e+21 	 4.363346e+08 	 6.424857e+38 	 4.200401e+38 	 1.377172e+22 	 3.190623e+09
1.20083857e+01 	 5.967935e-06 	 2.563017e+03 	 4.057722e+04 	 1.059430e+09 	 5.848529e+21 	 4.305500e+08 	 6.424824e+38 	 4.200396e+38 	 1.360124e+22 	 3.158090e+09
1.20084798e+01 	 6.039348e-06 	 2.559366e+03 	 4.009670e+04 	 1.056413e+09 	 5.773291e+21 	 4.248424e+08 	 6.424791e+38 	 4.200392e+38 	 1.343293e+22 	 3.125883e+09
1.20085737e+01 	 6.111616e-06 	 2.555721e+03 	 3.962186e+04 	 1.053406e+09 	 5.699050e+21 	 4.192106e+08 	 6.424757e+38 	 4.200387e+38 	 1.326679e+22 	 3.094000e+09
