r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	lambda     
1.020245e+07 	1.776467e+07 	5.907742e-05 	2.512925e+14 	3.318896e+07 	3.318899e+07 	2.000000e+00 	3.815592e+38 	3.660112e+38 	1.135022e+02 	3.332515e-01 	sonic point
1.024938e+07 	1.767169e+07 	5.807139e-05 	2.460742e+14 	3.345216e+07 	3.310202e+07 	2.000111e+00 	3.814226e+38 	3.659513e+38 	1.121121e+02 	3.332496e-01 	
1.029653e+07 	1.757930e+07 	5.708359e-05 	2.409696e+14 	3.371681e+07 	3.301538e+07 	2.000442e+00 	3.812867e+38 	3.658918e+38 	1.107411e+02 	3.332477e-01 	
1.034390e+07 	1.748748e+07 	5.611370e-05 	2.359759e+14 	3.398290e+07 	3.292904e+07 	2.000993e+00 	3.811516e+38 	3.658327e+38 	1.093887e+02 	3.332458e-01 	
1.039149e+07 	1.739624e+07 	5.516136e-05 	2.310908e+14 	3.425044e+07 	3.284303e+07 	2.001761e+00 	3.810172e+38 	3.657738e+38 	1.080549e+02 	3.332438e-01 	
1.043929e+07 	1.730557e+07 	5.422623e-05 	2.263118e+14 	3.451943e+07 	3.275732e+07 	2.002746e+00 	3.808836e+38 	3.657154e+38 	1.067393e+02 	3.332417e-01 	
1.048731e+07 	1.721546e+07 	5.330800e-05 	2.216364e+14 	3.478987e+07 	3.267193e+07 	2.003947e+00 	3.807508e+38 	3.656573e+38 	1.054415e+02 	3.332396e-01 	
1.053556e+07 	1.712592e+07 	5.240634e-05 	2.170623e+14 	3.506177e+07 	3.258685e+07 	2.005361e+00 	3.806187e+38 	3.655995e+38 	1.041615e+02 	3.332375e-01 	
1.058402e+07 	1.703693e+07 	5.152093e-05 	2.125873e+14 	3.533511e+07 	3.250208e+07 	2.006989e+00 	3.804873e+38 	3.655421e+38 	1.028988e+02 	3.332353e-01 	
1.063271e+07 	1.694850e+07 	5.065147e-05 	2.082091e+14 	3.560992e+07 	3.241761e+07 	2.008828e+00 	3.803566e+38 	3.654850e+38 	1.016533e+02 	3.332331e-01 	
1.068163e+07 	1.686061e+07 	4.979764e-05 	2.039254e+14 	3.588617e+07 	3.233346e+07 	2.010878e+00 	3.802267e+38 	3.654283e+38 	1.004247e+02 	3.332309e-01 	
1.073076e+07 	1.677328e+07 	4.895916e-05 	1.997343e+14 	3.616389e+07 	3.224961e+07 	2.013137e+00 	3.800975e+38 	3.653719e+38 	9.921279e+01 	3.332286e-01 	
1.078013e+07 	1.668648e+07 	4.813574e-05 	1.956336e+14 	3.644306e+07 	3.216606e+07 	2.015605e+00 	3.799691e+38 	3.653158e+38 	9.801724e+01 	3.332262e-01 	
1.082972e+07 	1.660023e+07 	4.732708e-05 	1.916212e+14 	3.672368e+07 	3.208282e+07 	2.018280e+00 	3.798413e+38 	3.652601e+38 	9.683785e+01 	3.332238e-01 	
1.087954e+07 	1.651451e+07 	4.653291e-05 	1.876952e+14 	3.700577e+07 	3.199987e+07 	2.021162e+00 	3.797143e+38 	3.652047e+38 	9.567438e+01 	3.332214e-01 	
1.092959e+07 	1.642932e+07 	4.575296e-05 	1.838536e+14 	3.728931e+07 	3.191723e+07 	2.024248e+00 	3.795879e+38 	3.651496e+38 	9.452661e+01 	3.332188e-01 	
1.097987e+07 	1.634466e+07 	4.498695e-05 	1.800946e+14 	3.757432e+07 	3.183489e+07 	2.027539e+00 	3.794623e+38 	3.650949e+38 	9.339429e+01 	3.332163e-01 	
1.103038e+07 	1.626052e+07 	4.423463e-05 	1.764163e+14 	3.786078e+07 	3.175285e+07 	2.031033e+00 	3.793374e+38 	3.650405e+38 	9.227722e+01 	3.332137e-01 	
1.108112e+07 	1.617691e+07 	4.349573e-05 	1.728169e+14 	3.814871e+07 	3.167110e+07 	2.034729e+00 	3.792132e+38 	3.649864e+38 	9.117516e+01 	3.332110e-01 	
1.113210e+07 	1.609381e+07 	4.277000e-05 	1.692946e+14 	3.843810e+07 	3.158965e+07 	2.038626e+00 	3.790896e+38 	3.649327e+38 	9.008789e+01 	3.332083e-01 	
1.118331e+07 	1.601122e+07 	4.205719e-05 	1.658477e+14 	3.872894e+07 	3.150850e+07 	2.042724e+00 	3.789668e+38 	3.648792e+38 	8.901521e+01 	3.332055e-01 	
1.123475e+07 	1.592915e+07 	4.135707e-05 	1.624745e+14 	3.902125e+07 	3.142763e+07 	2.047021e+00 	3.788446e+38 	3.648261e+38 	8.795689e+01 	3.332027e-01 	
