r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	
1.200000e+06 	2.670669e+09 	1.939316e+05 	1.604931e+23 	1.574508e+00 	4.069354e+08 	2.591775e+08 	1.711430e+39 	1.118478e+39 	8.276413e+09 	
1.200036e+06 	2.665583e+09 	1.917876e+05 	1.591013e+23 	1.592000e+00 	4.065478e+08 	2.560783e+08 	1.711316e+39 	1.118422e+39 	8.196187e+09 	
1.200073e+06 	2.660514e+09 	1.896674e+05 	1.577237e+23 	1.609687e+00 	4.061610e+08 	2.530166e+08 	1.711202e+39 	1.118365e+39 	8.116721e+09 	
1.200109e+06 	2.655462e+09 	1.875705e+05 	1.563601e+23 	1.627570e+00 	4.057752e+08 	2.499919e+08 	1.711088e+39 	1.118308e+39 	8.038008e+09 	
1.200145e+06 	2.650426e+09 	1.854969e+05 	1.550105e+23 	1.645651e+00 	4.053903e+08 	2.470037e+08 	1.710973e+39 	1.118251e+39 	7.960041e+09 	
1.200182e+06 	2.645407e+09 	1.834462e+05 	1.536745e+23 	1.663933e+00 	4.050062e+08 	2.440517e+08 	1.710858e+39 	1.118194e+39 	7.882813e+09 	
1.200218e+06 	2.640404e+09 	1.814182e+05 	1.523522e+23 	1.682418e+00 	4.046231e+08 	2.411353e+08 	1.710743e+39 	1.118136e+39 	7.806317e+09 	
1.200254e+06 	2.635417e+09 	1.794126e+05 	1.510433e+23 	1.701109e+00 	4.042408e+08 	2.382541e+08 	1.710627e+39 	1.118079e+39 	7.730546e+09 	
1.200291e+06 	2.630446e+09 	1.774291e+05 	1.497476e+23 	1.720007e+00 	4.038594e+08 	2.354077e+08 	1.710510e+39 	1.118021e+39 	7.655495e+09 	
1.200327e+06 	2.625492e+09 	1.754676e+05 	1.484651e+23 	1.739114e+00 	4.034789e+08 	2.325958e+08 	1.710394e+39 	1.117962e+39 	7.581156e+09 	
1.200364e+06 	2.620553e+09 	1.735278e+05 	1.471955e+23 	1.758434e+00 	4.030992e+08 	2.298177e+08 	1.710276e+39 	1.117904e+39 	7.507522e+09 	
1.200401e+06 	2.615631e+09 	1.716094e+05 	1.459388e+23 	1.777969e+00 	4.027204e+08 	2.270732e+08 	1.710159e+39 	1.117845e+39 	7.434588e+09 	
1.200437e+06 	2.610724e+09 	1.697122e+05 	1.446948e+23 	1.797720e+00 	4.023425e+08 	2.243618e+08 	1.710041e+39 	1.117786e+39 	7.362346e+09 	
1.200474e+06 	2.605834e+09 	1.678360e+05 	1.434633e+23 	1.817690e+00 	4.019655e+08 	2.216832e+08 	1.709922e+39 	1.117726e+39 	7.290790e+09 	
1.200511e+06 	2.600959e+09 	1.659806e+05 	1.422442e+23 	1.837883e+00 	4.015894e+08 	2.190369e+08 	1.709803e+39 	1.117667e+39 	7.219914e+09 	
1.200547e+06 	2.596100e+09 	1.641456e+05 	1.410375e+23 	1.858299e+00 	4.012141e+08 	2.164225e+08 	1.709684e+39 	1.117607e+39 	7.149711e+09 	
1.200584e+06 	2.591257e+09 	1.623310e+05 	1.398428e+23 	1.878942e+00 	4.008397e+08 	2.138397e+08 	1.709564e+39 	1.117546e+39 	7.080176e+09 	
1.200621e+06 	2.586430e+09 	1.605364e+05 	1.386602e+23 	1.899815e+00 	4.004662e+08 	2.112880e+08 	1.709444e+39 	1.117486e+39 	7.011301e+09 	
1.200658e+06 	2.581619e+09 	1.587616e+05 	1.374895e+23 	1.920919e+00 	4.000935e+08 	2.087671e+08 	1.709323e+39 	1.117425e+39 	6.943082e+09 	
1.200695e+06 	2.576823e+09 	1.570065e+05 	1.363304e+23 	1.942257e+00 	3.997217e+08 	2.062767e+08 	1.709201e+39 	1.117364e+39 	6.875512e+09 	
1.200732e+06 	2.572042e+09 	1.552707e+05 	1.351830e+23 	1.963832e+00 	3.993508e+08 	2.038162e+08 	1.709080e+39 	1.117303e+39 	6.808584e+09 	
1.200769e+06 	2.567277e+09 	1.535542e+05 	1.340471e+23 	1.985647e+00 	3.989807e+08 	2.013854e+08 	1.708958e+39 	1.117241e+39 	6.742294e+09 	
1.200806e+06 	2.562528e+09 	1.518566e+05 	1.329225e+23 	2.007704e+00 	3.986114e+08 	1.989839e+08 	1.708835e+39 	1.117179e+39 	6.676635e+09 	
1.200843e+06 	2.557794e+09 	1.501778e+05 	1.318092e+23 	2.030006e+00 	3.982431e+08 	1.966114e+08 	1.708712e+39 	1.117117e+39 	6.611600e+09 	
1.200880e+06 	2.553075e+09 	1.485176e+05 	1.307069e+23 	2.052555e+00 	3.978755e+08 	1.942675e+08 	1.708588e+39 	1.117054e+39 	6.547185e+09 	
1.200917e+06 	2.548372e+09 	1.468757e+05 	1.296157e+23 	2.075354e+00 	3.975089e+08 	1.919518e+08 	1.708464e+39 	1.116992e+39 	6.483384e+09 	
1.200954e+06 	2.543684e+09 	1.452520e+05 	1.285354e+23 	2.098407e+00 	3.971431e+08 	1.896640e+08 	1.708340e+39 	1.116929e+39 	6.420190e+09 	
