r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	
1.200001e+06 	2.524138e+09 	3.689620e+05 	1.604931e+23 	5.221689e-01 	3.956143e+08 	7.629496e+08 	1.289613e+39 	8.428066e+38 	1.638993e+10 	
1.200025e+06 	2.518191e+09 	3.648306e+05 	1.587424e+23 	5.280582e-01 	3.951480e+08 	7.535061e+08 	1.289580e+39 	8.427936e+38 	1.623349e+10 	
1.200049e+06 	2.512264e+09 	3.607454e+05 	1.570122e+23 	5.340139e-01 	3.946827e+08 	7.441805e+08 	1.289546e+39 	8.427806e+38 	1.607851e+10 	
1.200073e+06 	2.506354e+09 	3.567060e+05 	1.553025e+23 	5.400367e-01 	3.942182e+08 	7.349712e+08 	1.289512e+39 	8.427675e+38 	1.592499e+10 	
1.200097e+06 	2.500464e+09 	3.527118e+05 	1.536128e+23 	5.461275e-01 	3.937547e+08 	7.258769e+08 	1.289479e+39 	8.427544e+38 	1.577290e+10 	
1.200121e+06 	2.494592e+09 	3.487623e+05 	1.519430e+23 	5.522871e-01 	3.932921e+08 	7.168960e+08 	1.289445e+39 	8.427412e+38 	1.562223e+10 	
1.200145e+06 	2.488739e+09 	3.448571e+05 	1.502929e+23 	5.585161e-01 	3.928304e+08 	7.080272e+08 	1.289411e+39 	8.427281e+38 	1.547297e+10 	
1.200169e+06 	2.482904e+09 	3.409955e+05 	1.486622e+23 	5.648153e-01 	3.923696e+08 	6.992691e+08 	1.289377e+39 	8.427149e+38 	1.532510e+10 	
1.200193e+06 	2.477087e+09 	3.371773e+05 	1.470506e+23 	5.711857e-01 	3.919098e+08 	6.906202e+08 	1.289343e+39 	8.427016e+38 	1.517862e+10 	
1.200217e+06 	2.471289e+09 	3.334017e+05 	1.454581e+23 	5.776279e-01 	3.914509e+08 	6.820793e+08 	1.289310e+39 	8.426884e+38 	1.503351e+10 	
1.200240e+06 	2.465510e+09 	3.296685e+05 	1.438841e+23 	5.841427e-01 	3.909929e+08 	6.736449e+08 	1.289276e+39 	8.426751e+38 	1.488976e+10 	
1.200264e+06 	2.459748e+09 	3.259771e+05 	1.423287e+23 	5.907311e-01 	3.905358e+08 	6.653156e+08 	1.289242e+39 	8.426617e+38 	1.474735e+10 	
1.200288e+06 	2.454005e+09 	3.223269e+05 	1.407914e+23 	5.973938e-01 	3.900796e+08 	6.570902e+08 	1.289208e+39 	8.426484e+38 	1.460628e+10 	
1.200312e+06 	2.448280e+09 	3.187177e+05 	1.392722e+23 	6.041316e-01 	3.896243e+08 	6.489674e+08 	1.289173e+39 	8.426349e+38 	1.446652e+10 	
1.200336e+06 	2.442573e+09 	3.151489e+05 	1.377707e+23 	6.109455e-01 	3.891699e+08 	6.409459e+08 	1.289139e+39 	8.426215e+38 	1.432808e+10 	
1.200360e+06 	2.436884e+09 	3.116200e+05 	1.362868e+23 	6.178362e-01 	3.887164e+08 	6.330243e+08 	1.289105e+39 	8.426080e+38 	1.419093e+10 	
1.200384e+06 	2.431213e+09 	3.081307e+05 	1.348203e+23 	6.248046e-01 	3.882639e+08 	6.252015e+08 	1.289071e+39 	8.425945e+38 	1.405507e+10 	
1.200407e+06 	2.425560e+09 	3.046804e+05 	1.333709e+23 	6.318517e-01 	3.878122e+08 	6.174762e+08 	1.289037e+39 	8.425810e+38 	1.392048e+10 	
1.200431e+06 	2.419926e+09 	3.012688e+05 	1.319384e+23 	6.389782e-01 	3.873615e+08 	6.098472e+08 	1.289002e+39 	8.425674e+38 	1.378715e+10 	
1.200455e+06 	2.414308e+09 	2.978953e+05 	1.305227e+23 	6.461852e-01 	3.869117e+08 	6.023133e+08 	1.288968e+39 	8.425538e+38 	1.365508e+10 	
1.200479e+06 	2.408709e+09 	2.945597e+05 	1.291235e+23 	6.534734e-01 	3.864627e+08 	5.948732e+08 	1.288934e+39 	8.425402e+38 	1.352424e+10 	
1.200502e+06 	2.403127e+09 	2.912613e+05 	1.277406e+23 	6.608439e-01 	3.860147e+08 	5.875259e+08 	1.288899e+39 	8.425265e+38 	1.339462e+10 	
1.200526e+06 	2.397563e+09 	2.880000e+05 	1.263737e+23 	6.682975e-01 	3.855676e+08 	5.802700e+08 	1.288865e+39 	8.425128e+38 	1.326623e+10 	
1.200550e+06 	2.392017e+09 	2.847751e+05 	1.250228e+23 	6.758352e-01 	3.851213e+08 	5.731046e+08 	1.288830e+39 	8.424990e+38 	1.313904e+10 	
