r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	
1.200000e+06 	2.289824e+09 	6.325920e+05 	1.604931e+23 	1.080612e-01 	3.768049e+08 	3.542554e+09 	8.145509e+38 	5.323369e+38 	3.009380e+10 	
1.200017e+06 	2.283493e+09 	6.254232e+05 	1.584368e+23 	1.092964e-01 	3.762836e+08 	3.497270e+09 	8.145423e+38 	5.323351e+38 	2.980989e+10 	
1.200033e+06 	2.277180e+09 	6.183356e+05 	1.564076e+23 	1.105458e-01 	3.757631e+08 	3.452568e+09 	8.145337e+38 	5.323333e+38 	2.952862e+10 	
1.200049e+06 	2.270887e+09 	6.113283e+05 	1.544051e+23 	1.118094e-01 	3.752435e+08 	3.408440e+09 	8.145251e+38 	5.323316e+38 	2.924996e+10 	
1.200066e+06 	2.264613e+09 	6.044005e+05 	1.524290e+23 	1.130875e-01 	3.747248e+08 	3.364880e+09 	8.145165e+38 	5.323298e+38 	2.897388e+10 	
1.200082e+06 	2.258358e+09 	5.975511e+05 	1.504789e+23 	1.143803e-01 	3.742070e+08 	3.321879e+09 	8.145079e+38 	5.323280e+38 	2.870037e+10 	
1.200098e+06 	2.252123e+09 	5.907794e+05 	1.485545e+23 	1.156878e-01 	3.736900e+08 	3.279432e+09 	8.144993e+38 	5.323262e+38 	2.842939e+10 	
1.200115e+06 	2.245907e+09 	5.840844e+05 	1.466554e+23 	1.170102e-01 	3.731739e+08 	3.237529e+09 	8.144907e+38 	5.323245e+38 	2.816093e+10 	
1.200131e+06 	2.239709e+09 	5.774653e+05 	1.447813e+23 	1.183478e-01 	3.726587e+08 	3.196166e+09 	8.144822e+38 	5.323227e+38 	2.789497e+10 	
1.200147e+06 	2.233531e+09 	5.709212e+05 	1.429319e+23 	1.197007e-01 	3.721444e+08 	3.155333e+09 	8.144736e+38 	5.323209e+38 	2.763148e+10 	
1.200163e+06 	2.227371e+09 	5.644513e+05 	1.411067e+23 	1.210690e-01 	3.716309e+08 	3.115025e+09 	8.144651e+38 	5.323191e+38 	2.737043e+10 	
1.200180e+06 	2.221230e+09 	5.580547e+05 	1.393055e+23 	1.224531e-01 	3.711182e+08 	3.075235e+09 	8.144566e+38 	5.323174e+38 	2.711182e+10 	
1.200196e+06 	2.215108e+09 	5.517305e+05 	1.375280e+23 	1.238529e-01 	3.706064e+08 	3.035956e+09 	8.144480e+38 	5.323156e+38 	2.685560e+10 	
1.200212e+06 	2.209005e+09 	5.454781e+05 	1.357738e+23 	1.252687e-01 	3.700955e+08 	2.997182e+09 	8.144395e+38 	5.323138e+38 	2.660177e+10 	
1.200228e+06 	2.202920e+09 	5.392964e+05 	1.340426e+23 	1.267008e-01 	3.695854e+08 	2.958906e+09 	8.144310e+38 	5.323120e+38 	2.635030e+10 	
1.200244e+06 	2.196854e+09 	5.331849e+05 	1.323342e+23 	1.281492e-01 	3.690762e+08 	2.921121e+09 	8.144225e+38 	5.323103e+38 	2.610116e+10 	
1.200260e+06 	2.190807e+09 	5.271426e+05 	1.306482e+23 	1.296141e-01 	3.685679e+08 	2.883821e+09 	8.144141e+38 	5.323085e+38 	2.585434e+10 	
1.200276e+06 	2.184778e+09 	5.211688e+05 	1.289843e+23 	1.310959e-01 	3.680604e+08 	2.847001e+09 	8.144056e+38 	5.323067e+38 	2.560982e+10 	
1.200292e+06 	2.178768e+09 	5.152626e+05 	1.273422e+23 	1.325945e-01 	3.675538e+08 	2.810653e+09 	8.143971e+38 	5.323049e+38 	2.536757e+10 	
1.200308e+06 	2.172775e+09 	5.094235e+05 	1.257217e+23 	1.341104e-01 	3.670480e+08 	2.774772e+09 	8.143887e+38 	5.323031e+38 	2.512758e+10 	
1.200324e+06 	2.166801e+09 	5.036504e+05 	1.241223e+23 	1.356435e-01 	3.665430e+08 	2.739352e+09 	8.143802e+38 	5.323014e+38 	2.488982e+10 	
1.200340e+06 	2.160845e+09 	4.979428e+05 	1.225439e+23 	1.371942e-01 	3.660389e+08 	2.704386e+09 	8.143718e+38 	5.322996e+38 	2.465427e+10 	
1.200355e+06 	2.154908e+09 	4.922999e+05 	1.209862e+23 	1.387626e-01 	3.655357e+08 	2.669869e+09 	8.143634e+38 	5.322978e+38 	2.442092e+10 	
1.200371e+06 	2.148988e+09 	4.867209e+05 	1.194489e+23 	1.403490e-01 	3.650333e+08 	2.635796e+09 	8.143550e+38 	5.322960e+38 	2.418974e+10 	
1.200387e+06 	2.143087e+09 	4.812052e+05 	1.179317e+23 	1.419535e-01 	3.645318e+08 	2.602159e+09 	8.143466e+38 	5.322942e+38 	2.396070e+10 	
1.200403e+06 	2.137204e+09 	4.757520e+05 	1.164344e+23 	1.435763e-01 	3.640311e+08 	2.568955e+09 	8.143382e+38 	5.322924e+38 	2.373380e+10 	
1.200418e+06 	2.131339e+09 	4.703605e+05 	1.149566e+23 	1.452177e-01 	3.635312e+08 	2.536176e+09 	8.143298e+38 	5.322907e+38 	2.350902e+10 	
1.200434e+06 	2.125491e+09 	4.650302e+05 	1.134982e+23 	1.468779e-01 	3.630322e+08 	2.503818e+09 	8.143214e+38 	5.322889e+38 	2.328633e+10 	
1.200450e+06 	2.119662e+09 	4.597602e+05 	1.120588e+23 	1.485571e-01 	3.625340e+08 	2.471875e+09 	8.143130e+38 	5.322871e+38 	2.306571e+10 	
1.200466e+06 	2.113850e+09 	4.545500e+05 	1.106382e+23 	1.502555e-01 	3.620367e+08 	2.440343e+09 	8.143047e+38 	5.322853e+38 	2.284715e+10 	
1.200481e+06 	2.108056e+09 	4.493989e+05 	1.092362e+23 	1.519733e-01 	3.615401e+08 	2.409214e+09 	8.142963e+38 	5.322835e+38 	2.263063e+10 	
1.200497e+06 	2.102280e+09 	4.443061e+05 	1.078525e+23 	1.537107e-01 	3.610445e+08 	2.378485e+09 	8.142880e+38 	5.322817e+38 	2.241613e+10 	
1.200512e+06 	2.096521e+09 	4.392710e+05 	1.064869e+23 	1.554680e-01 	3.605497e+08 	2.348150e+09 	8.142797e+38 	5.322799e+38 	2.220362e+10 	
1.200528e+06 	2.090780e+09 	4.342930e+05 	1.051391e+23 	1.572455e-01 	3.600557e+08 	2.318205e+09 	8.142714e+38 	5.322782e+38 	2.199309e+10 	
1.200543e+06 	2.085057e+09 	4.293714e+05 	1.038088e+23 	1.590432e-01 	3.595625e+08 	2.288643e+09 	8.142630e+38 	5.322764e+38 	2.178453e+10 	
1.200559e+06 	2.079351e+09 	4.245055e+05 	1.024959e+23 	1.608615e-01 	3.590702e+08 	2.259460e+09 	8.142547e+38 	5.322746e+38 	2.157791e+10 	
1.200574e+06 	2.073662e+09 	4.196948e+05 	1.012002e+23 	1.627006e-01 	3.585786e+08 	2.230652e+09 	8.142464e+38 	5.322728e+38 	2.137322e+10 	
1.200590e+06 	2.067990e+09 	4.149387e+05 	9.992127e+22 	1.645608e-01 	3.580880e+08 	2.202213e+09 	8.142382e+38 	5.322710e+38 	2.117044e+10 	
1.200605e+06 	2.062336e+09 	4.102364e+05 	9.865903e+22 	1.664422e-01 	3.575981e+08 	2.174139e+09 	8.142299e+38 	5.322692e+38 	2.096956e+10 	
1.200621e+06 	2.056699e+09 	4.055874e+05 	9.741324e+22 	1.683451e-01 	3.571091e+08 	2.146424e+09 	8.142216e+38 	5.322674e+38 	2.077054e+10 	
1.200636e+06 	2.051080e+09 	4.009911e+05 	9.618368e+22 	1.702698e-01 	3.566209e+08 	2.119065e+09 	8.142134e+38 	5.322656e+38 	2.057339e+10 	
1.200651e+06 	2.045478e+09 	3.964469e+05 	9.497013e+22 	1.722165e-01 	3.561335e+08 	2.092057e+09 	8.142051e+38 	5.322638e+38 	2.037807e+10 	
1.200667e+06 	2.039892e+09 	3.919542e+05 	9.377237e+22 	1.741855e-01 	3.556470e+08 	2.065395e+09 	8.141969e+38 	5.322621e+38 	2.018458e+10 	
1.200682e+06 	2.034324e+09 	3.875124e+05 	9.259019e+22 	1.761770e-01 	3.551612e+08 	2.039074e+09 	8.141886e+38 	5.322603e+38 	1.999289e+10 	
1.200697e+06 	2.028773e+09 	3.831209e+05 	9.142337e+22 	1.781912e-01 	3.546763e+08 	2.013091e+09 	8.141804e+38 	5.322585e+38 	1.980299e+10 	
1.200712e+06 	2.023239e+09 	3.787792e+05 	9.027171e+22 	1.802286e-01 	3.541922e+08 	1.987441e+09 	8.141722e+38 	5.322567e+38 	1.961487e+10 	
1.200728e+06 	2.017721e+09 	3.744867e+05 	8.913501e+22 	1.822892e-01 	3.537089e+08 	1.962120e+09 	8.141640e+38 	5.322549e+38 	1.942851e+10 	
1.200743e+06 	2.012220e+09 	3.702428e+05 	8.801308e+22 	1.843734e-01 	3.532264e+08 	1.937123e+09 	8.141558e+38 	5.322531e+38 	1.924388e+10 	
1.200758e+06 	2.006736e+09 	3.660471e+05 	8.690572e+22 	1.864814e-01 	3.527448e+08 	1.912446e+09 	8.141476e+38 	5.322513e+38 	1.906098e+10 	
1.200773e+06 	2.001269e+09 	3.618989e+05 	8.581275e+22 	1.886135e-01 	3.522640e+08 	1.888085e+09 	8.141394e+38 	5.322495e+38 	1.887979e+10 	
1.200788e+06 	1.995819e+09 	3.577976e+05 	8.473398e+22 	1.907700e-01 	3.517839e+08 	1.864037e+09 	8.141312e+38 	5.322477e+38 	1.870030e+10 	
1.200803e+06 	1.990385e+09 	3.537429e+05 	8.366918e+22 	1.929512e-01 	3.513047e+08 	1.840296e+09 	8.141231e+38 	5.322459e+38 	1.852248e+10 	
1.200818e+06 	1.984968e+09 	3.497341e+05 	8.261820e+22 	1.951573e-01 	3.508263e+08 	1.816860e+09 	8.141149e+38 	5.322441e+38 	1.834632e+10 	
1.200833e+06 	1.979567e+09 	3.457708e+05 	8.158084e+22 	1.973887e-01 	3.503487e+08 	1.793724e+09 	8.141067e+38 	5.322423e+38 	1.817181e+10 	
1.200848e+06 	1.974183e+09 	3.418524e+05 	8.055692e+22 	1.996456e-01 	3.498720e+08 	1.770884e+09 	8.140986e+38 	5.322405e+38 	1.799894e+10 	
1.200863e+06 	1.968815e+09 	3.379783e+05 	7.954626e+22 	2.019283e-01 	3.493960e+08 	1.748336e+09 	8.140905e+38 	5.322387e+38 	1.782768e+10 	
