r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	
1.200000e+06 	2.215712e+09 	7.126948e+05 	1.604931e+23 	5.393739e-02 	3.706569e+08 	7.005475e+09 	6.984525e+38 	4.564626e+38 	3.469184e+10 	
1.200015e+06 	2.209326e+09 	7.045043e+05 	1.583520e+23 	5.456289e-02 	3.701224e+08 	6.914244e+09 	6.984466e+38 	4.564617e+38 	3.436132e+10 	
1.200030e+06 	2.202960e+09 	6.964079e+05 	1.562401e+23 	5.519565e-02 	3.695888e+08 	6.824208e+09 	6.984406e+38 	4.564609e+38 	3.403390e+10 	
1.200046e+06 	2.196614e+09 	6.884046e+05 	1.541569e+23 	5.583575e-02 	3.690561e+08 	6.735350e+09 	6.984347e+38 	4.564601e+38 	3.370956e+10 	
1.200061e+06 	2.190287e+09 	6.804933e+05 	1.521021e+23 	5.648328e-02 	3.685242e+08 	6.647655e+09 	6.984288e+38 	4.564593e+38 	3.338825e+10 	
1.200076e+06 	2.183980e+09 	6.726729e+05 	1.500753e+23 	5.713832e-02 	3.679932e+08 	6.561108e+09 	6.984229e+38 	4.564585e+38 	3.306996e+10 	
1.200091e+06 	2.177693e+09 	6.649423e+05 	1.480761e+23 	5.780096e-02 	3.674631e+08 	6.475694e+09 	6.984171e+38 	4.564577e+38 	3.275466e+10 	
1.200106e+06 	2.171425e+09 	6.573006e+05 	1.461042e+23 	5.847129e-02 	3.669339e+08 	6.391397e+09 	6.984112e+38 	4.564569e+38 	3.244232e+10 	
1.200121e+06 	2.165176e+09 	6.497468e+05 	1.441591e+23 	5.914940e-02 	3.664056e+08 	6.308204e+09 	6.984053e+38 	4.564561e+38 	3.213291e+10 	
1.200136e+06 	2.158947e+09 	6.422797e+05 	1.422404e+23 	5.983538e-02 	3.658781e+08 	6.226099e+09 	6.983995e+38 	4.564553e+38 	3.182640e+10 	
1.200151e+06 	2.152737e+09 	6.348984e+05 	1.403479e+23 	6.052931e-02 	3.653515e+08 	6.145068e+09 	6.983937e+38 	4.564545e+38 	3.152278e+10 	
1.200166e+06 	2.146546e+09 	6.276020e+05 	1.384811e+23 	6.123130e-02 	3.648258e+08 	6.065097e+09 	6.983878e+38 	4.564537e+38 	3.122200e+10 	
1.200180e+06 	2.140375e+09 	6.203894e+05 	1.366397e+23 	6.194143e-02 	3.643010e+08 	5.986172e+09 	6.983820e+38 	4.564529e+38 	3.092405e+10 	
1.200195e+06 	2.134222e+09 	6.132598e+05 	1.348233e+23 	6.265980e-02 	3.637770e+08 	5.908280e+09 	6.983762e+38 	4.564520e+38 	3.062890e+10 	
1.200210e+06 	2.128089e+09 	6.062120e+05 	1.330315e+23 	6.338650e-02 	3.632539e+08 	5.831407e+09 	6.983704e+38 	4.564512e+38 	3.033652e+10 	
1.200225e+06 	2.121974e+09 	5.992453e+05 	1.312642e+23 	6.412164e-02 	3.627317e+08 	5.755539e+09 	6.983646e+38 	4.564504e+38 	3.004689e+10 	
1.200240e+06 	2.115879e+09 	5.923586e+05 	1.295209e+23 	6.486530e-02 	3.622103e+08 	5.680663e+09 	6.983588e+38 	4.564496e+38 	2.975998e+10 	
1.200254e+06 	2.109802e+09 	5.855510e+05 	1.278012e+23 	6.561760e-02 	3.616898e+08 	5.606767e+09 	6.983531e+38 	4.564488e+38 	2.947577e+10 	
1.200269e+06 	2.103744e+09 	5.788217e+05 	1.261049e+23 	6.637862e-02 	3.611702e+08 	5.533837e+09 	6.983473e+38 	4.564480e+38 	2.919422e+10 	
1.200284e+06 	2.097705e+09 	5.721697e+05 	1.244316e+23 	6.714848e-02 	3.606514e+08 	5.461860e+09 	6.983416e+38 	4.564472e+38 	2.891533e+10 	
1.200298e+06 	2.091685e+09 	5.655942e+05 	1.227810e+23 	6.792727e-02 	3.601335e+08 	5.390825e+09 	6.983358e+38 	4.564464e+38 	2.863906e+10 	
1.200313e+06 	2.085683e+09 	5.590943e+05 	1.211528e+23 	6.871509e-02 	3.596165e+08 	5.320718e+09 	6.983301e+38 	4.564456e+38 	2.836539e+10 	
1.200327e+06 	2.079699e+09 	5.526690e+05 	1.195467e+23 	6.951205e-02 	3.591003e+08 	5.251528e+09 	6.983244e+38 	4.564448e+38 	2.809429e+10 	
1.200342e+06 	2.073734e+09 	5.463176e+05 	1.179623e+23 	7.031826e-02 	3.585849e+08 	5.183242e+09 	6.983187e+38 	4.564440e+38 	2.782574e+10 	
1.200356e+06 	2.067788e+09 	5.400391e+05 	1.163994e+23 	7.113383e-02 	3.580704e+08 	5.115848e+09 	6.983130e+38 	4.564432e+38 	2.755972e+10 	
1.200371e+06 	2.061860e+09 	5.338329e+05 	1.148577e+23 	7.195886e-02 	3.575568e+08 	5.049336e+09 	6.983073e+38 	4.564424e+38 	2.729620e+10 	
1.200385e+06 	2.055951e+09 	5.276979e+05 	1.133370e+23 	7.279346e-02 	3.570440e+08 	4.983693e+09 	6.983016e+38 	4.564416e+38 	2.703516e+10 	
1.200400e+06 	2.050059e+09 	5.216335e+05 	1.118368e+23 	7.363775e-02 	3.565321e+08 	4.918908e+09 	6.982959e+38 	4.564408e+38 	2.677658e+10 	
1.200414e+06 	2.044186e+09 	5.156387e+05 	1.103569e+23 	7.449183e-02 	3.560210e+08 	4.854970e+09 	6.982902e+38 	4.564400e+38 	2.652043e+10 	
1.200428e+06 	2.038331e+09 	5.097129e+05 	1.088970e+23 	7.535583e-02 	3.555108e+08 	4.791867e+09 	6.982846e+38 	4.564391e+38 	2.626670e+10 	
1.200443e+06 	2.032494e+09 	5.038551e+05 	1.074569e+23 	7.622984e-02 	3.550014e+08 	4.729588e+09 	6.982790e+38 	4.564383e+38 	2.601535e+10 	
1.200457e+06 	2.026675e+09 	4.980647e+05 	1.060363e+23 	7.711400e-02 	3.544929e+08 	4.668123e+09 	6.982733e+38 	4.564375e+38 	2.576637e+10 	
1.200471e+06 	2.020874e+09 	4.923408e+05 	1.046348e+23 	7.800842e-02 	3.539852e+08 	4.607461e+09 	6.982677e+38 	4.564367e+38 	2.551974e+10 	
1.200485e+06 	2.015091e+09 	4.866827e+05 	1.032524e+23 	7.891322e-02 	3.534783e+08 	4.547592e+09 	6.982621e+38 	4.564359e+38 	2.527543e+10 	
