r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	
1.200020e+06 	2.308848e+09 	6.118107e+05 	1.604931e+23 	1.253603e-01 	3.783669e+08 	3.063829e+09 	8.466977e+38 	5.533507e+38 	2.893771e+10 	
1.200037e+06 	2.302527e+09 	6.048902e+05 	1.584567e+23 	1.267905e-01 	3.778486e+08 	3.024787e+09 	8.466882e+38 	5.533486e+38 	2.866487e+10 	
1.200054e+06 	2.296225e+09 	5.980481e+05 	1.564469e+23 	1.282370e-01 	3.773311e+08 	2.986246e+09 	8.466786e+38 	5.533465e+38 	2.839456e+10 	
1.200071e+06 	2.289942e+09 	5.912834e+05 	1.544634e+23 	1.297000e-01 	3.768146e+08 	2.948198e+09 	8.466691e+38 	5.533444e+38 	2.812676e+10 	
1.200087e+06 	2.283678e+09 	5.845951e+05 	1.525058e+23 	1.311797e-01 	3.762989e+08 	2.910638e+09 	8.466596e+38 	5.533423e+38 	2.786144e+10 	
1.200104e+06 	2.277434e+09 	5.779826e+05 	1.505737e+23 	1.326763e-01 	3.757840e+08 	2.873559e+09 	8.466501e+38 	5.533402e+38 	2.759858e+10 	
1.200121e+06 	2.271208e+09 	5.714448e+05 	1.486669e+23 	1.341900e-01 	3.752701e+08 	2.836955e+09 	8.466407e+38 	5.533381e+38 	2.733816e+10 	
1.200137e+06 	2.265002e+09 	5.649810e+05 	1.467850e+23 	1.357210e-01 	3.747570e+08 	2.800820e+09 	8.466312e+38 	5.533359e+38 	2.708016e+10 	
1.200154e+06 	2.258815e+09 	5.585903e+05 	1.449277e+23 	1.372695e-01 	3.742448e+08 	2.765149e+09 	8.466217e+38 	5.533338e+38 	2.682455e+10 	
1.200171e+06 	2.252646e+09 	5.522719e+05 	1.430946e+23 	1.388356e-01 	3.737334e+08 	2.729934e+09 	8.466123e+38 	5.533317e+38 	2.657131e+10 	
