r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	
1.200001e+06 	2.741099e+09 	1.064890e+05 	1.604931e+23 	3.609842e+00 	4.122663e+08 	1.143412e+08 	1.992341e+39 	1.302063e+39 	4.460979e+09 	
1.200054e+06 	2.736742e+09 	1.053314e+05 	1.593644e+23 	3.649148e+00 	4.119385e+08 	1.130182e+08 	1.992055e+39 	1.301907e+39 	4.417662e+09 	
1.200107e+06 	2.732398e+09 	1.041864e+05 	1.582455e+23 	3.688880e+00 	4.116115e+08 	1.117106e+08 	1.991767e+39 	1.301750e+39 	4.374758e+09 	
1.200161e+06 	2.728067e+09 	1.030538e+05 	1.571363e+23 	3.729045e+00 	4.112851e+08 	1.104183e+08 	1.991478e+39 	1.301592e+39 	4.332264e+09 	
1.200215e+06 	2.723749e+09 	1.019335e+05 	1.560367e+23 	3.769646e+00 	4.109595e+08 	1.091411e+08 	1.991188e+39 	1.301433e+39 	4.290175e+09 	
1.200269e+06 	2.719443e+09 	1.008254e+05 	1.549467e+23 	3.810688e+00 	4.106345e+08 	1.078788e+08 	1.990896e+39 	1.301273e+39 	4.248487e+09 	
1.200323e+06 	2.715151e+09 	9.972934e+04 	1.538660e+23 	3.852177e+00 	4.103103e+08 	1.066313e+08 	1.990603e+39 	1.301112e+39 	4.207198e+09 	
1.200377e+06 	2.710870e+09 	9.864520e+04 	1.527946e+23 	3.894116e+00 	4.099867e+08 	1.053983e+08 	1.990308e+39 	1.300951e+39 	4.166302e+09 	
1.200431e+06 	2.706602e+09 	9.757285e+04 	1.517325e+23 	3.936510e+00 	4.096639e+08 	1.041798e+08 	1.990012e+39 	1.300788e+39 	4.125798e+09 	
1.200485e+06 	2.702347e+09 	9.651216e+04 	1.506795e+23 	3.979365e+00 	4.093417e+08 	1.029755e+08 	1.989715e+39 	1.300625e+39 	4.085681e+09 	
1.200540e+06 	2.698104e+09 	9.546300e+04 	1.496355e+23 	4.022686e+00 	4.090202e+08 	1.017853e+08 	1.989416e+39 	1.300461e+39 	4.045946e+09 	
1.200594e+06 	2.693873e+09 	9.442524e+04 	1.486005e+23 	4.066477e+00 	4.086994e+08 	1.006089e+08 	1.989115e+39 	1.300296e+39 	4.006592e+09 	
