r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	
1.200001e+06 	2.228020e+09 	6.994811e+05 	1.604931e+23 	6.166192e-02 	3.716849e+08 	6.141241e+09 	7.167598e+38 	4.684271e+38 	3.391751e+10 	
1.200016e+06 	2.221648e+09 	6.914706e+05 	1.583680e+23 	6.237445e-02 	3.711531e+08 	6.061603e+09 	7.167535e+38 	4.684262e+38 	3.359530e+10 	
1.200031e+06 	2.215295e+09 	6.835518e+05 	1.562716e+23 	6.309521e-02 	3.706220e+08 	5.983002e+09 	7.167472e+38 	4.684252e+38 	3.327611e+10 	
1.200047e+06 	2.208962e+09 	6.757237e+05 	1.542036e+23 	6.382431e-02 	3.700919e+08 	5.905427e+09 	7.167409e+38 	4.684243e+38 	3.295989e+10 	
1.200062e+06 	2.202649e+09 	6.679853e+05 	1.521636e+23 	6.456184e-02 	3.695627e+08 	5.828862e+09 	7.167347e+38 	4.684234e+38 	3.264664e+10 	
1.200077e+06 	2.196355e+09 	6.603354e+05 	1.501512e+23 	6.530789e-02 	3.690343e+08 	5.753295e+09 	7.167284e+38 	4.684224e+38 	3.233632e+10 	
1.200092e+06 	2.190080e+09 	6.527732e+05 	1.481661e+23 	6.606256e-02 	3.685068e+08 	5.678713e+09 	7.167221e+38 	4.684215e+38 	3.202890e+10 	
1.200108e+06 	2.183825e+09 	6.452976e+05 	1.462077e+23 	6.682597e-02 	3.679801e+08 	5.605103e+09 	7.167159e+38 	4.684206e+38 	3.172436e+10 	
1.200123e+06 	2.177589e+09 	6.379076e+05 	1.442759e+23 	6.759819e-02 	3.674544e+08 	5.532453e+09 	7.167097e+38 	4.684196e+38 	3.142267e+10 	
1.200138e+06 	2.171373e+09 	6.306023e+05 	1.423702e+23 	6.837935e-02 	3.669295e+08 	5.460749e+09 	7.167034e+38 	4.684187e+38 	3.112380e+10 	
1.200153e+06 	2.165176e+09 	6.233806e+05 	1.404903e+23 	6.916954e-02 	3.664055e+08 	5.389979e+09 	7.166972e+38 	4.684178e+38 	3.082773e+10 	
1.200168e+06 	2.158997e+09 	6.162416e+05 	1.386357e+23 	6.996886e-02 	3.658824e+08 	5.320131e+09 	7.166910e+38 	4.684168e+38 	3.053443e+10 	
1.200183e+06 	2.152838e+09 	6.091843e+05 	1.368062e+23 	7.077742e-02 	3.653601e+08 	5.251193e+09 	7.166848e+38 	4.684159e+38 	3.024388e+10 	
1.200198e+06 	2.146698e+09 	6.022079e+05 	1.350014e+23 	7.159533e-02 	3.648387e+08 	5.183153e+09 	7.166787e+38 	4.684149e+38 	2.995605e+10 	
1.200213e+06 	2.140577e+09 	5.953114e+05 	1.332209e+23 	7.242270e-02 	3.643182e+08 	5.115999e+09 	7.166725e+38 	4.684140e+38 	2.967091e+10 	
1.200228e+06 	2.134474e+09 	5.884938e+05 	1.314645e+23 	7.325963e-02 	3.637985e+08 	5.049720e+09 	7.166663e+38 	4.684131e+38 	2.938845e+10 	
1.200243e+06 	2.128390e+09 	5.817544e+05 	1.297318e+23 	7.410624e-02 	3.632797e+08 	4.984304e+09 	7.166602e+38 	4.684121e+38 	2.910864e+10 	
1.200258e+06 	2.122326e+09 	5.750921e+05 	1.280225e+23 	7.496263e-02 	3.627617e+08 	4.919741e+09 	7.166540e+38 	4.684112e+38 	2.883144e+10 	
1.200273e+06 	2.116280e+09 	5.685061e+05 	1.263362e+23 	7.582893e-02 	3.622446e+08 	4.856018e+09 	7.166479e+38 	4.684103e+38 	2.855685e+10 	
1.200287e+06 	2.110252e+09 	5.619955e+05 	1.246727e+23 	7.670525e-02 	3.617284e+08 	4.793124e+09 	7.166418e+38 	4.684093e+38 	2.828483e+10 	
1.200302e+06 	2.104243e+09 	5.555595e+05 	1.230316e+23 	7.759169e-02 	3.612130e+08 	4.731050e+09 	7.166357e+38 	4.684084e+38 	2.801535e+10 	
1.200317e+06 	2.098253e+09 	5.491972e+05 	1.214126e+23 	7.848838e-02 	3.606985e+08 	4.669784e+09 	7.166296e+38 	4.684075e+38 	2.774841e+10 	
1.200332e+06 	2.092281e+09 	5.429077e+05 	1.198153e+23 	7.939544e-02 	3.601849e+08 	4.609315e+09 	7.166235e+38 	4.684065e+38 	2.748397e+10 	
1.200346e+06 	2.086327e+09 	5.366903e+05 	1.182396e+23 	8.031299e-02 	3.596720e+08 	4.549633e+09 	7.166174e+38 	4.684056e+38 	2.722201e+10 	
1.200361e+06 	2.080392e+09 	5.305441e+05 	1.166852e+23 	8.124115e-02 	3.591601e+08 	4.490729e+09 	7.166113e+38 	4.684047e+38 	2.696251e+10 	
1.200376e+06 	2.074475e+09 	5.244683e+05 	1.151516e+23 	8.218003e-02 	3.586490e+08 	4.432591e+09 	7.166053e+38 	4.684037e+38 	2.670544e+10 	
