Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.00900000  	 6.43348192  	 6.43348800 
1.01000000  	 6.53028160  	 6.53028768 
1.01005556  	 6.53591466  	 6.53591967 
1.01111111  	 6.65261983  	 6.65262451 
1.01216666  	 6.81174435  	 6.81174866 
1.01222222  	 6.82286336  	 6.82286944 
1.01233333  	 6.84663964  	 6.84664340 
1.01244444  	 6.87296578  	 6.87296947 
1.01255555  	 6.90269063  	 6.90269424 
1.01266666  	 6.93718301  	 6.93718652 
1.01277778  	 6.97888965  	 6.97889305 
1.01288889  	 7.03291864  	 7.03292191 
1.01300000  	 7.11385824  	 7.11386432 
1.01307143  	 7.21046329  	 7.21046612 
