r (km)   	 u (km/s) 	 cs (km/s) 	 rho (g/cm3) 	 T (K)    	 P (dyne/cm2) 	 phi      	 L (erg/s) 	 L* (erg/s) 	 E (erg) 
1.000e+01 	 1.650e-04 	 2.719e+03 	 1.000e+04 	 1.193e+09 	 5.842e+21 	 1.648e+07 	 1.188e+39 	 6.941e+38 	 1.642e+22
1.000e+01 	 1.665e-04 	 2.717e+03 	 9.907e+03 	 1.191e+09 	 5.805e+21 	 1.632e+07 	 1.188e+39 	 6.941e+38 	 1.632e+22
1.000e+01 	 1.681e-04 	 2.716e+03 	 9.816e+03 	 1.189e+09 	 5.769e+21 	 1.616e+07 	 1.188e+39 	 6.941e+38 	 1.622e+22
1.000e+01 	 1.696e-04 	 2.714e+03 	 9.725e+03 	 1.188e+09 	 5.733e+21 	 1.600e+07 	 1.188e+39 	 6.940e+38 	 1.613e+22
1.000e+01 	 1.712e-04 	 2.712e+03 	 9.635e+03 	 1.186e+09 	 5.698e+21 	 1.584e+07 	 1.188e+39 	 6.940e+38 	 1.603e+22
1.000e+01 	 1.728e-04 	 2.710e+03 	 9.546e+03 	 1.184e+09 	 5.662e+21 	 1.568e+07 	 1.188e+39 	 6.940e+38 	 1.594e+22
1.000e+01 	 1.744e-04 	 2.708e+03 	 9.457e+03 	 1.183e+09 	 5.627e+21 	 1.553e+07 	 1.188e+39 	 6.940e+38 	 1.584e+22
1.000e+01 	 1.760e-04 	 2.706e+03 	 9.370e+03 	 1.181e+09 	 5.593e+21 	 1.537e+07 	 1.188e+39 	 6.940e+38 	 1.575e+22
1.000e+01 	 1.777e-04 	 2.704e+03 	 9.283e+03 	 1.179e+09 	 5.558e+21 	 1.522e+07 	 1.188e+39 	 6.940e+38 	 1.566e+22
1.000e+01 	 1.793e-04 	 2.702e+03 	 9.197e+03 	 1.178e+09 	 5.524e+21 	 1.507e+07 	 1.188e+39 	 6.940e+38 	 1.556e+22
1.000e+01 	 1.810e-04 	 2.700e+03 	 9.112e+03 	 1.176e+09 	 5.490e+21 	 1.492e+07 	 1.188e+39 	 6.940e+38 	 1.547e+22
1.000e+01 	 1.827e-04 	 2.699e+03 	 9.027e+03 	 1.174e+09 	 5.456e+21 	 1.477e+07 	 1.188e+39 	 6.939e+38 	 1.538e+22
1.000e+01 	 1.844e-04 	 2.697e+03 	 8.944e+03 	 1.173e+09 	 5.423e+21 	 1.462e+07 	 1.188e+39 	 6.939e+38 	 1.529e+22
1.000e+01 	 1.861e-04 	 2.695e+03 	 8.861e+03 	 1.171e+09 	 5.390e+21 	 1.448e+07 	 1.188e+39 	 6.939e+38 	 1.520e+22
1.000e+01 	 1.878e-04 	 2.693e+03 	 8.779e+03 	 1.170e+09 	 5.357e+21 	 1.434e+07 	 1.187e+39 	 6.939e+38 	 1.512e+22
1.000e+01 	 1.896e-04 	 2.691e+03 	 8.698e+03 	 1.168e+09 	 5.324e+21 	 1.419e+07 	 1.187e+39 	 6.939e+38 	 1.503e+22
1.000e+01 	 1.914e-04 	 2.689e+03 	 8.617e+03 	 1.166e+09 	 5.292e+21 	 1.405e+07 	 1.187e+39 	 6.939e+38 	 1.494e+22
1.000e+01 	 1.931e-04 	 2.687e+03 	 8.537e+03 	 1.165e+09 	 5.260e+21 	 1.391e+07 	 1.187e+39 	 6.939e+38 	 1.485e+22
1.000e+01 	 1.949e-04 	 2.686e+03 	 8.458e+03 	 1.163e+09 	 5.228e+21 	 1.378e+07 	 1.187e+39 	 6.938e+38 	 1.477e+22
1.000e+01 	 1.968e-04 	 2.684e+03 	 8.380e+03 	 1.162e+09 	 5.196e+21 	 1.364e+07 	 1.187e+39 	 6.938e+38 	 1.468e+22
1.000e+01 	 1.986e-04 	 2.682e+03 	 8.303e+03 	 1.160e+09 	 5.165e+21 	 1.350e+07 	 1.187e+39 	 6.938e+38 	 1.460e+22
1.000e+01 	 2.004e-04 	 2.680e+03 	 8.226e+03 	 1.158e+09 	 5.133e+21 	 1.337e+07 	 1.187e+39 	 6.938e+38 	 1.451e+22
1.000e+01 	 2.023e-04 	 2.678e+03 	 8.150e+03 	 1.157e+09 	 5.103e+21 	 1.324e+07 	 1.187e+39 	 6.938e+38 	 1.443e+22
1.000e+01 	 2.042e-04 	 2.677e+03 	 8.074e+03 	 1.155e+09 	 5.072e+21 	 1.311e+07 	 1.187e+39 	 6.938e+38 	 1.435e+22
1.000e+01 	 2.061e-04 	 2.675e+03 	 7.999e+03 	 1.154e+09 	 5.041e+21 	 1.298e+07 	 1.187e+39 	 6.938e+38 	 1.427e+22
1.000e+01 	 2.080e-04 	 2.673e+03 	 7.925e+03 	 1.152e+09 	 5.011e+21 	 1.285e+07 	 1.187e+39 	 6.937e+38 	 1.418e+22
1.000e+01 	 2.100e-04 	 2.671e+03 	 7.852e+03 	 1.151e+09 	 4.981e+21 	 1.272e+07 	 1.187e+39 	 6.937e+38 	 1.410e+22
1.000e+01 	 2.119e-04 	 2.669e+03 	 7.779e+03 	 1.149e+09 	 4.952e+21 	 1.260e+07 	 1.187e+39 	 6.937e+38 	 1.402e+22
1.000e+01 	 2.139e-04 	 2.667e+03 	 7.707e+03 	 1.148e+09 	 4.922e+21 	 1.247e+07 	 1.187e+39 	 6.937e+38 	 1.394e+22
1.000e+01 	 2.159e-04 	 2.666e+03 	 7.636e+03 	 1.146e+09 	 4.893e+21 	 1.235e+07 	 1.187e+39 	 6.937e+38 	 1.386e+22
1.000e+01 	 2.179e-04 	 2.664e+03 	 7.565e+03 	 1.144e+09 	 4.864e+21 	 1.223e+07 	 1.187e+39 	 6.937e+38 	 1.379e+22
1.000e+01 	 2.199e-04 	 2.662e+03 	 7.495e+03 	 1.143e+09 	 4.835e+21 	 1.210e+07 	 1.187e+39 	 6.936e+38 	 1.371e+22
