r (km)   	 u (km/s) 	 cs (km/s) 	 rho (g/cm3) 	 T (K)    	 P (dyne/cm2) 	 phi      	 L (erg/s) 	 L* (erg/s) 	 E (erg) 
1.000e+01 	 5.217e-04 	 3.799e+03 	 1.000e+04 	 2.327e+09 	 7.543e+22 	 7.280e+06 	 2.237e+39 	 1.307e+39 	 2.241e+23
1.000e+01 	 5.267e-04 	 3.796e+03 	 9.904e+03 	 2.324e+09 	 7.505e+22 	 7.208e+06 	 2.236e+39 	 1.306e+39 	 2.230e+23
1.000e+01 	 5.316e-04 	 3.794e+03 	 9.809e+03 	 2.322e+09 	 7.467e+22 	 7.136e+06 	 2.234e+39 	 1.306e+39 	 2.219e+23
1.000e+01 	 5.366e-04 	 3.792e+03 	 9.714e+03 	 2.319e+09 	 7.430e+22 	 7.065e+06 	 2.233e+39 	 1.305e+39 	 2.208e+23
1.001e+01 	 5.417e-04 	 3.789e+03 	 9.621e+03 	 2.316e+09 	 7.392e+22 	 6.995e+06 	 2.231e+39 	 1.304e+39 	 2.197e+23
1.001e+01 	 5.468e-04 	 3.787e+03 	 9.529e+03 	 2.313e+09 	 7.355e+22 	 6.925e+06 	 2.230e+39 	 1.304e+39 	 2.186e+23
1.001e+01 	 5.519e-04 	 3.785e+03 	 9.437e+03 	 2.310e+09 	 7.317e+22 	 6.856e+06 	 2.229e+39 	 1.303e+39 	 2.175e+23
1.001e+01 	 5.571e-04 	 3.782e+03 	 9.346e+03 	 2.307e+09 	 7.280e+22 	 6.788e+06 	 2.227e+39 	 1.302e+39 	 2.164e+23
1.001e+01 	 5.624e-04 	 3.780e+03 	 9.256e+03 	 2.304e+09 	 7.243e+22 	 6.720e+06 	 2.226e+39 	 1.301e+39 	 2.153e+23
1.001e+01 	 5.677e-04 	 3.778e+03 	 9.167e+03 	 2.301e+09 	 7.207e+22 	 6.654e+06 	 2.225e+39 	 1.301e+39 	 2.142e+23
1.001e+01 	 5.730e-04 	 3.775e+03 	 9.079e+03 	 2.299e+09 	 7.170e+22 	 6.587e+06 	 2.223e+39 	 1.300e+39 	 2.132e+23
1.001e+01 	 5.784e-04 	 3.773e+03 	 8.992e+03 	 2.296e+09 	 7.133e+22 	 6.522e+06 	 2.222e+39 	 1.299e+39 	 2.121e+23
1.001e+01 	 5.839e-04 	 3.771e+03 	 8.906e+03 	 2.293e+09 	 7.097e+22 	 6.457e+06 	 2.220e+39 	 1.299e+39 	 2.110e+23
1.002e+01 	 5.894e-04 	 3.768e+03 	 8.820e+03 	 2.290e+09 	 7.060e+22 	 6.393e+06 	 2.219e+39 	 1.298e+39 	 2.099e+23
1.002e+01 	 5.949e-04 	 3.766e+03 	 8.735e+03 	 2.287e+09 	 7.024e+22 	 6.329e+06 	 2.218e+39 	 1.297e+39 	 2.089e+23
1.002e+01 	 6.005e-04 	 3.763e+03 	 8.651e+03 	 2.284e+09 	 6.988e+22 	 6.266e+06 	 2.216e+39 	 1.296e+39 	 2.078e+23
1.002e+01 	 6.062e-04 	 3.761e+03 	 8.568e+03 	 2.281e+09 	 6.952e+22 	 6.204e+06 	 2.215e+39 	 1.296e+39 	 2.068e+23
1.002e+01 	 6.119e-04 	 3.759e+03 	 8.486e+03 	 2.278e+09 	 6.917e+22 	 6.142e+06 	 2.213e+39 	 1.295e+39 	 2.057e+23
1.002e+01 	 6.176e-04 	 3.756e+03 	 8.404e+03 	 2.276e+09 	 6.881e+22 	 6.081e+06 	 2.212e+39 	 1.294e+39 	 2.047e+23
1.002e+01 	 6.234e-04 	 3.754e+03 	 8.324e+03 	 2.273e+09 	 6.846e+22 	 6.021e+06 	 2.210e+39 	 1.294e+39 	 2.036e+23
1.002e+01 	 6.293e-04 	 3.752e+03 	 8.244e+03 	 2.270e+09 	 6.810e+22 	 5.961e+06 	 2.209e+39 	 1.293e+39 	 2.026e+23
1.003e+01 	 6.352e-04 	 3.749e+03 	 8.164e+03 	 2.267e+09 	 6.775e+22 	 5.902e+06 	 2.207e+39 	 1.292e+39 	 2.015e+23
1.003e+01 	 6.411e-04 	 3.747e+03 	 8.086e+03 	 2.264e+09 	 6.740e+22 	 5.843e+06 	 2.206e+39 	 1.291e+39 	 2.005e+23
1.003e+01 	 6.472e-04 	 3.744e+03 	 8.008e+03 	 2.261e+09 	 6.705e+22 	 5.785e+06 	 2.205e+39 	 1.291e+39 	 1.995e+23
1.003e+01 	 6.532e-04 	 3.742e+03 	 7.931e+03 	 2.258e+09 	 6.671e+22 	 5.728e+06 	 2.203e+39 	 1.290e+39 	 1.985e+23
1.003e+01 	 6.594e-04 	 3.740e+03 	 7.855e+03 	 2.255e+09 	 6.636e+22 	 5.671e+06 	 2.202e+39 	 1.289e+39 	 1.974e+23
1.003e+01 	 6.656e-04 	 3.737e+03 	 7.779e+03 	 2.253e+09 	 6.602e+22 	 5.614e+06 	 2.200e+39 	 1.288e+39 	 1.964e+23
1.003e+01 	 6.718e-04 	 3.735e+03 	 7.705e+03 	 2.250e+09 	 6.567e+22 	 5.559e+06 	 2.199e+39 	 1.288e+39 	 1.954e+23
1.004e+01 	 6.781e-04 	 3.732e+03 	 7.631e+03 	 2.247e+09 	 6.533e+22 	 5.504e+06 	 2.197e+39 	 1.287e+39 	 1.944e+23
1.004e+01 	 6.845e-04 	 3.730e+03 	 7.557e+03 	 2.244e+09 	 6.499e+22 	 5.449e+06 	 2.196e+39 	 1.286e+39 	 1.934e+23
1.004e+01 	 6.909e-04 	 3.728e+03 	 7.485e+03 	 2.241e+09 	 6.465e+22 	 5.395e+06 	 2.194e+39 	 1.285e+39 	 1.924e+23
1.004e+01 	 6.974e-04 	 3.725e+03 	 7.413e+03 	 2.238e+09 	 6.431e+22 	 5.341e+06 	 2.193e+39 	 1.285e+39 	 1.914e+23
1.004e+01 	 7.039e-04 	 3.723e+03 	 7.341e+03 	 2.235e+09 	 6.398e+22 	 5.288e+06 	 2.191e+39 	 1.284e+39 	 1.904e+23
1.004e+01 	 7.105e-04 	 3.720e+03 	 7.271e+03 	 2.232e+09 	 6.364e+22 	 5.236e+06 	 2.190e+39 	 1.283e+39 	 1.894e+23
1.004e+01 	 7.172e-04 	 3.718e+03 	 7.201e+03 	 2.230e+09 	 6.331e+22 	 5.184e+06 	 2.188e+39 	 1.282e+39 	 1.884e+23
1.005e+01 	 7.239e-04 	 3.716e+03 	 7.132e+03 	 2.227e+09 	 6.297e+22 	 5.132e+06 	 2.186e+39 	 1.282e+39 	 1.874e+23
