r (km)   	 u (km/s) 	 cs (km/s) 	 rho (g/cm3) 	 T (K)    	 P (dyne/cm2) 	 phi      	 L (erg/s) 	 L* (erg/s) 	 E (erg) 
9.997e+00 	 4.147e-05 	 2.257e+03 	 1.000e+04 	 8.215e+08 	 1.658e+21 	 5.441e+07 	 7.591e+38 	 4.434e+38 	 4.209e+21
9.997e+00 	 4.187e-05 	 2.254e+03 	 9.905e+03 	 8.197e+08 	 1.642e+21 	 5.384e+07 	 7.591e+38 	 4.434e+38 	 4.171e+21
9.997e+00 	 4.227e-05 	 2.252e+03 	 9.811e+03 	 8.181e+08 	 1.627e+21 	 5.328e+07 	 7.591e+38 	 4.434e+38 	 4.135e+21
9.997e+00 	 4.268e-05 	 2.250e+03 	 9.718e+03 	 8.165e+08 	 1.613e+21 	 5.272e+07 	 7.591e+38 	 4.434e+38 	 4.101e+21
9.997e+00 	 4.309e-05 	 2.248e+03 	 9.625e+03 	 8.149e+08 	 1.599e+21 	 5.217e+07 	 7.591e+38 	 4.434e+38 	 4.066e+21
9.998e+00 	 4.350e-05 	 2.246e+03 	 9.534e+03 	 8.133e+08 	 1.584e+21 	 5.162e+07 	 7.591e+38 	 4.434e+38 	 4.031e+21
9.998e+00 	 4.391e-05 	 2.243e+03 	 9.443e+03 	 8.116e+08 	 1.570e+21 	 5.108e+07 	 7.591e+38 	 4.434e+38 	 3.996e+21
9.998e+00 	 4.434e-05 	 2.241e+03 	 9.354e+03 	 8.100e+08 	 1.555e+21 	 5.054e+07 	 7.591e+38 	 4.434e+38 	 3.961e+21
9.998e+00 	 4.476e-05 	 2.239e+03 	 9.265e+03 	 8.082e+08 	 1.541e+21 	 5.001e+07 	 7.591e+38 	 4.434e+38 	 3.925e+21
9.998e+00 	 4.519e-05 	 2.236e+03 	 9.177e+03 	 8.066e+08 	 1.527e+21 	 4.949e+07 	 7.591e+38 	 4.434e+38 	 3.892e+21
9.998e+00 	 4.562e-05 	 2.234e+03 	 9.090e+03 	 8.051e+08 	 1.513e+21 	 4.897e+07 	 7.591e+38 	 4.434e+38 	 3.859e+21
9.998e+00 	 4.606e-05 	 2.232e+03 	 9.003e+03 	 8.035e+08 	 1.500e+21 	 4.846e+07 	 7.591e+38 	 4.434e+38 	 3.826e+21
9.998e+00 	 4.650e-05 	 2.230e+03 	 8.918e+03 	 8.019e+08 	 1.486e+21 	 4.795e+07 	 7.591e+38 	 4.434e+38 	 3.793e+21
9.998e+00 	 4.694e-05 	 2.228e+03 	 8.833e+03 	 8.002e+08 	 1.472e+21 	 4.745e+07 	 7.590e+38 	 4.434e+38 	 3.760e+21
9.998e+00 	 4.739e-05 	 2.225e+03 	 8.749e+03 	 7.986e+08 	 1.459e+21 	 4.695e+07 	 7.590e+38 	 4.434e+38 	 3.726e+21
9.998e+00 	 4.785e-05 	 2.223e+03 	 8.666e+03 	 7.969e+08 	 1.446e+21 	 4.646e+07 	 7.590e+38 	 4.434e+38 	 3.694e+21
9.998e+00 	 4.831e-05 	 2.221e+03 	 8.584e+03 	 7.954e+08 	 1.433e+21 	 4.597e+07 	 7.590e+38 	 4.434e+38 	 3.663e+21
9.998e+00 	 4.877e-05 	 2.219e+03 	 8.502e+03 	 7.938e+08 	 1.420e+21 	 4.549e+07 	 7.590e+38 	 4.434e+38 	 3.632e+21
9.998e+00 	 4.924e-05 	 2.216e+03 	 8.422e+03 	 7.922e+08 	 1.407e+21 	 4.501e+07 	 7.590e+38 	 4.434e+38 	 3.601e+21
9.998e+00 	 4.971e-05 	 2.214e+03 	 8.342e+03 	 7.906e+08 	 1.394e+21 	 4.454e+07 	 7.590e+38 	 4.434e+38 	 3.569e+21
9.998e+00 	 5.018e-05 	 2.212e+03 	 8.262e+03 	 7.889e+08 	 1.381e+21 	 4.407e+07 	 7.590e+38 	 4.434e+38 	 3.537e+21
9.998e+00 	 5.066e-05 	 2.210e+03 	 8.184e+03 	 7.874e+08 	 1.369e+21 	 4.361e+07 	 7.590e+38 	 4.434e+38 	 3.508e+21
9.998e+00 	 5.115e-05 	 2.207e+03 	 8.106e+03 	 7.859e+08 	 1.357e+21 	 4.315e+07 	 7.590e+38 	 4.434e+38 	 3.478e+21
9.998e+00 	 5.164e-05 	 2.205e+03 	 8.029e+03 	 7.843e+08 	 1.345e+21 	 4.270e+07 	 7.590e+38 	 4.434e+38 	 3.448e+21
9.998e+00 	 5.213e-05 	 2.203e+03 	 7.953e+03 	 7.827e+08 	 1.332e+21 	 4.225e+07 	 7.590e+38 	 4.434e+38 	 3.418e+21
9.998e+00 	 5.263e-05 	 2.201e+03 	 7.877e+03 	 7.811e+08 	 1.320e+21 	 4.181e+07 	 7.590e+38 	 4.434e+38 	 3.388e+21
9.999e+00 	 5.314e-05 	 2.199e+03 	 7.803e+03 	 7.795e+08 	 1.308e+21 	 4.137e+07 	 7.590e+38 	 4.434e+38 	 3.360e+21
9.999e+00 	 5.365e-05 	 2.196e+03 	 7.729e+03 	 7.780e+08 	 1.297e+21 	 4.094e+07 	 7.590e+38 	 4.434e+38 	 3.331e+21
9.999e+00 	 5.416e-05 	 2.194e+03 	 7.655e+03 	 7.764e+08 	 1.285e+21 	 4.051e+07 	 7.590e+38 	 4.434e+38 	 3.302e+21
9.999e+00 	 5.468e-05 	 2.192e+03 	 7.582e+03 	 7.748e+08 	 1.273e+21 	 4.008e+07 	 7.590e+38 	 4.434e+38 	 3.273e+21
9.999e+00 	 5.520e-05 	 2.190e+03 	 7.510e+03 	 7.733e+08 	 1.262e+21 	 3.967e+07 	 7.590e+38 	 4.434e+38 	 3.246e+21
9.999e+00 	 5.573e-05 	 2.188e+03 	 7.439e+03 	 7.718e+08 	 1.251e+21 	 3.925e+07 	 7.590e+38 	 4.434e+38 	 3.218e+21
9.999e+00 	 5.627e-05 	 2.185e+03 	 7.368e+03 	 7.702e+08 	 1.239e+21 	 3.884e+07 	 7.590e+38 	 4.434e+38 	 3.190e+21
9.999e+00 	 5.680e-05 	 2.183e+03 	 7.298e+03 	 7.686e+08 	 1.228e+21 	 3.843e+07 	 7.590e+38 	 4.434e+38 	 3.162e+21
9.999e+00 	 5.735e-05 	 2.181e+03 	 7.229e+03 	 7.671e+08 	 1.217e+21 	 3.803e+07 	 7.590e+38 	 4.434e+38 	 3.136e+21
9.999e+00 	 5.790e-05 	 2.179e+03 	 7.160e+03 	 7.656e+08 	 1.206e+21 	 3.763e+07 	 7.590e+38 	 4.434e+38 	 3.109e+21
9.999e+00 	 5.845e-05 	 2.177e+03 	 7.092e+03 	 7.641e+08 	 1.195e+21 	 3.724e+07 	 7.590e+38 	 4.434e+38 	 3.082e+21
9.999e+00 	 5.901e-05 	 2.174e+03 	 7.025e+03 	 7.625e+08 	 1.185e+21 	 3.684e+07 	 7.590e+38 	 4.434e+38 	 3.055e+21
9.999e+00 	 5.958e-05 	 2.172e+03 	 6.958e+03 	 7.610e+08 	 1.174e+21 	 3.646e+07 	 7.590e+38 	 4.434e+38 	 3.030e+21
9.999e+00 	 6.015e-05 	 2.170e+03 	 6.892e+03 	 7.595e+08 	 1.164e+21 	 3.608e+07 	 7.590e+38 	 4.434e+38 	 3.004e+21
9.999e+00 	 6.072e-05 	 2.168e+03 	 6.827e+03 	 7.579e+08 	 1.153e+21 	 3.570e+07 	 7.589e+38 	 4.434e+38 	 2.978e+21
9.999e+00 	 6.131e-05 	 2.166e+03 	 6.762e+03 	 7.564e+08 	 1.143e+21 	 3.533e+07 	 7.589e+38 	 4.434e+38 	 2.953e+21
9.999e+00 	 6.189e-05 	 2.164e+03 	 6.698e+03 	 7.549e+08 	 1.133e+21 	 3.496e+07 	 7.589e+38 	 4.434e+38 	 2.928e+21
9.999e+00 	 6.249e-05 	 2.161e+03 	 6.634e+03 	 7.534e+08 	 1.122e+21 	 3.459e+07 	 7.589e+38 	 4.434e+38 	 2.903e+21
9.999e+00 	 6.308e-05 	 2.159e+03 	 6.571e+03 	 7.519e+08 	 1.112e+21 	 3.423e+07 	 7.589e+38 	 4.434e+38 	 2.878e+21
9.999e+00 	 6.369e-05 	 2.157e+03 	 6.509e+03 	 7.504e+08 	 1.103e+21 	 3.387e+07 	 7.589e+38 	 4.434e+38 	 2.853e+21
9.999e+00 	 6.430e-05 	 2.155e+03 	 6.447e+03 	 7.489e+08 	 1.093e+21 	 3.351e+07 	 7.589e+38 	 4.434e+38 	 2.829e+21
1.000e+01 	 6.491e-05 	 2.153e+03 	 6.386e+03 	 7.474e+08 	 1.083e+21 	 3.316e+07 	 7.589e+38 	 4.434e+38 	 2.805e+21
1.000e+01 	 6.554e-05 	 2.151e+03 	 6.325e+03 	 7.459e+08 	 1.073e+21 	 3.282e+07 	 7.589e+38 	 4.434e+38 	 2.781e+21
1.000e+01 	 6.616e-05 	 2.148e+03 	 6.265e+03 	 7.444e+08 	 1.064e+21 	 3.247e+07 	 7.589e+38 	 4.434e+38 	 2.757e+21
1.000e+01 	 6.680e-05 	 2.146e+03 	 6.205e+03 	 7.430e+08 	 1.054e+21 	 3.213e+07 	 7.589e+38 	 4.434e+38 	 2.734e+21
1.000e+01 	 6.744e-05 	 2.144e+03 	 6.146e+03 	 7.415e+08 	 1.045e+21 	 3.179e+07 	 7.589e+38 	 4.434e+38 	 2.711e+21
1.000e+01 	 6.808e-05 	 2.142e+03 	 6.088e+03 	 7.400e+08 	 1.036e+21 	 3.146e+07 	 7.589e+38 	 4.434e+38 	 2.688e+21
1.000e+01 	 6.873e-05 	 2.140e+03 	 6.030e+03 	 7.385e+08 	 1.026e+21 	 3.113e+07 	 7.589e+38 	 4.434e+38 	 2.665e+21
1.000e+01 	 6.939e-05 	 2.138e+03 	 5.973e+03 	 7.371e+08 	 1.017e+21 	 3.081e+07 	 7.589e+38 	 4.434e+38 	 2.642e+21
1.000e+01 	 7.006e-05 	 2.136e+03 	 5.916e+03 	 7.356e+08 	 1.008e+21 	 3.048e+07 	 7.589e+38 	 4.434e+38 	 2.620e+21
1.000e+01 	 7.073e-05 	 2.134e+03 	 5.860e+03 	 7.341e+08 	 9.993e+20 	 3.016e+07 	 7.589e+38 	 4.434e+38 	 2.598e+21
1.000e+01 	 7.141e-05 	 2.131e+03 	 5.804e+03 	 7.327e+08 	 9.904e+20 	 2.985e+07 	 7.589e+38 	 4.434e+38 	 2.576e+21
1.000e+01 	 7.209e-05 	 2.129e+03 	 5.749e+03 	 7.312e+08 	 9.817e+20 	 2.954e+07 	 7.589e+38 	 4.434e+38 	 2.554e+21
1.000e+01 	 7.278e-05 	 2.127e+03 	 5.695e+03 	 7.298e+08 	 9.730e+20 	 2.923e+07 	 7.589e+38 	 4.434e+38 	 2.532e+21
1.000e+01 	 7.348e-05 	 2.125e+03 	 5.641e+03 	 7.283e+08 	 9.644e+20 	 2.892e+07 	 7.589e+38 	 4.434e+38 	 2.511e+21
1.000e+01 	 7.418e-05 	 2.123e+03 	 5.587e+03 	 7.269e+08 	 9.559e+20 	 2.862e+07 	 7.589e+38 	 4.434e+38 	 2.490e+21
1.000e+01 	 7.489e-05 	 2.121e+03 	 5.534e+03 	 7.254e+08 	 9.474e+20 	 2.832e+07 	 7.589e+38 	 4.434e+38 	 2.469e+21
1.000e+01 	 7.561e-05 	 2.119e+03 	 5.481e+03 	 7.240e+08 	 9.391e+20 	 2.802e+07 	 7.589e+38 	 4.434e+38 	 2.448e+21
1.000e+01 	 7.633e-05 	 2.117e+03 	 5.429e+03 	 7.226e+08 	 9.307e+20 	 2.773e+07 	 7.589e+38 	 4.434e+38 	 2.427e+21
1.000e+01 	 7.706e-05 	 2.115e+03 	 5.378e+03 	 7.212e+08 	 9.226e+20 	 2.744e+07 	 7.589e+38 	 4.434e+38 	 2.407e+21
1.000e+01 	 7.780e-05 	 2.113e+03 	 5.327e+03 	 7.197e+08 	 9.144e+20 	 2.715e+07 	 7.589e+38 	 4.434e+38 	 2.387e+21
1.000e+01 	 7.855e-05 	 2.110e+03 	 5.276e+03 	 7.183e+08 	 9.064e+20 	 2.687e+07 	 7.589e+38 	 4.434e+38 	 2.367e+21
1.000e+01 	 7.930e-05 	 2.108e+03 	 5.226e+03 	 7.169e+08 	 8.984e+20 	 2.659e+07 	 7.588e+38 	 4.434e+38 	 2.347e+21
1.000e+01 	 8.006e-05 	 2.106e+03 	 5.176e+03 	 7.155e+08 	 8.905e+20 	 2.631e+07 	 7.588e+38 	 4.434e+38 	 2.327e+21
1.000e+01 	 8.083e-05 	 2.104e+03 	 5.127e+03 	 7.141e+08 	 8.826e+20 	 2.603e+07 	 7.588e+38 	 4.434e+38 	 2.307e+21
1.000e+01 	 8.160e-05 	 2.102e+03 	 5.079e+03 	 7.126e+08 	 8.749e+20 	 2.576e+07 	 7.588e+38 	 4.434e+38 	 2.288e+21
1.000e+01 	 8.238e-05 	 2.100e+03 	 5.030e+03 	 7.112e+08 	 8.672e+20 	 2.549e+07 	 7.588e+38 	 4.434e+38 	 2.269e+21
1.000e+01 	 8.317e-05 	 2.098e+03 	 4.982e+03 	 7.098e+08 	 8.596e+20 	 2.522e+07 	 7.588e+38 	 4.434e+38 	 2.250e+21
1.000e+01 	 8.397e-05 	 2.096e+03 	 4.935e+03 	 7.084e+08 	 8.521e+20 	 2.496e+07 	 7.588e+38 	 4.434e+38 	 2.231e+21
1.000e+01 	 8.477e-05 	 2.094e+03 	 4.888e+03 	 7.071e+08 	 8.446e+20 	 2.470e+07 	 7.588e+38 	 4.434e+38 	 2.212e+21
1.000e+01 	 8.558e-05 	 2.092e+03 	 4.842e+03 	 7.057e+08 	 8.372e+20 	 2.444e+07 	 7.588e+38 	 4.434e+38 	 2.194e+21
1.000e+01 	 8.640e-05 	 2.090e+03 	 4.796e+03 	 7.043e+08 	 8.299e+20 	 2.418e+07 	 7.588e+38 	 4.434e+38 	 2.175e+21
1.000e+01 	 8.723e-05 	 2.088e+03 	 4.750e+03 	 7.029e+08 	 8.226e+20 	 2.393e+07 	 7.588e+38 	 4.434e+38 	 2.157e+21
1.000e+01 	 8.807e-05 	 2.086e+03 	 4.705e+03 	 7.015e+08 	 8.154e+20 	 2.368e+07 	 7.588e+38 	 4.434e+38 	 2.139e+21
1.000e+01 	 8.891e-05 	 2.084e+03 	 4.661e+03 	 7.001e+08 	 8.083e+20 	 2.343e+07 	 7.588e+38 	 4.434e+38 	 2.121e+21
1.000e+01 	 8.976e-05 	 2.082e+03 	 4.616e+03 	 6.988e+08 	 8.013e+20 	 2.319e+07 	 7.588e+38 	 4.434e+38 	 2.104e+21
1.000e+01 	 9.062e-05 	 2.079e+03 	 4.572e+03 	 6.974e+08 	 7.943e+20 	 2.295e+07 	 7.588e+38 	 4.434e+38 	 2.086e+21
1.000e+01 	 9.149e-05 	 2.077e+03 	 4.529e+03 	 6.960e+08 	 7.874e+20 	 2.271e+07 	 7.588e+38 	 4.434e+38 	 2.069e+21
1.000e+01 	 9.236e-05 	 2.075e+03 	 4.486e+03 	 6.947e+08 	 7.805e+20 	 2.247e+07 	 7.588e+38 	 4.434e+38 	 2.052e+21
1.000e+01 	 9.325e-05 	 2.073e+03 	 4.443e+03 	 6.933e+08 	 7.737e+20 	 2.223e+07 	 7.588e+38 	 4.434e+38 	 2.035e+21
1.000e+01 	 9.414e-05 	 2.071e+03 	 4.401e+03 	 6.920e+08 	 7.670e+20 	 2.200e+07 	 7.588e+38 	 4.434e+38 	 2.018e+21
1.000e+01 	 9.504e-05 	 2.069e+03 	 4.359e+03 	 6.906e+08 	 7.603e+20 	 2.177e+07 	 7.588e+38 	 4.434e+38 	 2.001e+21
1.000e+01 	 9.595e-05 	 2.067e+03 	 4.318e+03 	 6.893e+08 	 7.537e+20 	 2.154e+07 	 7.588e+38 	 4.434e+38 	 1.984e+21
1.000e+01 	 9.687e-05 	 2.065e+03 	 4.277e+03 	 6.879e+08 	 7.472e+20 	 2.132e+07 	 7.588e+38 	 4.434e+38 	 1.968e+21
1.000e+01 	 9.780e-05 	 2.063e+03 	 4.236e+03 	 6.866e+08 	 7.407e+20 	 2.110e+07 	 7.588e+38 	 4.434e+38 	 1.952e+21
1.000e+01 	 9.874e-05 	 2.061e+03 	 4.196e+03 	 6.852e+08 	 7.343e+20 	 2.088e+07 	 7.588e+38 	 4.434e+38 	 1.936e+21
1.000e+01 	 9.968e-05 	 2.059e+03 	 4.156e+03 	 6.839e+08 	 7.280e+20 	 2.066e+07 	 7.588e+38 	 4.434e+38 	 1.920e+21
1.000e+01 	 1.006e-04 	 2.057e+03 	 4.117e+03 	 6.826e+08 	 7.217e+20 	 2.044e+07 	 7.588e+38 	 4.433e+38 	 1.904e+21
1.000e+01 	 1.016e-04 	 2.055e+03 	 4.078e+03 	 6.813e+08 	 7.155e+20 	 2.023e+07 	 7.587e+38 	 4.433e+38 	 1.888e+21
1.000e+01 	 1.026e-04 	 2.053e+03 	 4.039e+03 	 6.799e+08 	 7.093e+20 	 2.002e+07 	 7.587e+38 	 4.433e+38 	 1.873e+21
1.000e+01 	 1.036e-04 	 2.051e+03 	 4.001e+03 	 6.786e+08 	 7.032e+20 	 1.981e+07 	 7.587e+38 	 4.433e+38 	 1.857e+21
1.000e+01 	 1.045e-04 	 2.049e+03 	 3.963e+03 	 6.773e+08 	 6.972e+20 	 1.960e+07 	 7.587e+38 	 4.433e+38 	 1.842e+21
1.000e+01 	 1.056e-04 	 2.047e+03 	 3.925e+03 	 6.760e+08 	 6.911e+20 	 1.940e+07 	 7.587e+38 	 4.433e+38 	 1.827e+21
1.000e+01 	 1.066e-04 	 2.045e+03 	 3.888e+03 	 6.747e+08 	 6.852e+20 	 1.919e+07 	 7.587e+38 	 4.433e+38 	 1.812e+21
1.000e+01 	 1.076e-04 	 2.043e+03 	 3.851e+03 	 6.734e+08 	 6.793e+20 	 1.899e+07 	 7.587e+38 	 4.433e+38 	 1.797e+21
1.000e+01 	 1.086e-04 	 2.041e+03 	 3.814e+03 	 6.721e+08 	 6.735e+20 	 1.879e+07 	 7.587e+38 	 4.433e+38 	 1.782e+21
1.000e+01 	 1.097e-04 	 2.039e+03 	 3.778e+03 	 6.708e+08 	 6.677e+20 	 1.860e+07 	 7.587e+38 	 4.433e+38 	 1.767e+21
1.000e+01 	 1.107e-04 	 2.037e+03 	 3.742e+03 	 6.695e+08 	 6.619e+20 	 1.840e+07 	 7.587e+38 	 4.433e+38 	 1.753e+21
1.000e+01 	 1.118e-04 	 2.035e+03 	 3.707e+03 	 6.682e+08 	 6.563e+20 	 1.821e+07 	 7.587e+38 	 4.433e+38 	 1.738e+21
