Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.46837365  	 6.46837406 
1.01444444  	 6.76086625  	 6.76086666 
1.01888889  	 7.02665528  	 7.02665569 
1.02333333  	 7.27747871  	 7.27747912 
1.02377778  	 7.30180955  	 7.30181009 
1.02428571  	 7.32942240  	 7.32942339 
1.02479365  	 7.35681296  	 7.35681391 
1.02530159  	 7.38396197  	 7.38396289 
1.02580952  	 7.41084729  	 7.41084817 
1.02631746  	 7.43744495  	 7.43744579 
1.02682540  	 7.46372672  	 7.46372752 
1.02733334  	 7.48966233  	 7.48966309 
1.02777778  	 7.51204621  	 7.51204662 
1.03222222  	 7.71489315  	 7.71489356 
