r (km)   	 u (km/s) 	 cs (km/s) 	 rho (g/cm3) 	 T (K)    	 P (dyne/cm2) 	 phi      	 L (erg/s) 	 L* (erg/s) 	 E (erg) 
9.999e+00 	 2.078e-04 	 2.876e+03 	 1.000e+04 	 1.334e+09 	 8.812e+21 	 1.384e+07 	 1.333e+39 	 7.786e+38 	 2.520e+22
9.999e+00 	 2.097e-04 	 2.874e+03 	 9.907e+03 	 1.332e+09 	 8.763e+21 	 1.370e+07 	 1.333e+39 	 7.786e+38 	 2.506e+22
1.000e+01 	 2.117e-04 	 2.872e+03 	 9.815e+03 	 1.331e+09 	 8.715e+21 	 1.357e+07 	 1.333e+39 	 7.785e+38 	 2.493e+22
1.000e+01 	 2.136e-04 	 2.871e+03 	 9.724e+03 	 1.329e+09 	 8.666e+21 	 1.344e+07 	 1.333e+39 	 7.785e+38 	 2.480e+22
1.000e+01 	 2.156e-04 	 2.869e+03 	 9.633e+03 	 1.327e+09 	 8.618e+21 	 1.330e+07 	 1.332e+39 	 7.785e+38 	 2.467e+22
1.000e+01 	 2.177e-04 	 2.867e+03 	 9.544e+03 	 1.326e+09 	 8.571e+21 	 1.317e+07 	 1.332e+39 	 7.785e+38 	 2.454e+22
1.000e+01 	 2.197e-04 	 2.865e+03 	 9.455e+03 	 1.324e+09 	 8.524e+21 	 1.304e+07 	 1.332e+39 	 7.784e+38 	 2.441e+22
1.000e+01 	 2.217e-04 	 2.863e+03 	 9.367e+03 	 1.322e+09 	 8.477e+21 	 1.291e+07 	 1.332e+39 	 7.784e+38 	 2.428e+22
1.000e+01 	 2.238e-04 	 2.862e+03 	 9.280e+03 	 1.321e+09 	 8.430e+21 	 1.278e+07 	 1.332e+39 	 7.784e+38 	 2.415e+22
1.000e+01 	 2.259e-04 	 2.860e+03 	 9.194e+03 	 1.319e+09 	 8.384e+21 	 1.266e+07 	 1.332e+39 	 7.783e+38 	 2.402e+22
1.000e+01 	 2.280e-04 	 2.858e+03 	 9.109e+03 	 1.317e+09 	 8.338e+21 	 1.253e+07 	 1.332e+39 	 7.783e+38 	 2.390e+22
1.000e+01 	 2.301e-04 	 2.856e+03 	 9.024e+03 	 1.316e+09 	 8.293e+21 	 1.241e+07 	 1.332e+39 	 7.783e+38 	 2.377e+22
1.000e+01 	 2.323e-04 	 2.854e+03 	 8.940e+03 	 1.314e+09 	 8.248e+21 	 1.229e+07 	 1.332e+39 	 7.783e+38 	 2.365e+22
1.000e+01 	 2.345e-04 	 2.853e+03 	 8.857e+03 	 1.312e+09 	 8.203e+21 	 1.217e+07 	 1.332e+39 	 7.782e+38 	 2.353e+22
1.000e+01 	 2.367e-04 	 2.851e+03 	 8.775e+03 	 1.311e+09 	 8.158e+21 	 1.205e+07 	 1.332e+39 	 7.782e+38 	 2.340e+22
1.000e+01 	 2.389e-04 	 2.849e+03 	 8.693e+03 	 1.309e+09 	 8.114e+21 	 1.193e+07 	 1.332e+39 	 7.782e+38 	 2.328e+22
1.000e+01 	 2.411e-04 	 2.847e+03 	 8.612e+03 	 1.308e+09 	 8.070e+21 	 1.181e+07 	 1.332e+39 	 7.781e+38 	 2.316e+22
1.000e+01 	 2.433e-04 	 2.846e+03 	 8.532e+03 	 1.306e+09 	 8.026e+21 	 1.169e+07 	 1.332e+39 	 7.781e+38 	 2.304e+22
1.000e+01 	 2.456e-04 	 2.844e+03 	 8.453e+03 	 1.304e+09 	 7.983e+21 	 1.158e+07 	 1.332e+39 	 7.781e+38 	 2.292e+22
1.000e+01 	 2.479e-04 	 2.842e+03 	 8.375e+03 	 1.303e+09 	 7.940e+21 	 1.146e+07 	 1.332e+39 	 7.780e+38 	 2.280e+22
1.000e+01 	 2.502e-04 	 2.840e+03 	 8.297e+03 	 1.301e+09 	 7.897e+21 	 1.135e+07 	 1.331e+39 	 7.780e+38 	 2.269e+22
1.000e+01 	 2.526e-04 	 2.839e+03 	 8.220e+03 	 1.300e+09 	 7.855e+21 	 1.124e+07 	 1.331e+39 	 7.780e+38 	 2.257e+22
1.000e+01 	 2.549e-04 	 2.837e+03 	 8.143e+03 	 1.298e+09 	 7.812e+21 	 1.113e+07 	 1.331e+39 	 7.779e+38 	 2.245e+22
