r (km)   	 u (km/s) 	 cs (km/s) 	 rho (g/cm3) 	 T (K)    	 P (dyne/cm2) 	 phi      	 L (erg/s) 	 L* (erg/s) 	 E (erg) 
9.999e+00 	 6.570e-04 	 4.051e+03 	 1.000e+04 	 2.646e+09 	 1.253e+23 	 6.165e+06 	 2.492e+39 	 1.456e+39 	 3.735e+23
1.000e+01 	 6.631e-04 	 4.048e+03 	 9.903e+03 	 2.642e+09 	 1.245e+23 	 6.104e+06 	 2.489e+39 	 1.454e+39 	 3.712e+23
1.000e+01 	 6.692e-04 	 4.045e+03 	 9.806e+03 	 2.638e+09 	 1.238e+23 	 6.043e+06 	 2.487e+39 	 1.453e+39 	 3.689e+23
1.001e+01 	 6.754e-04 	 4.041e+03 	 9.711e+03 	 2.634e+09 	 1.230e+23 	 5.983e+06 	 2.484e+39 	 1.452e+39 	 3.666e+23
1.001e+01 	 6.817e-04 	 4.038e+03 	 9.616e+03 	 2.630e+09 	 1.222e+23 	 5.923e+06 	 2.482e+39 	 1.451e+39 	 3.643e+23
1.001e+01 	 6.880e-04 	 4.035e+03 	 9.523e+03 	 2.626e+09 	 1.215e+23 	 5.864e+06 	 2.479e+39 	 1.450e+39 	 3.620e+23
1.001e+01 	 6.944e-04 	 4.032e+03 	 9.430e+03 	 2.622e+09 	 1.207e+23 	 5.806e+06 	 2.476e+39 	 1.448e+39 	 3.598e+23
1.002e+01 	 7.008e-04 	 4.029e+03 	 9.338e+03 	 2.618e+09 	 1.199e+23 	 5.748e+06 	 2.474e+39 	 1.447e+39 	 3.575e+23
1.002e+01 	 7.073e-04 	 4.026e+03 	 9.248e+03 	 2.614e+09 	 1.192e+23 	 5.691e+06 	 2.471e+39 	 1.446e+39 	 3.553e+23
1.002e+01 	 7.138e-04 	 4.022e+03 	 9.158e+03 	 2.609e+09 	 1.184e+23 	 5.635e+06 	 2.469e+39 	 1.445e+39 	 3.530e+23
1.002e+01 	 7.204e-04 	 4.019e+03 	 9.068e+03 	 2.605e+09 	 1.177e+23 	 5.579e+06 	 2.466e+39 	 1.443e+39 	 3.508e+23
1.003e+01 	 7.271e-04 	 4.016e+03 	 8.980e+03 	 2.601e+09 	 1.169e+23 	 5.523e+06 	 2.464e+39 	 1.442e+39 	 3.486e+23
1.003e+01 	 7.338e-04 	 4.013e+03 	 8.893e+03 	 2.597e+09 	 1.162e+23 	 5.468e+06 	 2.461e+39 	 1.441e+39 	 3.464e+23
1.003e+01 	 7.406e-04 	 4.010e+03 	 8.806e+03 	 2.593e+09 	 1.154e+23 	 5.414e+06 	 2.458e+39 	 1.439e+39 	 3.442e+23
1.003e+01 	 7.474e-04 	 4.007e+03 	 8.721e+03 	 2.589e+09 	 1.147e+23 	 5.360e+06 	 2.456e+39 	 1.438e+39 	 3.420e+23
1.004e+01 	 7.543e-04 	 4.003e+03 	 8.636e+03 	 2.585e+09 	 1.140e+23 	 5.307e+06 	 2.453e+39 	 1.437e+39 	 3.398e+23
1.004e+01 	 7.612e-04 	 4.000e+03 	 8.552e+03 	 2.581e+09 	 1.132e+23 	 5.254e+06 	 2.451e+39 	 1.436e+39 	 3.377e+23
1.004e+01 	 7.683e-04 	 3.997e+03 	 8.469e+03 	 2.577e+09 	 1.125e+23 	 5.202e+06 	 2.448e+39 	 1.434e+39 	 3.355e+23
1.004e+01 	 7.754e-04 	 3.994e+03 	 8.386e+03 	 2.573e+09 	 1.118e+23 	 5.150e+06 	 2.445e+39 	 1.433e+39 	 3.334e+23
1.005e+01 	 7.825e-04 	 3.991e+03 	 8.305e+03 	 2.568e+09 	 1.111e+23 	 5.099e+06 	 2.443e+39 	 1.432e+39 	 3.312e+23
1.005e+01 	 7.897e-04 	 3.987e+03 	 8.224e+03 	 2.564e+09 	 1.104e+23 	 5.049e+06 	 2.440e+39 	 1.431e+39 	 3.291e+23
1.005e+01 	 7.970e-04 	 3.984e+03 	 8.144e+03 	 2.560e+09 	 1.096e+23 	 4.999e+06 	 2.438e+39 	 1.429e+39 	 3.270e+23
1.005e+01 	 8.043e-04 	 3.981e+03 	 8.064e+03 	 2.556e+09 	 1.089e+23 	 4.949e+06 	 2.435e+39 	 1.428e+39 	 3.249e+23
1.006e+01 	 8.117e-04 	 3.978e+03 	 7.986e+03 	 2.552e+09 	 1.082e+23 	 4.900e+06 	 2.432e+39 	 1.427e+39 	 3.228e+23
1.006e+01 	 8.192e-04 	 3.975e+03 	 7.908e+03 	 2.548e+09 	 1.075e+23 	 4.851e+06 	 2.430e+39 	 1.425e+39 	 3.207e+23
