r (km)   	 u (km/s) 	 cs (km/s) 	 rho (g/cm3) 	 T (K)    	 P (dyne/cm2) 	 phi      	 L (erg/s) 	 L* (erg/s) 	 E (erg) 
1.000e+01 	 1.041e-04 	 2.492e+03 	 1.000e+04 	 1.002e+09 	 3.159e+21 	 2.393e+07 	 9.785e+38 	 5.717e+38 	 8.546e+21
1.000e+01 	 1.051e-04 	 2.490e+03 	 9.908e+03 	 9.999e+08 	 3.135e+21 	 2.369e+07 	 9.785e+38 	 5.717e+38 	 8.485e+21
1.000e+01 	 1.061e-04 	 2.488e+03 	 9.816e+03 	 9.983e+08 	 3.112e+21 	 2.346e+07 	 9.785e+38 	 5.717e+38 	 8.425e+21
1.000e+01 	 1.071e-04 	 2.486e+03 	 9.725e+03 	 9.966e+08 	 3.089e+21 	 2.322e+07 	 9.785e+38 	 5.717e+38 	 8.365e+21
1.000e+01 	 1.081e-04 	 2.484e+03 	 9.635e+03 	 9.949e+08 	 3.066e+21 	 2.299e+07 	 9.785e+38 	 5.717e+38 	 8.305e+21
1.000e+01 	 1.091e-04 	 2.482e+03 	 9.546e+03 	 9.933e+08 	 3.043e+21 	 2.275e+07 	 9.785e+38 	 5.717e+38 	 8.247e+21
1.000e+01 	 1.101e-04 	 2.480e+03 	 9.458e+03 	 9.916e+08 	 3.020e+21 	 2.253e+07 	 9.785e+38 	 5.717e+38 	 8.188e+21
1.000e+01 	 1.111e-04 	 2.478e+03 	 9.370e+03 	 9.900e+08 	 2.998e+21 	 2.230e+07 	 9.784e+38 	 5.717e+38 	 8.130e+21
1.000e+01 	 1.121e-04 	 2.476e+03 	 9.284e+03 	 9.884e+08 	 2.975e+21 	 2.208e+07 	 9.784e+38 	 5.717e+38 	 8.073e+21
1.000e+01 	 1.132e-04 	 2.473e+03 	 9.198e+03 	 9.867e+08 	 2.953e+21 	 2.185e+07 	 9.784e+38 	 5.717e+38 	 8.015e+21
