r (cm)        	 u (cm/s)    	 cs (cm/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.19999938e+06 	 8.007819e+00 	 3.078629e+08 	 2.405912e+04 	 1.528565e+09 	 1.604931e+22 	 3.846646e+07 	 1.286105e+39 	 8.405132e+38 	 4.476378e+22 	 1.495245e+09
1.20002264e+06 	 8.087084e+00 	 3.076250e+08 	 2.382226e+04 	 1.526203e+09 	 1.593846e+22 	 3.805977e+07 	 1.286047e+39 	 8.404841e+38 	 4.446948e+22 	 1.482012e+09
1.20004593e+06 	 8.167132e+00 	 3.073876e+08 	 2.358774e+04 	 1.523848e+09 	 1.582855e+22 	 3.765743e+07 	 1.285989e+39 	 8.404549e+38 	 4.417757e+22 	 1.468893e+09
1.20006926e+06 	 8.247973e+00 	 3.071507e+08 	 2.335552e+04 	 1.521501e+09 	 1.571957e+22 	 3.725938e+07 	 1.285931e+39 	 8.404256e+38 	 4.388805e+22 	 1.455887e+09
1.20009261e+06 	 8.329613e+00 	 3.069143e+08 	 2.312559e+04 	 1.519160e+09 	 1.561152e+22 	 3.686559e+07 	 1.285873e+39 	 8.403961e+38 	 4.360086e+22 	 1.442995e+09
1.20011600e+06 	 8.412061e+00 	 3.066785e+08 	 2.289792e+04 	 1.516826e+09 	 1.550439e+22 	 3.647600e+07 	 1.285814e+39 	 8.403665e+38 	 4.331600e+22 	 1.430214e+09
1.20013942e+06 	 8.495324e+00 	 3.064432e+08 	 2.267249e+04 	 1.514499e+09 	 1.539816e+22 	 3.609057e+07 	 1.285755e+39 	 8.403368e+38 	 4.303345e+22 	 1.417544e+09
1.20016288e+06 	 8.579411e+00 	 3.062084e+08 	 2.244929e+04 	 1.512179e+09 	 1.529283e+22 	 3.570926e+07 	 1.285696e+39 	 8.403069e+38 	 4.275318e+22 	 1.404984e+09
1.20018637e+06 	 8.664329e+00 	 3.059741e+08 	 2.222828e+04 	 1.509866e+09 	 1.518840e+22 	 3.533202e+07 	 1.285637e+39 	 8.402769e+38 	 4.247517e+22 	 1.392532e+09
1.20020989e+06 	 8.750088e+00 	 3.057403e+08 	 2.200944e+04 	 1.507559e+09 	 1.508484e+22 	 3.495881e+07 	 1.285578e+39 	 8.402467e+38 	 4.219940e+22 	 1.380189e+09
1.20023345e+06 	 8.836695e+00 	 3.055070e+08 	 2.179276e+04 	 1.505260e+09 	 1.498216e+22 	 3.458959e+07 	 1.285518e+39 	 8.402164e+38 	 4.192586e+22 	 1.367953e+09
1.20025705e+06 	 8.924158e+00 	 3.052743e+08 	 2.157822e+04 	 1.502967e+09 	 1.488035e+22 	 3.422430e+07 	 1.285458e+39 	 8.401859e+38 	 4.165452e+22 	 1.355823e+09
1.20028068e+06 	 9.012487e+00 	 3.050420e+08 	 2.136578e+04 	 1.500681e+09 	 1.477939e+22 	 3.386291e+07 	 1.285398e+39 	 8.401553e+38 	 4.138537e+22 	 1.343798e+09
1.20030434e+06 	 9.101689e+00 	 3.048103e+08 	 2.115544e+04 	 1.498402e+09 	 1.467929e+22 	 3.350538e+07 	 1.285337e+39 	 8.401246e+38 	 4.111839e+22 	 1.331877e+09
1.20032803e+06 	 9.191774e+00 	 3.045791e+08 	 2.094717e+04 	 1.496130e+09 	 1.458003e+22 	 3.315167e+07 	 1.285276e+39 	 8.400937e+38 	 4.085355e+22 	 1.320061e+09
1.20035177e+06 	 9.282749e+00 	 3.043484e+08 	 2.074095e+04 	 1.493864e+09 	 1.448160e+22 	 3.280173e+07 	 1.285215e+39 	 8.400626e+38 	 4.059083e+22 	 1.308346e+09
1.20037553e+06 	 9.374625e+00 	 3.041182e+08 	 2.053676e+04 	 1.491605e+09 	 1.438400e+22 	 3.245552e+07 	 1.285154e+39 	 8.400315e+38 	 4.033022e+22 	 1.296734e+09
1.20039934e+06 	 9.467409e+00 	 3.038885e+08 	 2.033457e+04 	 1.489353e+09 	 1.428721e+22 	 3.211301e+07 	 1.285093e+39 	 8.400001e+38 	 4.007169e+22 	 1.285222e+09
1.20042318e+06 	 9.561111e+00 	 3.036594e+08 	 2.013438e+04 	 1.487108e+09 	 1.419124e+22 	 3.177415e+07 	 1.285031e+39 	 8.399686e+38 	 3.981523e+22 	 1.273811e+09
1.20044706e+06 	 9.655739e+00 	 3.034307e+08 	 1.993616e+04 	 1.484869e+09 	 1.409607e+22 	 3.143890e+07 	 1.284969e+39 	 8.399370e+38 	 3.956082e+22 	 1.262498e+09
1.20047097e+06 	 9.751303e+00 	 3.032025e+08 	 1.973990e+04 	 1.482636e+09 	 1.400169e+22 	 3.110723e+07 	 1.284907e+39 	 8.399052e+38 	 3.930844e+22 	 1.251284e+09
1.20049493e+06 	 9.847813e+00 	 3.029748e+08 	 1.954556e+04 	 1.480411e+09 	 1.390810e+22 	 3.077909e+07 	 1.284845e+39 	 8.398733e+38 	 3.905807e+22 	 1.240168e+09
1.20051892e+06 	 9.945277e+00 	 3.027477e+08 	 1.935314e+04 	 1.478192e+09 	 1.381529e+22 	 3.045445e+07 	 1.284782e+39 	 8.398412e+38 	 3.880969e+22 	 1.229148e+09
1.20054294e+06 	 1.004370e+01 	 3.025210e+08 	 1.916261e+04 	 1.475979e+09 	 1.372326e+22 	 3.013328e+07 	 1.284719e+39 	 8.398089e+38 	 3.856329e+22 	 1.218224e+09
1.20056701e+06 	 1.014311e+01 	 3.022949e+08 	 1.897395e+04 	 1.473773e+09 	 1.363199e+22 	 2.981552e+07 	 1.284656e+39 	 8.397765e+38 	 3.831886e+22 	 1.207395e+09
1.20059111e+06 	 1.024349e+01 	 3.020692e+08 	 1.878716e+04 	 1.471574e+09 	 1.354148e+22 	 2.950116e+07 	 1.284592e+39 	 8.397439e+38 	 3.807637e+22 	 1.196661e+09
1.20061525e+06 	 1.034487e+01 	 3.018441e+08 	 1.860220e+04 	 1.469381e+09 	 1.345173e+22 	 2.919014e+07 	 1.284528e+39 	 8.397112e+38 	 3.783580e+22 	 1.186019e+09
1.20063943e+06 	 1.044725e+01 	 3.016195e+08 	 1.841907e+04 	 1.467195e+09 	 1.336272e+22 	 2.888244e+07 	 1.284464e+39 	 8.396783e+38 	 3.759714e+22 	 1.175471e+09
1.20066364e+06 	 1.055064e+01 	 3.013953e+08 	 1.823773e+04 	 1.465015e+09 	 1.327444e+22 	 2.857802e+07 	 1.284400e+39 	 8.396453e+38 	 3.736037e+22 	 1.165014e+09
1.20068790e+06 	 1.065505e+01 	 3.011717e+08 	 1.805819e+04 	 1.462842e+09 	 1.318690e+22 	 2.827684e+07 	 1.284336e+39 	 8.396121e+38 	 3.712546e+22 	 1.154649e+09
1.20071220e+06 	 1.076050e+01 	 3.009485e+08 	 1.788041e+04 	 1.460674e+09 	 1.310008e+22 	 2.797886e+07 	 1.284271e+39 	 8.395787e+38 	 3.689241e+22 	 1.144374e+09
1.20073654e+06 	 1.086699e+01 	 3.007258e+08 	 1.770438e+04 	 1.458514e+09 	 1.301397e+22 	 2.768406e+07 	 1.284206e+39 	 8.395452e+38 	 3.666120e+22 	 1.134188e+09
1.20076092e+06 	 1.097453e+01 	 3.005036e+08 	 1.753008e+04 	 1.456360e+09 	 1.292858e+22 	 2.739240e+07 	 1.284140e+39 	 8.395115e+38 	 3.643180e+22 	 1.124091e+09
1.20078534e+06 	 1.108314e+01 	 3.002820e+08 	 1.735750e+04 	 1.454212e+09 	 1.284389e+22 	 2.710385e+07 	 1.284075e+39 	 8.394776e+38 	 3.620421e+22 	 1.114082e+09
1.20080980e+06 	 1.119282e+01 	 3.000608e+08 	 1.718662e+04 	 1.452070e+09 	 1.275990e+22 	 2.681837e+07 	 1.284009e+39 	 8.394436e+38 	 3.597842e+22 	 1.104161e+09
1.20083430e+06 	 1.130358e+01 	 2.998401e+08 	 1.701742e+04 	 1.449935e+09 	 1.267660e+22 	 2.653592e+07 	 1.283943e+39 	 8.394094e+38 	 3.575440e+22 	 1.094326e+09
1.20085884e+06 	 1.141545e+01 	 2.996199e+08 	 1.684988e+04 	 1.447806e+09 	 1.259398e+22 	 2.625649e+07 	 1.283876e+39 	 8.393750e+38 	 3.553215e+22 	 1.084576e+09
1.20088342e+06 	 1.152841e+01 	 2.994002e+08 	 1.668400e+04 	 1.445684e+09 	 1.251205e+22 	 2.598003e+07 	 1.283809e+39 	 8.393405e+38 	 3.531164e+22 	 1.074912e+09
1.20090804e+06 	 1.164249e+01 	 2.991810e+08 	 1.651975e+04 	 1.443567e+09 	 1.243078e+22 	 2.570651e+07 	 1.283742e+39 	 8.393058e+38 	 3.509285e+22 	 1.065332e+09
1.20093271e+06 	 1.175771e+01 	 2.989622e+08 	 1.635711e+04 	 1.441457e+09 	 1.235019e+22 	 2.543590e+07 	 1.283675e+39 	 8.392709e+38 	 3.487578e+22 	 1.055836e+09
1.20095742e+06 	 1.187406e+01 	 2.987440e+08 	 1.619608e+04 	 1.439354e+09 	 1.227025e+22 	 2.516817e+07 	 1.283607e+39 	 8.392358e+38 	 3.466040e+22 	 1.046423e+09
1.20098217e+06 	 1.199156e+01 	 2.985262e+08 	 1.603663e+04 	 1.437256e+09 	 1.219096e+22 	 2.490328e+07 	 1.283540e+39 	 8.392006e+38 	 3.444670e+22 	 1.037092e+09
1.20100696e+06 	 1.211022e+01 	 2.983090e+08 	 1.587875e+04 	 1.435165e+09 	 1.211232e+22 	 2.464122e+07 	 1.283471e+39 	 8.391652e+38 	 3.423466e+22 	 1.027843e+09
1.20103180e+06 	 1.223005e+01 	 2.980922e+08 	 1.572243e+04 	 1.433079e+09 	 1.203432e+22 	 2.438194e+07 	 1.283403e+39 	 8.391296e+38 	 3.402427e+22 	 1.018674e+09
1.20105669e+06 	 1.235108e+01 	 2.978758e+08 	 1.556765e+04 	 1.431000e+09 	 1.195695e+22 	 2.412542e+07 	 1.283334e+39 	 8.390938e+38 	 3.381552e+22 	 1.009585e+09
1.20108161e+06 	 1.247329e+01 	 2.976600e+08 	 1.541439e+04 	 1.428927e+09 	 1.188022e+22 	 2.387163e+07 	 1.283265e+39 	 8.390579e+38 	 3.360840e+22 	 1.000576e+09
1.20110658e+06 	 1.259672e+01 	 2.974447e+08 	 1.526263e+04 	 1.426860e+09 	 1.180411e+22 	 2.362054e+07 	 1.283196e+39 	 8.390217e+38 	 3.340288e+22 	 9.916460e+08
1.20113160e+06 	 1.272136e+01 	 2.972298e+08 	 1.511237e+04 	 1.424800e+09 	 1.172862e+22 	 2.337211e+07 	 1.283126e+39 	 8.389854e+38 	 3.319896e+22 	 9.827938e+08
1.20115665e+06 	 1.284724e+01 	 2.970154e+08 	 1.496360e+04 	 1.422745e+09 	 1.165374e+22 	 2.312633e+07 	 1.283056e+39 	 8.389489e+38 	 3.299663e+22 	 9.740190e+08
1.20118176e+06 	 1.297436e+01 	 2.968015e+08 	 1.481628e+04 	 1.420696e+09 	 1.157947e+22 	 2.288316e+07 	 1.282986e+39 	 8.389123e+38 	 3.279585e+22 	 9.653210e+08
1.20120691e+06 	 1.310274e+01 	 2.965881e+08 	 1.467042e+04 	 1.418654e+09 	 1.150579e+22 	 2.264257e+07 	 1.282915e+39 	 8.388754e+38 	 3.259663e+22 	 9.566991e+08
1.20123210e+06 	 1.323239e+01 	 2.963751e+08 	 1.452599e+04 	 1.416617e+09 	 1.143272e+22 	 2.240454e+07 	 1.282844e+39 	 8.388384e+38 	 3.239895e+22 	 9.481526e+08
1.20125734e+06 	 1.336332e+01 	 2.961626e+08 	 1.438298e+04 	 1.414587e+09 	 1.136023e+22 	 2.216904e+07 	 1.282773e+39 	 8.388011e+38 	 3.220278e+22 	 9.396810e+08
1.20128263e+06 	 1.349555e+01 	 2.959506e+08 	 1.424139e+04 	 1.412562e+09 	 1.128833e+22 	 2.193604e+07 	 1.282701e+39 	 8.387637e+38 	 3.200813e+22 	 9.312836e+08
1.20130797e+06 	 1.362908e+01 	 2.957391e+08 	 1.410118e+04 	 1.410544e+09 	 1.121700e+22 	 2.170552e+07 	 1.282630e+39 	 8.387261e+38 	 3.181497e+22 	 9.229598e+08
1.20133335e+06 	 1.376393e+01 	 2.955280e+08 	 1.396236e+04 	 1.408531e+09 	 1.114625e+22 	 2.147744e+07 	 1.282557e+39 	 8.386883e+38 	 3.162330e+22 	 9.147089e+08
1.20135879e+06 	 1.390011e+01 	 2.953174e+08 	 1.382490e+04 	 1.406524e+09 	 1.107606e+22 	 2.125179e+07 	 1.282485e+39 	 8.386503e+38 	 3.143309e+22 	 9.065303e+08
1.20138426e+06 	 1.403764e+01 	 2.951073e+08 	 1.368880e+04 	 1.404523e+09 	 1.100644e+22 	 2.102853e+07 	 1.282412e+39 	 8.386121e+38 	 3.124435e+22 	 8.984233e+08
1.20140979e+06 	 1.417654e+01 	 2.948976e+08 	 1.355403e+04 	 1.402528e+09 	 1.093738e+22 	 2.080764e+07 	 1.282339e+39 	 8.385737e+38 	 3.105705e+22 	 8.903874e+08
1.20143536e+06 	 1.431680e+01 	 2.946884e+08 	 1.342060e+04 	 1.400539e+09 	 1.086888e+22 	 2.058910e+07 	 1.282266e+39 	 8.385351e+38 	 3.087120e+22 	 8.824220e+08
1.20146098e+06 	 1.445845e+01 	 2.944797e+08 	 1.328847e+04 	 1.398556e+09 	 1.080092e+22 	 2.037288e+07 	 1.282192e+39 	 8.384963e+38 	 3.068676e+22 	 8.745264e+08
1.20148665e+06 	 1.460150e+01 	 2.942715e+08 	 1.315765e+04 	 1.396579e+09 	 1.073350e+22 	 2.015895e+07 	 1.282118e+39 	 8.384573e+38 	 3.050373e+22 	 8.667001e+08
1.20151237e+06 	 1.474596e+01 	 2.940637e+08 	 1.302811e+04 	 1.394607e+09 	 1.066662e+22 	 1.994730e+07 	 1.282043e+39 	 8.384181e+38 	 3.032209e+22 	 8.589424e+08
1.20153814e+06 	 1.489185e+01 	 2.938563e+08 	 1.289985e+04 	 1.392641e+09 	 1.060028e+22 	 1.973789e+07 	 1.281969e+39 	 8.383787e+38 	 3.014184e+22 	 8.512528e+08
1.20156397e+06 	 1.503919e+01 	 2.936495e+08 	 1.277286e+04 	 1.390681e+09 	 1.053446e+22 	 1.953070e+07 	 1.281893e+39 	 8.383392e+38 	 2.996295e+22 	 8.436308e+08
1.20158984e+06 	 1.518798e+01 	 2.934430e+08 	 1.264711e+04 	 1.388727e+09 	 1.046916e+22 	 1.932571e+07 	 1.281818e+39 	 8.382994e+38 	 2.978543e+22 	 8.360756e+08
1.20161576e+06 	 1.533824e+01 	 2.932371e+08 	 1.252260e+04 	 1.386778e+09 	 1.040439e+22 	 1.912289e+07 	 1.281742e+39 	 8.382593e+38 	 2.960924e+22 	 8.285869e+08
1.20164174e+06 	 1.548998e+01 	 2.930316e+08 	 1.239932e+04 	 1.384835e+09 	 1.034012e+22 	 1.892223e+07 	 1.281666e+39 	 8.382191e+38 	 2.943440e+22 	 8.211639e+08
1.20166776e+06 	 1.564323e+01 	 2.928266e+08 	 1.227725e+04 	 1.382898e+09 	 1.027637e+22 	 1.872369e+07 	 1.281589e+39 	 8.381787e+38 	 2.926088e+22 	 8.138061e+08
1.20169384e+06 	 1.579799e+01 	 2.926220e+08 	 1.215638e+04 	 1.380966e+09 	 1.021312e+22 	 1.852726e+07 	 1.281513e+39 	 8.381381e+38 	 2.908867e+22 	 8.065129e+08
1.20171997e+06 	 1.595428e+01 	 2.924179e+08 	 1.203670e+04 	 1.379040e+09 	 1.015037e+22 	 1.833291e+07 	 1.281435e+39 	 8.380972e+38 	 2.891777e+22 	 7.992838e+08
1.20174615e+06 	 1.611211e+01 	 2.922142e+08 	 1.191820e+04 	 1.377120e+09 	 1.008812e+22 	 1.814062e+07 	 1.281358e+39 	 8.380562e+38 	 2.874815e+22 	 7.921183e+08
1.20177238e+06 	 1.627151e+01 	 2.920110e+08 	 1.180087e+04 	 1.375205e+09 	 1.002636e+22 	 1.795037e+07 	 1.281280e+39 	 8.380149e+38 	 2.857981e+22 	 7.850158e+08
1.20179867e+06 	 1.643248e+01 	 2.918083e+08 	 1.168469e+04 	 1.373296e+09 	 9.965080e+21 	 1.776214e+07 	 1.281202e+39 	 8.379734e+38 	 2.841274e+22 	 7.779758e+08
1.20182501e+06 	 1.659504e+01 	 2.916060e+08 	 1.156966e+04 	 1.371393e+09 	 9.904286e+21 	 1.757590e+07 	 1.281123e+39 	 8.379317e+38 	 2.824692e+22 	 7.709977e+08
1.20185141e+06 	 1.675920e+01 	 2.914041e+08 	 1.145576e+04 	 1.369495e+09 	 9.843968e+21 	 1.739163e+07 	 1.281044e+39 	 8.378898e+38 	 2.808235e+22 	 7.640810e+08
1.20187786e+06 	 1.692499e+01 	 2.912027e+08 	 1.134298e+04 	 1.367602e+09 	 9.784122e+21 	 1.720932e+07 	 1.280965e+39 	 8.378476e+38 	 2.791901e+22 	 7.572252e+08
1.20190437e+06 	 1.709242e+01 	 2.910017e+08 	 1.123131e+04 	 1.365715e+09 	 9.724745e+21 	 1.702894e+07 	 1.280885e+39 	 8.378053e+38 	 2.775689e+22 	 7.504297e+08
1.20193093e+06 	 1.726150e+01 	 2.908012e+08 	 1.112074e+04 	 1.363834e+09 	 9.665833e+21 	 1.685047e+07 	 1.280805e+39 	 8.377627e+38 	 2.759598e+22 	 7.436941e+08
1.20195755e+06 	 1.743225e+01 	 2.906011e+08 	 1.101126e+04 	 1.361958e+09 	 9.607382e+21 	 1.667389e+07 	 1.280725e+39 	 8.377198e+38 	 2.743627e+22 	 7.370178e+08
1.20198422e+06 	 1.760469e+01 	 2.904015e+08 	 1.090285e+04 	 1.360088e+09 	 9.549388e+21 	 1.649918e+07 	 1.280644e+39 	 8.376768e+38 	 2.727776e+22 	 7.304002e+08
1.20201094e+06 	 1.777883e+01 	 2.902024e+08 	 1.079552e+04 	 1.358223e+09 	 9.491848e+21 	 1.632632e+07 	 1.280562e+39 	 8.376335e+38 	 2.712044e+22 	 7.238410e+08
1.20203772e+06 	 1.795470e+01 	 2.900036e+08 	 1.068924e+04 	 1.356363e+09 	 9.434756e+21 	 1.615529e+07 	 1.280481e+39 	 8.375900e+38 	 2.696428e+22 	 7.173395e+08
1.20206457e+06 	 1.813230e+01 	 2.898053e+08 	 1.058400e+04 	 1.354509e+09 	 9.378107e+21 	 1.598607e+07 	 1.280399e+39 	 8.375463e+38 	 2.680929e+22 	 7.108954e+08
