r (cm)        	 u (cm/s)    	 cs (cm/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20000002e+06 	 6.490510e-01 	 2.915748e+08 	 8.365939e+04 	 1.371100e+09 	 1.604931e+22 	 4.509502e+08 	 7.602922e+38 	 4.968769e+38 	 3.771152e+22 	 5.571095e+09
1.20001074e+06 	 6.558292e-01 	 2.912220e+08 	 8.279306e+04 	 1.367784e+09 	 1.587222e+22 	 4.457352e+08 	 7.602868e+38 	 4.968757e+38 	 3.731182e+22 	 5.521740e+09
1.20002144e+06 	 6.626782e-01 	 2.908698e+08 	 8.193571e+04 	 1.364477e+09 	 1.569716e+22 	 4.405808e+08 	 7.602813e+38 	 4.968745e+38 	 3.691655e+22 	 5.472815e+09
1.20003212e+06 	 6.695988e-01 	 2.905181e+08 	 8.108724e+04 	 1.361180e+09 	 1.552410e+22 	 4.354862e+08 	 7.602759e+38 	 4.968733e+38 	 3.652567e+22 	 5.424315e+09
1.20004280e+06 	 6.765917e-01 	 2.901670e+08 	 8.024755e+04 	 1.357891e+09 	 1.535303e+22 	 4.304509e+08 	 7.602704e+38 	 4.968721e+38 	 3.613912e+22 	 5.376238e+09
1.20005346e+06 	 6.836576e-01 	 2.898164e+08 	 7.941655e+04 	 1.354612e+09 	 1.518392e+22 	 4.254741e+08 	 7.602650e+38 	 4.968708e+38 	 3.575687e+22 	 5.328579e+09
1.20006411e+06 	 6.907973e-01 	 2.894664e+08 	 7.859416e+04 	 1.351342e+09 	 1.501675e+22 	 4.205550e+08 	 7.602595e+38 	 4.968696e+38 	 3.537884e+22 	 5.281335e+09
1.20007475e+06 	 6.980116e-01 	 2.891169e+08 	 7.778029e+04 	 1.348081e+09 	 1.485149e+22 	 4.156931e+08 	 7.602541e+38 	 4.968684e+38 	 3.500499e+22 	 5.234503e+09
1.20008538e+06 	 7.053013e-01 	 2.887679e+08 	 7.697485e+04 	 1.344829e+09 	 1.468812e+22 	 4.108877e+08 	 7.602487e+38 	 4.968672e+38 	 3.463528e+22 	 5.188079e+09
1.20009600e+06 	 7.126671e-01 	 2.884196e+08 	 7.617775e+04 	 1.341586e+09 	 1.452661e+22 	 4.061381e+08 	 7.602433e+38 	 4.968660e+38 	 3.426965e+22 	 5.142060e+09
1.20010661e+06 	 7.201098e-01 	 2.880717e+08 	 7.538890e+04 	 1.338352e+09 	 1.436696e+22 	 4.014437e+08 	 7.602378e+38 	 4.968648e+38 	 3.390806e+22 	 5.096441e+09
1.20011720e+06 	 7.276303e-01 	 2.877244e+08 	 7.460822e+04 	 1.335127e+09 	 1.420913e+22 	 3.968037e+08 	 7.602324e+38 	 4.968635e+38 	 3.355047e+22 	 5.051220e+09
1.20012779e+06 	 7.352293e-01 	 2.873776e+08 	 7.383562e+04 	 1.331910e+09 	 1.405310e+22 	 3.922177e+08 	 7.602270e+38 	 4.968623e+38 	 3.319683e+22 	 5.006394e+09
1.20013836e+06 	 7.429078e-01 	 2.870314e+08 	 7.307102e+04 	 1.328703e+09 	 1.389886e+22 	 3.876849e+08 	 7.602216e+38 	 4.968611e+38 	 3.284709e+22 	 4.961957e+09
1.20014892e+06 	 7.506664e-01 	 2.866858e+08 	 7.231435e+04 	 1.325505e+09 	 1.374637e+22 	 3.832047e+08 	 7.602162e+38 	 4.968599e+38 	 3.250122e+22 	 4.917909e+09
1.20015947e+06 	 7.585061e-01 	 2.863406e+08 	 7.156550e+04 	 1.322315e+09 	 1.359563e+22 	 3.787766e+08 	 7.602108e+38 	 4.968587e+38 	 3.215917e+22 	 4.874244e+09
1.20017001e+06 	 7.664276e-01 	 2.859960e+08 	 7.082442e+04 	 1.319135e+09 	 1.344661e+22 	 3.743998e+08 	 7.602053e+38 	 4.968574e+38 	 3.182088e+22 	 4.830961e+09
1.20018054e+06 	 7.744319e-01 	 2.856520e+08 	 7.009100e+04 	 1.315963e+09 	 1.329929e+22 	 3.700739e+08 	 7.601999e+38 	 4.968562e+38 	 3.148632e+22 	 4.788054e+09
1.20019106e+06 	 7.825198e-01 	 2.853085e+08 	 6.936519e+04 	 1.312800e+09 	 1.315365e+22 	 3.657982e+08 	 7.601945e+38 	 4.968550e+38 	 3.115544e+22 	 4.745523e+09
1.20020156e+06 	 7.906922e-01 	 2.849655e+08 	 6.864688e+04 	 1.309645e+09 	 1.300967e+22 	 3.615721e+08 	 7.601891e+38 	 4.968538e+38 	 3.082821e+22 	 4.703362e+09
1.20021206e+06 	 7.989500e-01 	 2.846231e+08 	 6.793602e+04 	 1.306500e+09 	 1.286732e+22 	 3.573951e+08 	 7.601837e+38 	 4.968526e+38 	 3.050457e+22 	 4.661570e+09
1.20022255e+06 	 8.072940e-01 	 2.842812e+08 	 6.723252e+04 	 1.303363e+09 	 1.272661e+22 	 3.532665e+08 	 7.601783e+38 	 4.968513e+38 	 3.018450e+22 	 4.620142e+09
1.20023302e+06 	 8.157252e-01 	 2.839398e+08 	 6.653630e+04 	 1.300235e+09 	 1.258749e+22 	 3.491859e+08 	 7.601730e+38 	 4.968501e+38 	 2.986795e+22 	 4.579076e+09
1.20024348e+06 	 8.242445e-01 	 2.835990e+08 	 6.584729e+04 	 1.297115e+09 	 1.244996e+22 	 3.451526e+08 	 7.601676e+38 	 4.968489e+38 	 2.955489e+22 	 4.538368e+09
1.20025394e+06 	 8.328527e-01 	 2.832588e+08 	 6.516542e+04 	 1.294005e+09 	 1.231399e+22 	 3.411662e+08 	 7.601622e+38 	 4.968476e+38 	 2.924526e+22 	 4.498016e+09
1.20026438e+06 	 8.415509e-01 	 2.829190e+08 	 6.449060e+04 	 1.290903e+09 	 1.217958e+22 	 3.372260e+08 	 7.601568e+38 	 4.968464e+38 	 2.893904e+22 	 4.458016e+09
1.20027481e+06 	 8.503399e-01 	 2.825798e+08 	 6.382278e+04 	 1.287809e+09 	 1.204669e+22 	 3.333315e+08 	 7.601514e+38 	 4.968452e+38 	 2.863618e+22 	 4.418365e+09
1.20028523e+06 	 8.592207e-01 	 2.822412e+08 	 6.316187e+04 	 1.284724e+09 	 1.191531e+22 	 3.294822e+08 	 7.601460e+38 	 4.968440e+38 	 2.833664e+22 	 4.379061e+09
1.20029564e+06 	 8.681943e-01 	 2.819030e+08 	 6.250781e+04 	 1.281648e+09 	 1.178542e+22 	 3.256776e+08 	 7.601406e+38 	 4.968427e+38 	 2.804038e+22 	 4.340101e+09
1.20030605e+06 	 8.772616e-01 	 2.815654e+08 	 6.186051e+04 	 1.278580e+09 	 1.165701e+22 	 3.219171e+08 	 7.601353e+38 	 4.968415e+38 	 2.774737e+22 	 4.301481e+09
1.20031644e+06 	 8.864237e-01 	 2.812283e+08 	 6.121993e+04 	 1.275520e+09 	 1.153005e+22 	 3.182002e+08 	 7.601299e+38 	 4.968403e+38 	 2.745757e+22 	 4.263199e+09
1.20032682e+06 	 8.956814e-01 	 2.808918e+08 	 6.058597e+04 	 1.272469e+09 	 1.140454e+22 	 3.145264e+08 	 7.601245e+38 	 4.968390e+38 	 2.717095e+22 	 4.225251e+09
1.20033719e+06 	 9.050359e-01 	 2.805558e+08 	 5.995858e+04 	 1.269427e+09 	 1.128045e+22 	 3.108953e+08 	 7.601192e+38 	 4.968378e+38 	 2.688746e+22 	 4.187635e+09
1.20034755e+06 	 9.144881e-01 	 2.802203e+08 	 5.933769e+04 	 1.266393e+09 	 1.115777e+22 	 3.073063e+08 	 7.601138e+38 	 4.968365e+38 	 2.660709e+22 	 4.150347e+09
1.20035790e+06 	 9.240390e-01 	 2.798854e+08 	 5.872322e+04 	 1.263367e+09 	 1.103649e+22 	 3.037589e+08 	 7.601084e+38 	 4.968353e+38 	 2.632979e+22 	 4.113386e+09
1.20036824e+06 	 9.336897e-01 	 2.795510e+08 	 5.811512e+04 	 1.260350e+09 	 1.091658e+22 	 3.002526e+08 	 7.601031e+38 	 4.968341e+38 	 2.605552e+22 	 4.076748e+09
