r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	
1.200000e+06 	1.317241e+09 	1.030410e+05 	1.604931e+22 	2.097891e-01 	2.857907e+08 	1.369652e+09 	6.323306e+38 	4.132497e+38 	7.036115e+09 	
1.200010e+06 	1.313748e+09 	1.019303e+05 	1.585541e+22 	2.120714e-01 	2.854115e+08 	1.353054e+09 	6.323274e+38 	4.132493e+38 	6.971684e+09 	
1.200019e+06 	1.310265e+09 	1.008316e+05 	1.566391e+22 	2.143785e-01 	2.850329e+08 	1.336657e+09 	6.323242e+38 	4.132490e+38 	6.907832e+09 	
1.200029e+06 	1.306792e+09 	9.974464e+04 	1.547477e+22 	2.167107e-01 	2.846549e+08 	1.320460e+09 	6.323210e+38 	4.132486e+38 	6.844557e+09 	
1.200038e+06 	1.303328e+09 	9.866944e+04 	1.528797e+22 	2.190682e-01 	2.842774e+08 	1.304460e+09 	6.323178e+38 	4.132483e+38 	6.781851e+09 	
1.200048e+06 	1.299875e+09 	9.760584e+04 	1.510348e+22 	2.214514e-01 	2.839005e+08 	1.288655e+09 	6.323146e+38 	4.132479e+38 	6.719710e+09 	
1.200057e+06 	1.296431e+09 	9.655370e+04 	1.492128e+22 	2.238606e-01 	2.835242e+08 	1.273042e+09 	6.323115e+38 	4.132476e+38 	6.658130e+09 	
1.200067e+06 	1.292997e+09 	9.551290e+04 	1.474132e+22 	2.262960e-01 	2.831485e+08 	1.257619e+09 	6.323083e+38 	4.132472e+38 	6.597104e+09 	
1.200076e+06 	1.289573e+09 	9.448332e+04 	1.456359e+22 	2.287578e-01 	2.827734e+08 	1.242383e+09 	6.323051e+38 	4.132469e+38 	6.536629e+09 	
1.200086e+06 	1.286159e+09 	9.346483e+04 	1.438805e+22 	2.312465e-01 	2.823988e+08 	1.227332e+09 	6.323020e+38 	4.132465e+38 	6.476699e+09 	
1.200095e+06 	1.282755e+09 	9.245733e+04 	1.421467e+22 	2.337622e-01 	2.820248e+08 	1.212465e+09 	6.322988e+38 	4.132462e+38 	6.417309e+09 	
1.200104e+06 	1.279360e+09 	9.146069e+04 	1.404344e+22 	2.363053e-01 	2.816513e+08 	1.197778e+09 	6.322956e+38 	4.132458e+38 	6.358456e+09 	
1.200114e+06 	1.275974e+09 	9.047479e+04 	1.387432e+22 	2.388761e-01 	2.812784e+08 	1.183270e+09 	6.322925e+38 	4.132455e+38 	6.300133e+09 	
1.200123e+06 	1.272599e+09 	8.949952e+04 	1.370728e+22 	2.414749e-01 	2.809061e+08 	1.168938e+09 	6.322894e+38 	4.132451e+38 	6.242337e+09 	
1.200132e+06 	1.269233e+09 	8.853476e+04 	1.354231e+22 	2.441019e-01 	2.805344e+08 	1.154781e+09 	6.322862e+38 	4.132448e+38 	6.185062e+09 	
1.200142e+06 	1.265877e+09 	8.758040e+04 	1.337937e+22 	2.467576e-01 	2.801633e+08 	1.140795e+09 	6.322831e+38 	4.132444e+38 	6.128303e+09 	
