r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	
1.199991e+06 	1.302535e+09 	1.082667e+05 	1.604931e+22 	1.259812e-01 	2.841909e+08 	2.269122e+09 	6.005694e+38 	3.924911e+38 	7.444788e+09 	
1.200001e+06 	1.298931e+09 	1.070630e+05 	1.584715e+22 	1.273953e-01 	2.837975e+08 	2.240716e+09 	6.005666e+38 	3.924909e+38 	7.374573e+09 	
1.200010e+06 	1.295338e+09 	1.058726e+05 	1.564758e+22 	1.288254e-01 	2.834047e+08 	2.212666e+09 	6.005638e+38 	3.924907e+38 	7.305009e+09 	
1.200020e+06 	1.291756e+09 	1.046955e+05 	1.545057e+22 	1.302715e-01 	2.830125e+08 	2.184969e+09 	6.005610e+38 	3.924905e+38 	7.236091e+09 	
1.200029e+06 	1.288184e+09 	1.035315e+05 	1.525610e+22 	1.317338e-01 	2.826210e+08 	2.157620e+09 	6.005581e+38 	3.924903e+38 	7.167813e+09 	
1.200038e+06 	1.284623e+09 	1.023804e+05 	1.506413e+22 	1.332125e-01 	2.822301e+08 	2.130615e+09 	6.005553e+38 	3.924901e+38 	7.100168e+09 	
1.200048e+06 	1.281072e+09 	1.012421e+05 	1.487464e+22 	1.347079e-01 	2.818398e+08 	2.103948e+09 	6.005525e+38 	3.924899e+38 	7.033151e+09 	
1.200057e+06 	1.277532e+09 	1.001165e+05 	1.468757e+22 	1.362200e-01 	2.814500e+08 	2.077617e+09 	6.005497e+38 	3.924896e+38 	6.966757e+09 	
1.200066e+06 	1.274002e+09 	9.900341e+04 	1.450291e+22 	1.377491e-01 	2.810609e+08 	2.051617e+09 	6.005469e+38 	3.924894e+38 	6.900980e+09 	
1.200076e+06 	1.270482e+09 	9.790267e+04 	1.432061e+22 	1.392954e-01 	2.806724e+08 	2.025943e+09 	6.005441e+38 	3.924892e+38 	6.835813e+09 	
1.200085e+06 	1.266973e+09 	9.681417e+04 	1.414066e+22 	1.408591e-01 	2.802845e+08 	2.000591e+09 	6.005413e+38 	3.924890e+38 	6.771253e+09 	
1.200094e+06 	1.263474e+09 	9.573778e+04 	1.396301e+22 	1.424403e-01 	2.798972e+08 	1.975558e+09 	6.005386e+38 	3.924888e+38 	6.707292e+09 	
1.200104e+06 	1.259985e+09 	9.467335e+04 	1.378765e+22 	1.440392e-01 	2.795105e+08 	1.950839e+09 	6.005358e+38 	3.924886e+38 	6.643926e+09 	
1.200113e+06 	1.256507e+09 	9.362075e+04 	1.361453e+22 	1.456561e-01 	2.791244e+08 	1.926430e+09 	6.005330e+38 	3.924884e+38 	6.581148e+09 	
1.200122e+06 	1.253039e+09 	9.257986e+04 	1.344364e+22 	1.472912e-01 	2.787390e+08 	1.902328e+09 	6.005302e+38 	3.924882e+38 	6.518954e+09 	
1.200131e+06 	1.249581e+09 	9.155054e+04 	1.327494e+22 	1.489446e-01 	2.783541e+08 	1.878529e+09 	6.005275e+38 	3.924880e+38 	6.457338e+09 	
1.200141e+06 	1.246133e+09 	9.053267e+04 	1.310840e+22 	1.506166e-01 	2.779698e+08 	1.855028e+09 	6.005247e+38 	3.924878e+38 	6.396295e+09 	
1.200150e+06 	1.242695e+09 	8.952611e+04 	1.294399e+22 	1.523074e-01 	2.775861e+08 	1.831823e+09 	6.005220e+38 	3.924876e+38 	6.335820e+09 	
1.200159e+06 	1.239267e+09 	8.853075e+04 	1.278169e+22 	1.540171e-01 	2.772030e+08 	1.808908e+09 	6.005192e+38 	3.924874e+38 	6.275908e+09 	
1.200168e+06 	1.235850e+09 	8.754645e+04 	1.262147e+22 	1.557461e-01 	2.768205e+08 	1.786282e+09 	6.005165e+38 	3.924872e+38 	6.216553e+09 	
1.200177e+06 	1.232442e+09 	8.657309e+04 	1.246330e+22 	1.574944e-01 	2.764386e+08 	1.763939e+09 	6.005137e+38 	3.924869e+38 	6.157750e+09 	
1.200186e+06 	1.229045e+09 	8.561056e+04 	1.230716e+22 	1.592624e-01 	2.760573e+08 	1.741877e+09 	6.005110e+38 	3.924867e+38 	6.099495e+09 	
1.200196e+06 	1.225657e+09 	8.465873e+04 	1.215301e+22 	1.610503e-01 	2.756766e+08 	1.720091e+09 	6.005082e+38 	3.924865e+38 	6.041782e+09 	
1.200205e+06 	1.222279e+09 	8.371748e+04 	1.200084e+22 	1.628582e-01 	2.752965e+08 	1.698579e+09 	6.005055e+38 	3.924863e+38 	5.984606e+09 	
1.200214e+06 	1.218912e+09 	8.278669e+04 	1.185062e+22 	1.646864e-01 	2.749170e+08 	1.677337e+09 	6.005028e+38 	3.924861e+38 	5.927962e+09 	
1.200223e+06 	1.215554e+09 	8.186625e+04 	1.170232e+22 	1.665352e-01 	2.745380e+08 	1.656362e+09 	6.005001e+38 	3.924859e+38 	5.871845e+09 	
1.200232e+06 	1.212206e+09 	8.095605e+04 	1.155591e+22 	1.684047e-01 	2.741597e+08 	1.635650e+09 	6.004973e+38 	3.924857e+38 	5.816251e+09 	
1.200241e+06 	1.208867e+09 	8.005597e+04 	1.141138e+22 	1.702952e-01 	2.737819e+08 	1.615197e+09 	6.004946e+38 	3.924855e+38 	5.761176e+09 	
1.200250e+06 	1.205539e+09 	7.916589e+04 	1.126869e+22 	1.722069e-01 	2.734048e+08 	1.595001e+09 	6.004919e+38 	3.924853e+38 	5.706613e+09 	
1.200259e+06 	1.202220e+09 	7.828571e+04 	1.112783e+22 	1.741401e-01 	2.730282e+08 	1.575059e+09 	6.004892e+38 	3.924851e+38 	5.652559e+09 	
1.200268e+06 	1.198911e+09 	7.741532e+04 	1.098876e+22 	1.760950e-01 	2.726522e+08 	1.555367e+09 	6.004865e+38 	3.924849e+38 	5.599008e+09 	
