r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	
1.200000e+06 	1.332876e+09 	9.745608e+04 	1.604931e+22 	3.133175e-01 	2.874818e+08 	9.220604e+08 	6.675464e+38 	4.362643e+38 	6.605896e+09 	
1.200010e+06 	1.329451e+09 	9.642433e+04 	1.586129e+22 	3.166642e-01 	2.871121e+08 	9.111052e+08 	6.675427e+38 	4.362638e+38 	6.546382e+09 	
1.200019e+06 	1.326034e+09 	9.540350e+04 	1.567552e+22 	3.200466e-01 	2.867430e+08 	9.002808e+08 	6.675390e+38 	4.362632e+38 	6.487395e+09 	
1.200029e+06 	1.322628e+09 	9.439349e+04 	1.549199e+22 	3.234652e-01 	2.863744e+08 	8.895854e+08 	6.675353e+38 	4.362627e+38 	6.428931e+09 	
1.200039e+06 	1.319231e+09 	9.339416e+04 	1.531067e+22 	3.269203e-01 	2.860064e+08 	8.790176e+08 	6.675316e+38 	4.362622e+38 	6.370986e+09 	
1.200049e+06 	1.315843e+09 	9.240542e+04 	1.513153e+22 	3.304124e-01 	2.856390e+08 	8.685759e+08 	6.675279e+38 	4.362616e+38 	6.313554e+09 	
1.200058e+06 	1.312465e+09 	9.142714e+04 	1.495454e+22 	3.339417e-01 	2.852721e+08 	8.582586e+08 	6.675242e+38 	4.362611e+38 	6.256631e+09 	
1.200068e+06 	1.309096e+09 	9.045922e+04 	1.477968e+22 	3.375087e-01 	2.849058e+08 	8.480645e+08 	6.675206e+38 	4.362606e+38 	6.200213e+09 	
1.200078e+06 	1.305737e+09 	8.950154e+04 	1.460692e+22 	3.411139e-01 	2.845400e+08 	8.379919e+08 	6.675169e+38 	4.362600e+38 	6.144294e+09 	
1.200087e+06 	1.302388e+09 	8.855401e+04 	1.443624e+22 	3.447575e-01 	2.841748e+08 	8.280394e+08 	6.675132e+38 	4.362595e+38 	6.088872e+09 	
1.200097e+06 	1.299048e+09 	8.761650e+04 	1.426761e+22 	3.484401e-01 	2.838102e+08 	8.182056e+08 	6.675096e+38 	4.362590e+38 	6.033942e+09 	
1.200107e+06 	1.295717e+09 	8.668893e+04 	1.410100e+22 	3.521621e-01 	2.834461e+08 	8.084890e+08 	6.675059e+38 	4.362584e+38 	5.979498e+09 	
1.200116e+06 	1.292395e+09 	8.577117e+04 	1.393639e+22 	3.559238e-01 	2.830826e+08 	7.988883e+08 	6.675023e+38 	4.362579e+38 	5.925538e+09 	
1.200126e+06 	1.289083e+09 	8.486313e+04 	1.377376e+22 	3.597257e-01 	2.827196e+08 	7.894020e+08 	6.674986e+38 	4.362574e+38 	5.872057e+09 	
1.200135e+06 	1.285780e+09 	8.396470e+04 	1.361307e+22 	3.635682e-01 	2.823571e+08 	7.800288e+08 	6.674950e+38 	4.362568e+38 	5.819051e+09 	
1.200145e+06 	1.282486e+09 	8.307578e+04 	1.345432e+22 	3.674517e-01 	2.819952e+08 	7.707673e+08 	6.674913e+38 	4.362563e+38 	5.766515e+09 	
1.200154e+06 	1.279202e+09 	8.219627e+04 	1.329747e+22 	3.713768e-01 	2.816339e+08 	7.616163e+08 	6.674877e+38 	4.362558e+38 	5.714445e+09 	
1.200164e+06 	1.275926e+09 	8.132608e+04 	1.314250e+22 	3.753438e-01 	2.812731e+08 	7.525743e+08 	6.674841e+38 	4.362552e+38 	5.662837e+09 	
1.200174e+06 	1.272660e+09 	8.046509e+04 	1.298939e+22 	3.793532e-01 	2.809129e+08 	7.436401e+08 	6.674805e+38 	4.362547e+38 	5.611688e+09 	
1.200183e+06 	1.269403e+09 	7.961323e+04 	1.283811e+22 	3.834054e-01 	2.805532e+08 	7.348123e+08 	6.674768e+38 	4.362542e+38 	5.560993e+09 	
1.200193e+06 	1.266156e+09 	7.877038e+04 	1.268864e+22 	3.875009e-01 	2.801941e+08 	7.260898e+08 	6.674732e+38 	4.362536e+38 	5.510749e+09 	
1.200202e+06 	1.262917e+09 	7.793645e+04 	1.254096e+22 	3.916402e-01 	2.798355e+08 	7.174712e+08 	6.674696e+38 	4.362531e+38 	5.460951e+09 	
1.200212e+06 	1.259687e+09 	7.711135e+04 	1.239505e+22 	3.958237e-01 	2.794775e+08 	7.089552e+08 	6.674660e+38 	4.362526e+38 	5.411596e+09 	
1.200221e+06 	1.256467e+09 	7.629499e+04 	1.225089e+22 	4.000519e-01 	2.791200e+08 	7.005408e+08 	6.674624e+38 	4.362520e+38 	5.362679e+09 	
1.200230e+06 	1.253255e+09 	7.548727e+04 	1.210845e+22 	4.043253e-01 	2.787630e+08 	6.922266e+08 	6.674588e+38 	4.362515e+38 	5.314197e+09 	
1.200240e+06 	1.250053e+09 	7.468810e+04 	1.196771e+22 	4.086443e-01 	2.784066e+08 	6.840114e+08 	6.674552e+38 	4.362510e+38 	5.266146e+09 	
1.200249e+06 	1.246859e+09 	7.389739e+04 	1.182866e+22 	4.130095e-01 	2.780508e+08 	6.758942e+08 	6.674516e+38 	4.362504e+38 	5.218521e+09 	
1.200259e+06 	1.243675e+09 	7.311506e+04 	1.169127e+22 	4.174213e-01 	2.776955e+08 	6.678736e+08 	6.674480e+38 	4.362499e+38 	5.171321e+09 	
1.200268e+06 	1.240499e+09 	7.234100e+04 	1.155552e+22 	4.218803e-01 	2.773407e+08 	6.599486e+08 	6.674444e+38 	4.362493e+38 	5.124540e+09 	
1.200278e+06 	1.237332e+09 	7.157514e+04 	1.142140e+22 	4.263869e-01 	2.769865e+08 	6.521180e+08 	6.674408e+38 	4.362488e+38 	5.078175e+09 	
1.200287e+06 	1.234174e+09 	7.081739e+04 	1.128888e+22 	4.309416e-01 	2.766328e+08 	6.443807e+08 	6.674372e+38 	4.362483e+38 	5.032223e+09 	
1.200296e+06 	1.231025e+09 	7.006766e+04 	1.115793e+22 	4.355450e-01 	2.762797e+08 	6.367355e+08 	6.674337e+38 	4.362477e+38 	4.986680e+09 	
