r (cm)        	 u (cm/s)    	 cs (cm/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.19999960e+06 	 3.070193e+00 	 3.025488e+08 	 4.442507e+04 	 1.476250e+09 	 1.604931e+22 	 9.868385e+07 	 1.075074e+39 	 7.025975e+38 	 4.214199e+22 	 2.823173e+09
1.20001568e+06 	 3.101308e+00 	 3.022556e+08 	 4.397803e+04 	 1.473391e+09 	 1.590797e+22 	 9.759782e+07 	 1.075053e+39 	 7.025890e+38 	 4.178931e+22 	 2.798225e+09
1.20003177e+06 	 3.132737e+00 	 3.019631e+08 	 4.353549e+04 	 1.470540e+09 	 1.576802e+22 	 9.652385e+07 	 1.075033e+39 	 7.025805e+38 	 4.143997e+22 	 2.773493e+09
1.20004786e+06 	 3.164486e+00 	 3.016711e+08 	 4.309741e+04 	 1.467697e+09 	 1.562945e+22 	 9.546179e+07 	 1.075012e+39 	 7.025719e+38 	 4.109393e+22 	 2.748974e+09
1.20006396e+06 	 3.196555e+00 	 3.013797e+08 	 4.266373e+04 	 1.464863e+09 	 1.549225e+22 	 9.441153e+07 	 1.074991e+39 	 7.025633e+38 	 4.075116e+22 	 2.724667e+09
1.20008006e+06 	 3.228950e+00 	 3.010889e+08 	 4.223442e+04 	 1.462038e+09 	 1.535641e+22 	 9.337292e+07 	 1.074970e+39 	 7.025547e+38 	 4.041164e+22 	 2.700571e+09
1.20009616e+06 	 3.261674e+00 	 3.007986e+08 	 4.180942e+04 	 1.459220e+09 	 1.522191e+22 	 9.234584e+07 	 1.074950e+39 	 7.025460e+38 	 4.007532e+22 	 2.676683e+09
1.20011226e+06 	 3.294728e+00 	 3.005089e+08 	 4.138871e+04 	 1.456411e+09 	 1.508873e+22 	 9.133015e+07 	 1.074929e+39 	 7.025373e+38 	 3.974218e+22 	 2.653001e+09
1.20012837e+06 	 3.328118e+00 	 3.002198e+08 	 4.097222e+04 	 1.453609e+09 	 1.495687e+22 	 9.032573e+07 	 1.074908e+39 	 7.025286e+38 	 3.941217e+22 	 2.629525e+09
1.20014449e+06 	 3.361846e+00 	 2.999312e+08 	 4.055993e+04 	 1.450816e+09 	 1.482630e+22 	 8.933245e+07 	 1.074887e+39 	 7.025199e+38 	 3.908527e+22 	 2.606252e+09
1.20016060e+06 	 3.395916e+00 	 2.996432e+08 	 4.015179e+04 	 1.448032e+09 	 1.469702e+22 	 8.835019e+07 	 1.074866e+39 	 7.025112e+38 	 3.876144e+22 	 2.583180e+09
1.20017673e+06 	 3.430331e+00 	 2.993558e+08 	 3.974775e+04 	 1.445255e+09 	 1.456900e+22 	 8.737882e+07 	 1.074844e+39 	 7.025024e+38 	 3.844066e+22 	 2.560308e+09
1.20019286e+06 	 3.465095e+00 	 2.990689e+08 	 3.934778e+04 	 1.442486e+09 	 1.444225e+22 	 8.641823e+07 	 1.074823e+39 	 7.024936e+38 	 3.812289e+22 	 2.537634e+09
1.20020899e+06 	 3.500211e+00 	 2.987826e+08 	 3.895184e+04 	 1.439726e+09 	 1.431673e+22 	 8.546829e+07 	 1.074802e+39 	 7.024847e+38 	 3.780810e+22 	 2.515157e+09
