r (cm)        	 u (cm/s)    	 cs (cm/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau         	 lambda     
1.20000013e+06 	 2.902108e+02 	 3.135013e+08 	 1.324585e+03 	 1.585068e+09 	 1.604931e+22 	 1.080179e+06 	 1.696736e+39 	 1.108875e+39 	 4.795299e+22 	 8.041864e+07 	 3.333333e-01
1.20035554e+06 	 2.925586e+02 	 3.132626e+08 	 1.313074e+03 	 1.582655e+09 	 1.595128e+22 	 1.070694e+06 	 1.695073e+39 	 1.107962e+39 	 4.766088e+22 	 7.982145e+07 	 3.333333e-01
1.20071264e+06 	 2.949246e+02 	 3.130238e+08 	 1.301663e+03 	 1.580242e+09 	 1.585370e+22 	 1.061295e+06 	 1.693408e+39 	 1.107048e+39 	 4.737010e+22 	 7.922889e+07 	 3.333333e-01
1.20107146e+06 	 2.973088e+02 	 3.127847e+08 	 1.290351e+03 	 1.577829e+09 	 1.575657e+22 	 1.051980e+06 	 1.691741e+39 	 1.106133e+39 	 4.708064e+22 	 7.864094e+07 	 3.333333e-01
1.20143198e+06 	 2.997114e+02 	 3.125454e+08 	 1.279137e+03 	 1.575416e+09 	 1.565988e+22 	 1.042749e+06 	 1.690072e+39 	 1.105218e+39 	 4.679251e+22 	 7.805754e+07 	 3.333333e-01
1.20179422e+06 	 3.021325e+02 	 3.123059e+08 	 1.268021e+03 	 1.573003e+09 	 1.556363e+22 	 1.033600e+06 	 1.688402e+39 	 1.104302e+39 	 4.650568e+22 	 7.747868e+07 	 3.333333e-01
1.20215819e+06 	 3.045723e+02 	 3.120663e+08 	 1.257002e+03 	 1.570590e+09 	 1.546783e+22 	 1.024534e+06 	 1.686730e+39 	 1.103385e+39 	 4.622017e+22 	 7.690430e+07 	 3.333333e-01
1.20252389e+06 	 3.070308e+02 	 3.118264e+08 	 1.246078e+03 	 1.568176e+09 	 1.537248e+22 	 1.015549e+06 	 1.685056e+39 	 1.102467e+39 	 4.593597e+22 	 7.633439e+07 	 3.333333e-01
1.20289133e+06 	 3.095082e+02 	 3.115863e+08 	 1.235249e+03 	 1.565762e+09 	 1.527756e+22 	 1.006645e+06 	 1.683380e+39 	 1.101548e+39 	 4.565307e+22 	 7.576889e+07 	 3.333333e-01
1.20326051e+06 	 3.120047e+02 	 3.113461e+08 	 1.224514e+03 	 1.563349e+09 	 1.518308e+22 	 9.978200e+05 	 1.681702e+39 	 1.100628e+39 	 4.537148e+22 	 7.520777e+07 	 3.333333e-01
1.20363142e+06 	 3.145204e+02 	 3.111056e+08 	 1.213873e+03 	 1.560935e+09 	 1.508905e+22 	 9.890746e+05 	 1.680022e+39 	 1.099708e+39 	 4.509119e+22 	 7.465100e+07 	 3.333333e-01
1.20400406e+06 	 3.170554e+02 	 3.108650e+08 	 1.203324e+03 	 1.558521e+09 	 1.499546e+22 	 9.804076e+05 	 1.678341e+39 	 1.098787e+39 	 4.481221e+22 	 7.409854e+07 	 3.333333e-01
1.20437843e+06 	 3.196098e+02 	 3.106242e+08 	 1.192866e+03 	 1.556107e+09 	 1.490230e+22 	 9.718183e+05 	 1.676658e+39 	 1.097865e+39 	 4.453453e+22 	 7.355036e+07 	 3.333333e-01
1.20475452e+06 	 3.221839e+02 	 3.103832e+08 	 1.182500e+03 	 1.553694e+09 	 1.480959e+22 	 9.633060e+05 	 1.674974e+39 	 1.096943e+39 	 4.425816e+22 	 7.300641e+07 	 3.333333e-01
1.20513239e+06 	 3.247777e+02 	 3.101420e+08 	 1.172224e+03 	 1.551280e+09 	 1.471732e+22 	 9.548701e+05 	 1.673287e+39 	 1.096019e+39 	 4.398307e+22 	 7.246668e+07 	 3.333333e-01
1.20551203e+06 	 3.273915e+02 	 3.099006e+08 	 1.162037e+03 	 1.548866e+09 	 1.462548e+22 	 9.465097e+05 	 1.671599e+39 	 1.095095e+39 	 4.370928e+22 	 7.193112e+07 	 3.333333e-01
1.20589343e+06 	 3.300252e+02 	 3.096590e+08 	 1.151938e+03 	 1.546452e+09 	 1.453407e+22 	 9.382243e+05 	 1.669909e+39 	 1.094170e+39 	 4.343678e+22 	 7.139970e+07 	 3.333333e-01
1.20627662e+06 	 3.326791e+02 	 3.094173e+08 	 1.141927e+03 	 1.544039e+09 	 1.444310e+22 	 9.300131e+05 	 1.668218e+39 	 1.093245e+39 	 4.316556e+22 	 7.087239e+07 	 3.333333e-01
1.20666159e+06 	 3.353533e+02 	 3.091753e+08 	 1.132004e+03 	 1.541625e+09 	 1.435256e+22 	 9.218756e+05 	 1.666525e+39 	 1.092319e+39 	 4.289562e+22 	 7.034916e+07 	 3.333333e-01
1.20704836e+06 	 3.380480e+02 	 3.089332e+08 	 1.122166e+03 	 1.539211e+09 	 1.426246e+22 	 9.138109e+05 	 1.664830e+39 	 1.091392e+39 	 4.262696e+22 	 6.982997e+07 	 3.333333e-01
1.20743691e+06 	 3.407632e+02 	 3.086909e+08 	 1.112414e+03 	 1.536798e+09 	 1.417278e+22 	 9.058185e+05 	 1.663134e+39 	 1.090464e+39 	 4.235957e+22 	 6.931480e+07 	 3.333333e-01
1.20782726e+06 	 3.434992e+02 	 3.084484e+08 	 1.102747e+03 	 1.534384e+09 	 1.408353e+22 	 8.978977e+05 	 1.661437e+39 	 1.089536e+39 	 4.209346e+22 	 6.880360e+07 	 3.333333e-01
1.20821939e+06 	 3.462561e+02 	 3.082057e+08 	 1.093164e+03 	 1.531971e+09 	 1.399472e+22 	 8.900478e+05 	 1.659737e+39 	 1.088607e+39 	 4.182862e+22 	 6.829634e+07 	 3.333333e-01
1.20861330e+06 	 3.490341e+02 	 3.079629e+08 	 1.083664e+03 	 1.529557e+09 	 1.390634e+22 	 8.822681e+05 	 1.658037e+39 	 1.087677e+39 	 4.156506e+22 	 6.779299e+07 	 3.333333e-01
