r (cm)        	 u (cm/s)    	 cs (cm/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau         	 lambda     
1.20002955e+06 	 2.396827e+00 	 3.008556e+08 	 5.071455e+04 	 1.459773e+09 	 1.604931e+22 	 1.257408e+08 	 1.018469e+39 	 6.656126e+38 	 4.137666e+22 	 3.246069e+09 	 3.333333e-01
1.20004436e+06 	 2.421227e+00 	 3.005498e+08 	 5.020206e+04 	 1.456807e+09 	 1.590077e+22 	 1.243451e+08 	 1.018452e+39 	 6.656065e+38 	 4.101235e+22 	 3.217424e+09 	 3.333333e-01
1.20005917e+06 	 2.445876e+00 	 3.002446e+08 	 4.969476e+04 	 1.453850e+09 	 1.575374e+22 	 1.229651e+08 	 1.018436e+39 	 6.656003e+38 	 4.065160e+22 	 3.189027e+09 	 3.333333e-01
1.20007398e+06 	 2.470775e+00 	 2.999400e+08 	 4.919258e+04 	 1.450902e+09 	 1.560821e+22 	 1.216005e+08 	 1.018420e+39 	 6.655941e+38 	 4.029438e+22 	 3.160874e+09 	 3.333333e-01
1.20008879e+06 	 2.495928e+00 	 2.996360e+08 	 4.869548e+04 	 1.447962e+09 	 1.546416e+22 	 1.202511e+08 	 1.018404e+39 	 6.655879e+38 	 3.994065e+22 	 3.132965e+09 	 3.333333e-01
1.20010360e+06 	 2.521337e+00 	 2.993325e+08 	 4.820340e+04 	 1.445030e+09 	 1.532159e+22 	 1.189169e+08 	 1.018388e+39 	 6.655816e+38 	 3.959038e+22 	 3.105297e+09 	 3.333333e-01
1.20011841e+06 	 2.547005e+00 	 2.990297e+08 	 4.771629e+04 	 1.442107e+09 	 1.518045e+22 	 1.175976e+08 	 1.018372e+39 	 6.655754e+38 	 3.924350e+22 	 3.077868e+09 	 3.333333e-01
1.20013321e+06 	 2.572934e+00 	 2.987273e+08 	 4.723410e+04 	 1.439193e+09 	 1.504075e+22 	 1.162930e+08 	 1.018355e+39 	 6.655691e+38 	 3.890001e+22 	 3.050676e+09 	 3.333333e-01
1.20014802e+06 	 2.599127e+00 	 2.984256e+08 	 4.675679e+04 	 1.436287e+09 	 1.490248e+22 	 1.150030e+08 	 1.018339e+39 	 6.655628e+38 	 3.855985e+22 	 3.023720e+09 	 3.333333e-01
1.20016283e+06 	 2.625587e+00 	 2.981243e+08 	 4.628430e+04 	 1.433389e+09 	 1.476560e+22 	 1.137274e+08 	 1.018323e+39 	 6.655565e+38 	 3.822301e+22 	 2.996997e+09 	 3.333333e-01
1.20017763e+06 	 2.652316e+00 	 2.978237e+08 	 4.581658e+04 	 1.430499e+09 	 1.463011e+22 	 1.124661e+08 	 1.018306e+39 	 6.655502e+38 	 3.788943e+22 	 2.970504e+09 	 3.333333e-01
1.20019244e+06 	 2.679317e+00 	 2.975236e+08 	 4.535360e+04 	 1.427618e+09 	 1.449599e+22 	 1.112189e+08 	 1.018290e+39 	 6.655439e+38 	 3.755909e+22 	 2.944242e+09 	 3.333333e-01
1.20020725e+06 	 2.706593e+00 	 2.972241e+08 	 4.489529e+04 	 1.424745e+09 	 1.436324e+22 	 1.099856e+08 	 1.018274e+39 	 6.655376e+38 	 3.723196e+22 	 2.918206e+09 	 3.333333e-01
1.20022205e+06 	 2.734146e+00 	 2.969252e+08 	 4.444161e+04 	 1.421881e+09 	 1.423183e+22 	 1.087662e+08 	 1.018257e+39 	 6.655312e+38 	 3.690800e+22 	 2.892395e+09 	 3.333333e-01
1.20023686e+06 	 2.761980e+00 	 2.966268e+08 	 4.399251e+04 	 1.419024e+09 	 1.410175e+22 	 1.075603e+08 	 1.018241e+39 	 6.655248e+38 	 3.658719e+22 	 2.866808e+09 	 3.333333e-01
1.20025167e+06 	 2.790098e+00 	 2.963290e+08 	 4.354796e+04 	 1.416176e+09 	 1.397298e+22 	 1.063679e+08 	 1.018224e+39 	 6.655184e+38 	 3.626949e+22 	 2.841443e+09 	 3.333333e-01
1.20026647e+06 	 2.818502e+00 	 2.960317e+08 	 4.310789e+04 	 1.413337e+09 	 1.384552e+22 	 1.051889e+08 	 1.018208e+39 	 6.655120e+38 	 3.595486e+22 	 2.816297e+09 	 3.333333e-01
1.20028128e+06 	 2.847195e+00 	 2.957350e+08 	 4.267228e+04 	 1.410505e+09 	 1.371934e+22 	 1.040230e+08 	 1.018191e+39 	 6.655056e+38 	 3.564327e+22 	 2.791369e+09 	 3.333333e-01
1.20029609e+06 	 2.876180e+00 	 2.954389e+08 	 4.224106e+04 	 1.407682e+09 	 1.359444e+22 	 1.028702e+08 	 1.018175e+39 	 6.654991e+38 	 3.533470e+22 	 2.766657e+09 	 3.333333e-01
1.20031090e+06 	 2.905460e+00 	 2.951433e+08 	 4.181421e+04 	 1.404866e+09 	 1.347080e+22 	 1.017302e+08 	 1.018158e+39 	 6.654926e+38 	 3.502910e+22 	 2.742159e+09 	 3.333333e-01
1.20032571e+06 	 2.935038e+00 	 2.948483e+08 	 4.139166e+04 	 1.402059e+09 	 1.334840e+22 	 1.006029e+08 	 1.018142e+39 	 6.654861e+38 	 3.472646e+22 	 2.717873e+09 	 3.333333e-01
1.20034052e+06 	 2.964917e+00 	 2.945538e+08 	 4.097339e+04 	 1.399260e+09 	 1.322724e+22 	 9.948830e+07 	 1.018125e+39 	 6.654796e+38 	 3.442673e+22 	 2.693798e+09 	 3.333333e-01
1.20035533e+06 	 2.995100e+00 	 2.942599e+08 	 4.055934e+04 	 1.396469e+09 	 1.310730e+22 	 9.838610e+07 	 1.018109e+39 	 6.654731e+38 	 3.412990e+22 	 2.669932e+09 	 3.333333e-01
1.20037014e+06 	 3.025591e+00 	 2.939666e+08 	 4.014948e+04 	 1.393686e+09 	 1.298857e+22 	 9.729621e+07 	 1.018092e+39 	 6.654666e+38 	 3.383592e+22 	 2.646272e+09 	 3.333333e-01
1.20038496e+06 	 3.056392e+00 	 2.936738e+08 	 3.974376e+04 	 1.390912e+09 	 1.287103e+22 	 9.621850e+07 	 1.018075e+39 	 6.654600e+38 	 3.354479e+22 	 2.622818e+09 	 3.333333e-01
1.20039977e+06 	 3.087507e+00 	 2.933816e+08 	 3.934214e+04 	 1.388145e+09 	 1.275467e+22 	 9.515283e+07 	 1.018058e+39 	 6.654534e+38 	 3.325646e+22 	 2.599567e+09 	 3.333333e-01
1.20041459e+06 	 3.118938e+00 	 2.930899e+08 	 3.894457e+04 	 1.385386e+09 	 1.263949e+22 	 9.409905e+07 	 1.018042e+39 	 6.654468e+38 	 3.297091e+22 	 2.576518e+09 	 3.333333e-01
