r (cm)        	 u (cm/s)    	 cs (cm/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau         	 lambda     
1.20035948e+06 	 1.241357e+01 	 3.095453e+08 	 1.740212e+04 	 1.545317e+09 	 1.604931e+22 	 2.494410e+07 	 1.371092e+39 	 8.961976e+38 	 4.566847e+22 	 1.074293e+09 	 3.333333e-01
1.20038784e+06 	 1.253480e+01 	 3.093314e+08 	 1.723290e+04 	 1.543182e+09 	 1.595151e+22 	 2.468571e+07 	 1.370999e+39 	 8.961481e+38 	 4.540244e+22 	 1.064811e+09 	 3.333333e-01
1.20041626e+06 	 1.265720e+01 	 3.091180e+08 	 1.706533e+04 	 1.541054e+09 	 1.585447e+22 	 2.443002e+07 	 1.370906e+39 	 8.960983e+38 	 4.513838e+22 	 1.055411e+09 	 3.333333e-01
1.20044473e+06 	 1.278080e+01 	 3.089051e+08 	 1.689939e+04 	 1.538931e+09 	 1.575819e+22 	 2.417700e+07 	 1.370812e+39 	 8.960483e+38 	 4.487628e+22 	 1.046093e+09 	 3.333333e-01
1.20047326e+06 	 1.290560e+01 	 3.086926e+08 	 1.673506e+04 	 1.536815e+09 	 1.566265e+22 	 2.392664e+07 	 1.370718e+39 	 8.959981e+38 	 4.461613e+22 	 1.036855e+09 	 3.333333e-01
1.20050185e+06 	 1.303162e+01 	 3.084806e+08 	 1.657233e+04 	 1.534705e+09 	 1.556786e+22 	 2.367889e+07 	 1.370623e+39 	 8.959476e+38 	 4.435791e+22 	 1.027697e+09 	 3.333333e-01
1.20053049e+06 	 1.315888e+01 	 3.082691e+08 	 1.641119e+04 	 1.532601e+09 	 1.547380e+22 	 2.343374e+07 	 1.370528e+39 	 8.958968e+38 	 4.410161e+22 	 1.018618e+09 	 3.333333e-01
1.20055919e+06 	 1.328737e+01 	 3.080580e+08 	 1.625161e+04 	 1.530502e+09 	 1.538047e+22 	 2.319116e+07 	 1.370433e+39 	 8.958457e+38 	 4.384720e+22 	 1.009618e+09 	 3.333333e-01
1.20058795e+06 	 1.341711e+01 	 3.078473e+08 	 1.609358e+04 	 1.528410e+09 	 1.528786e+22 	 2.295111e+07 	 1.370337e+39 	 8.957944e+38 	 4.359467e+22 	 1.000696e+09 	 3.333333e-01
1.20061677e+06 	 1.354812e+01 	 3.076371e+08 	 1.593709e+04 	 1.526324e+09 	 1.519597e+22 	 2.271357e+07 	 1.370241e+39 	 8.957429e+38 	 4.334401e+22 	 9.918520e+08 	 3.333333e-01
1.20064565e+06 	 1.368041e+01 	 3.074274e+08 	 1.578212e+04 	 1.524243e+09 	 1.510479e+22 	 2.247852e+07 	 1.370144e+39 	 8.956910e+38 	 4.309519e+22 	 9.830842e+08 	 3.333333e-01
