r (cm)        	 u (cm/s)    	 cs (cm/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20000003e+06 	 1.692212e+02 	 3.133322e+08 	 2.024597e+03 	 1.583358e+09 	 1.604931e+22 	 1.851461e+06 	 1.676104e+39 	 1.095391e+39 	 4.784979e+22 	 1.230038e+08
1.20019618e+06 	 1.706678e+02 	 3.131360e+08 	 2.006694e+03 	 1.581375e+09 	 1.596808e+22 	 1.834619e+06 	 1.674958e+39 	 1.094737e+39 	 4.760908e+22 	 1.220342e+08
1.20039344e+06 	 1.721264e+02 	 3.129395e+08 	 1.988949e+03 	 1.579392e+09 	 1.588712e+22 	 1.817932e+06 	 1.673809e+39 	 1.094081e+39 	 4.736920e+22 	 1.210724e+08
1.20059181e+06 	 1.735970e+02 	 3.127429e+08 	 1.971361e+03 	 1.577408e+09 	 1.580646e+22 	 1.801398e+06 	 1.672656e+39 	 1.093424e+39 	 4.713015e+22 	 1.201185e+08
1.20079132e+06 	 1.750799e+02 	 3.125461e+08 	 1.953929e+03 	 1.575423e+09 	 1.572607e+22 	 1.785017e+06 	 1.671500e+39 	 1.092764e+39 	 4.689192e+22 	 1.191723e+08
1.20099195e+06 	 1.765751e+02 	 3.123491e+08 	 1.936651e+03 	 1.573438e+09 	 1.564597e+22 	 1.768786e+06 	 1.670341e+39 	 1.092103e+39 	 4.665451e+22 	 1.182339e+08
1.20119373e+06 	 1.780827e+02 	 3.121518e+08 	 1.919525e+03 	 1.571451e+09 	 1.556616e+22 	 1.752705e+06 	 1.669179e+39 	 1.091440e+39 	 4.641792e+22 	 1.173030e+08
1.20139665e+06 	 1.796028e+02 	 3.119544e+08 	 1.902551e+03 	 1.569464e+09 	 1.548662e+22 	 1.736772e+06 	 1.668013e+39 	 1.090776e+39 	 4.618214e+22 	 1.163797e+08
1.20160071e+06 	 1.811355e+02 	 3.117568e+08 	 1.885727e+03 	 1.567476e+09 	 1.540737e+22 	 1.720985e+06 	 1.666845e+39 	 1.090109e+39 	 4.594719e+22 	 1.154640e+08
1.20180591e+06 	 1.826808e+02 	 3.115589e+08 	 1.869052e+03 	 1.565487e+09 	 1.532840e+22 	 1.705344e+06 	 1.665673e+39 	 1.089441e+39 	 4.571306e+22 	 1.145556e+08
