r (cm)        	 u (cm/s)    	 cs (cm/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.19999286e+06 	 6.085458e+02 	 3.136291e+08 	 7.952544e+02 	 1.586360e+09 	 1.604931e+22 	 5.153323e+05 	 1.710107e+39 	 1.117610e+39 	 4.803061e+22 	 4.825603e+07
1.20073403e+06 	 6.129295e+02 	 3.133186e+08 	 7.884633e+02 	 1.583220e+09 	 1.592244e+22 	 5.111402e+05 	 1.707690e+39 	 1.116395e+39 	 4.765123e+22 	 4.793446e+07
1.20147731e+06 	 6.173428e+02 	 3.130082e+08 	 7.817303e+02 	 1.580085e+09 	 1.579649e+22 	 5.069834e+05 	 1.705275e+39 	 1.115182e+39 	 4.727458e+22 	 4.761512e+07
1.20222274e+06 	 6.217861e+02 	 3.126979e+08 	 7.750548e+02 	 1.576954e+09 	 1.567144e+22 	 5.028616e+05 	 1.702863e+39 	 1.113970e+39 	 4.690063e+22 	 4.729799e+07
1.20297029e+06 	 6.262595e+02 	 3.123876e+08 	 7.684362e+02 	 1.573826e+09 	 1.554729e+22 	 4.987744e+05 	 1.700452e+39 	 1.112758e+39 	 4.652939e+22 	 4.698305e+07
1.20371999e+06 	 6.307631e+02 	 3.120775e+08 	 7.618742e+02 	 1.570703e+09 	 1.542404e+22 	 4.947216e+05 	 1.698044e+39 	 1.111548e+39 	 4.616081e+22 	 4.667029e+07
1.20447184e+06 	 6.352973e+02 	 3.117674e+08 	 7.553683e+02 	 1.567583e+09 	 1.530168e+22 	 4.907028e+05 	 1.695638e+39 	 1.110339e+39 	 4.579490e+22 	 4.635970e+07
1.20522585e+06 	 6.398621e+02 	 3.114574e+08 	 7.489178e+02 	 1.564467e+09 	 1.518020e+22 	 4.867178e+05 	 1.693235e+39 	 1.109131e+39 	 4.543162e+22 	 4.605126e+07
1.20598202e+06 	 6.444577e+02 	 3.111476e+08 	 7.425225e+02 	 1.561356e+09 	 1.505960e+22 	 4.827662e+05 	 1.690834e+39 	 1.107923e+39 	 4.507097e+22 	 4.574495e+07
1.20674034e+06 	 6.490845e+02 	 3.108377e+08 	 7.361818e+02 	 1.558248e+09 	 1.493987e+22 	 4.788478e+05 	 1.688435e+39 	 1.106717e+39 	 4.471292e+22 	 4.544075e+07
1.20750082e+06 	 6.537425e+02 	 3.105280e+08 	 7.298952e+02 	 1.555144e+09 	 1.482102e+22 	 4.749623e+05 	 1.686038e+39 	 1.105512e+39 	 4.435747e+22 	 4.513866e+07
1.20826343e+06 	 6.584320e+02 	 3.102184e+08 	 7.236623e+02 	 1.552045e+09 	 1.470302e+22 	 4.711094e+05 	 1.683644e+39 	 1.104308e+39 	 4.400461e+22 	 4.483865e+07
1.20902816e+06 	 6.631532e+02 	 3.099089e+08 	 7.174826e+02 	 1.548949e+09 	 1.458589e+22 	 4.672888e+05 	 1.681252e+39 	 1.103105e+39 	 4.365431e+22 	 4.454071e+07
1.20979503e+06 	 6.679062e+02 	 3.095994e+08 	 7.113557e+02 	 1.545857e+09 	 1.446961e+22 	 4.635002e+05 	 1.678862e+39 	 1.101903e+39 	 4.330656e+22 	 4.424482e+07
1.21056409e+06 	 6.726914e+02 	 3.092901e+08 	 7.052812e+02 	 1.542770e+09 	 1.435418e+22 	 4.597434e+05 	 1.676475e+39 	 1.100702e+39 	 4.296134e+22 	 4.395098e+07
1.21133530e+06 	 6.775088e+02 	 3.089808e+08 	 6.992585e+02 	 1.539686e+09 	 1.423959e+22 	 4.560180e+05 	 1.674090e+39 	 1.099503e+39 	 4.261863e+22 	 4.365916e+07
1.21210869e+06 	 6.823587e+02 	 3.086717e+08 	 6.932872e+02 	 1.536607e+09 	 1.412584e+22 	 4.523239e+05 	 1.671707e+39 	 1.098304e+39 	 4.227843e+22 	 4.336935e+07
1.21288425e+06 	 6.872412e+02 	 3.083626e+08 	 6.873669e+02 	 1.533531e+09 	 1.401292e+22 	 4.486608e+05 	 1.669327e+39 	 1.097106e+39 	 4.194071e+22 	 4.308155e+07
1.21366201e+06 	 6.921566e+02 	 3.080537e+08 	 6.814972e+02 	 1.530460e+09 	 1.390082e+22 	 4.450283e+05 	 1.666949e+39 	 1.095909e+39 	 4.160546e+22 	 4.279572e+07
1.21444196e+06 	 6.971051e+02 	 3.077448e+08 	 6.756776e+02 	 1.527392e+09 	 1.378955e+22 	 4.414262e+05 	 1.664574e+39 	 1.094714e+39 	 4.127265e+22 	 4.251186e+07
1.21522410e+06 	 7.020869e+02 	 3.074360e+08 	 6.699077e+02 	 1.524329e+09 	 1.367909e+22 	 4.378543e+05 	 1.662201e+39 	 1.093519e+39 	 4.094229e+22 	 4.222996e+07
1.21600842e+06 	 7.071022e+02 	 3.071273e+08 	 6.641871e+02 	 1.521269e+09 	 1.356944e+22 	 4.343123e+05 	 1.659830e+39 	 1.092326e+39 	 4.061434e+22 	 4.195000e+07
