r (cm)        	 u (cm/s)    	 cs (cm/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.19999965e+06 	 1.279015e+00 	 2.963202e+08 	 6.728498e+04 	 1.416092e+09 	 1.604931e+22 	 2.316614e+08 	 8.828272e+38 	 5.769576e+38 	 3.928594e+22 	 4.390388e+09
1.20001198e+06 	 1.292190e+00 	 2.959884e+08 	 6.659741e+04 	 1.412923e+09 	 1.588538e+22 	 2.290428e+08 	 8.828182e+38 	 5.769548e+38 	 3.890433e+22 	 4.351660e+09
1.20002430e+06 	 1.305500e+00 	 2.956572e+08 	 6.591688e+04 	 1.409763e+09 	 1.572322e+22 	 2.264539e+08 	 8.828091e+38 	 5.769520e+38 	 3.852666e+22 	 4.313266e+09
1.20003661e+06 	 1.318948e+00 	 2.953266e+08 	 6.524329e+04 	 1.406612e+09 	 1.556282e+22 	 2.238944e+08 	 8.828000e+38 	 5.769492e+38 	 3.815290e+22 	 4.275205e+09
1.20004891e+06 	 1.332534e+00 	 2.949965e+08 	 6.457659e+04 	 1.403469e+09 	 1.540415e+22 	 2.213640e+08 	 8.827909e+38 	 5.769464e+38 	 3.778299e+22 	 4.237474e+09
1.20006120e+06 	 1.346260e+00 	 2.946669e+08 	 6.391670e+04 	 1.400335e+09 	 1.524720e+22 	 2.188623e+08 	 8.827818e+38 	 5.769436e+38 	 3.741690e+22 	 4.200069e+09
1.20007349e+06 	 1.360128e+00 	 2.943379e+08 	 6.326356e+04 	 1.397210e+09 	 1.509195e+22 	 2.163890e+08 	 8.827727e+38 	 5.769408e+38 	 3.705460e+22 	 4.162988e+09
1.20008577e+06 	 1.374138e+00 	 2.940095e+08 	 6.261708e+04 	 1.394093e+09 	 1.493837e+22 	 2.139438e+08 	 8.827636e+38 	 5.769380e+38 	 3.669604e+22 	 4.126228e+09
1.20009805e+06 	 1.388293e+00 	 2.936816e+08 	 6.197722e+04 	 1.390985e+09 	 1.478646e+22 	 2.115263e+08 	 8.827545e+38 	 5.769352e+38 	 3.634118e+22 	 4.089787e+09
1.20011031e+06 	 1.402593e+00 	 2.933542e+08 	 6.134389e+04 	 1.387886e+09 	 1.463619e+22 	 2.091363e+08 	 8.827454e+38 	 5.769323e+38 	 3.598998e+22 	 4.053661e+09
1.20012258e+06 	 1.417041e+00 	 2.930274e+08 	 6.071704e+04 	 1.384795e+09 	 1.448754e+22 	 2.067734e+08 	 8.827363e+38 	 5.769295e+38 	 3.564240e+22 	 4.017848e+09
1.20013483e+06 	 1.431638e+00 	 2.927011e+08 	 6.009659e+04 	 1.381713e+09 	 1.434049e+22 	 2.044373e+08 	 8.827271e+38 	 5.769267e+38 	 3.529840e+22 	 3.982346e+09
1.20014708e+06 	 1.446385e+00 	 2.923754e+08 	 5.948248e+04 	 1.378640e+09 	 1.419503e+22 	 2.021278e+08 	 8.827180e+38 	 5.769238e+38 	 3.495793e+22 	 3.947152e+09
1.20015932e+06 	 1.461284e+00 	 2.920502e+08 	 5.887465e+04 	 1.375575e+09 	 1.405113e+22 	 1.998444e+08 	 8.827089e+38 	 5.769210e+38 	 3.462097e+22 	 3.912263e+09
1.20017155e+06 	 1.476336e+00 	 2.917256e+08 	 5.827302e+04 	 1.372518e+09 	 1.390879e+22 	 1.975870e+08 	 8.826998e+38 	 5.769181e+38 	 3.428748e+22 	 3.877676e+09
