r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20012270e+01 	 1.589137e-04 	 2.585671e+03 	 1.525919e+04 	 1.561589e+09 	 1.601729e+22 	 1.627784e+07 	 1.468712e+39 	 9.599055e+38 	 4.653929e+22 	 9.367188e+08
1.20015490e+01 	 1.607715e-04 	 2.583854e+03 	 1.508195e+04 	 1.559395e+09 	 1.591991e+22 	 1.607835e+07 	 1.468559e+39 	 9.598192e+38 	 4.626668e+22 	 9.266875e+08
1.20018721e+01 	 1.626509e-04 	 2.582041e+03 	 1.490677e+04 	 1.557208e+09 	 1.582332e+22 	 1.588132e+07 	 1.468405e+39 	 9.597324e+38 	 4.599621e+22 	 9.167620e+08
1.20021963e+01 	 1.645522e-04 	 2.580233e+03 	 1.473363e+04 	 1.555028e+09 	 1.572754e+22 	 1.568673e+07 	 1.468251e+39 	 9.596450e+38 	 4.572788e+22 	 9.069412e+08
1.20025216e+01 	 1.664758e-04 	 2.578430e+03 	 1.456249e+04 	 1.552856e+09 	 1.563253e+22 	 1.549456e+07 	 1.468095e+39 	 9.595569e+38 	 4.546166e+22 	 8.972240e+08
1.20028481e+01 	 1.684218e-04 	 2.576631e+03 	 1.439335e+04 	 1.550690e+09 	 1.553831e+22 	 1.530476e+07 	 1.467938e+39 	 9.594682e+38 	 4.519752e+22 	 8.876094e+08
1.20031758e+01 	 1.703905e-04 	 2.574837e+03 	 1.422617e+04 	 1.548531e+09 	 1.544485e+22 	 1.511731e+07 	 1.467780e+39 	 9.593789e+38 	 4.493545e+22 	 8.780963e+08
1.20035046e+01 	 1.723822e-04 	 2.573048e+03 	 1.406093e+04 	 1.546379e+09 	 1.535216e+22 	 1.493218e+07 	 1.467621e+39 	 9.592890e+38 	 4.467543e+22 	 8.686836e+08
1.20038346e+01 	 1.743971e-04 	 2.571263e+03 	 1.389761e+04 	 1.544234e+09 	 1.526022e+22 	 1.474934e+07 	 1.467461e+39 	 9.591985e+38 	 4.441742e+22 	 8.593703e+08
1.20041658e+01 	 1.764355e-04 	 2.569482e+03 	 1.373618e+04 	 1.542096e+09 	 1.516902e+22 	 1.456876e+07 	 1.467300e+39 	 9.591073e+38 	 4.416143e+22 	 8.501554e+08
1.20044981e+01 	 1.784977e-04 	 2.567706e+03 	 1.357664e+04 	 1.539965e+09 	 1.507857e+22 	 1.439041e+07 	 1.467138e+39 	 9.590154e+38 	 4.390742e+22 	 8.410379e+08
1.20048317e+01 	 1.805840e-04 	 2.565934e+03 	 1.341894e+04 	 1.537841e+09 	 1.498884e+22 	 1.421427e+07 	 1.466975e+39 	 9.589230e+38 	 4.365538e+22 	 8.320168e+08
1.20051664e+01 	 1.826946e-04 	 2.564167e+03 	 1.326308e+04 	 1.535724e+09 	 1.489984e+22 	 1.404031e+07 	 1.466811e+39 	 9.588298e+38 	 4.340529e+22 	 8.230909e+08
1.20055025e+01 	 1.848299e-04 	 2.562404e+03 	 1.310902e+04 	 1.533613e+09 	 1.481156e+22 	 1.386850e+07 	 1.466646e+39 	 9.587361e+38 	 4.315712e+22 	 8.142595e+08
