r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20039943e+01 	 1.479831e-06 	 2.378896e+03 	 1.459667e+05 	 1.321817e+09 	 1.604844e+22 	 1.626980e+09 	 6.322639e+38 	 4.132789e+38 	 3.626853e+22 	 1.015169e+10
1.20040680e+01 	 1.497385e-06 	 2.375425e+03 	 1.442536e+05 	 1.317962e+09 	 1.583619e+22 	 1.605394e+09 	 6.322614e+38 	 4.132787e+38 	 3.580178e+22 	 1.004995e+10
1.20041416e+01 	 1.515147e-06 	 2.371960e+03 	 1.425605e+05 	 1.314120e+09 	 1.562681e+22 	 1.584095e+09 	 6.322590e+38 	 4.132784e+38 	 3.534125e+22 	 9.949216e+09
1.20042151e+01 	 1.533120e-06 	 2.368501e+03 	 1.408874e+05 	 1.310291e+09 	 1.542028e+22 	 1.563082e+09 	 6.322565e+38 	 4.132781e+38 	 3.488686e+22 	 9.849476e+09
1.20042884e+01 	 1.551305e-06 	 2.365048e+03 	 1.392338e+05 	 1.306473e+09 	 1.521655e+22 	 1.542348e+09 	 6.322541e+38 	 4.132779e+38 	 3.443853e+22 	 9.750721e+09
1.20043615e+01 	 1.569707e-06 	 2.361601e+03 	 1.375997e+05 	 1.302668e+09 	 1.501559e+22 	 1.521891e+09 	 6.322517e+38 	 4.132776e+38 	 3.399617e+22 	 9.652942e+09
1.20044346e+01 	 1.588327e-06 	 2.358160e+03 	 1.359848e+05 	 1.298874e+09 	 1.481735e+22 	 1.501708e+09 	 6.322492e+38 	 4.132774e+38 	 3.355971e+22 	 9.556127e+09
1.20045075e+01 	 1.607168e-06 	 2.354725e+03 	 1.343888e+05 	 1.295093e+09 	 1.462180e+22 	 1.481794e+09 	 6.322468e+38 	 4.132771e+38 	 3.312906e+22 	 9.460269e+09
1.20045802e+01 	 1.626232e-06 	 2.351296e+03 	 1.328115e+05 	 1.291324e+09 	 1.442889e+22 	 1.462145e+09 	 6.322444e+38 	 4.132768e+38 	 3.270413e+22 	 9.365358e+09
1.20046529e+01 	 1.645522e-06 	 2.347873e+03 	 1.312527e+05 	 1.287566e+09 	 1.423860e+22 	 1.442759e+09 	 6.322419e+38 	 4.132766e+38 	 3.228486e+22 	 9.271384e+09
1.20047254e+01 	 1.665042e-06 	 2.344456e+03 	 1.297123e+05 	 1.283821e+09 	 1.405089e+22 	 1.423631e+09 	 6.322395e+38 	 4.132763e+38 	 3.187116e+22 	 9.178339e+09
1.20047978e+01 	 1.684793e-06 	 2.341044e+03 	 1.281899e+05 	 1.280088e+09 	 1.386572e+22 	 1.404759e+09 	 6.322371e+38 	 4.132761e+38 	 3.146296e+22 	 9.086213e+09
1.20048700e+01 	 1.704778e-06 	 2.337639e+03 	 1.266854e+05 	 1.276366e+09 	 1.368306e+22 	 1.386138e+09 	 6.322347e+38 	 4.132758e+38 	 3.106017e+22 	 8.994999e+09
1.20049421e+01 	 1.725000e-06 	 2.334239e+03 	 1.251985e+05 	 1.272656e+09 	 1.350286e+22 	 1.367765e+09 	 6.322323e+38 	 4.132755e+38 	 3.066273e+22 	 8.904685e+09
1.20050141e+01 	 1.745463e-06 	 2.330845e+03 	 1.237291e+05 	 1.268958e+09 	 1.332510e+22 	 1.349638e+09 	 6.322299e+38 	 4.132753e+38 	 3.027056e+22 	 8.815265e+09
1.20050860e+01 	 1.766168e-06 	 2.327457e+03 	 1.222770e+05 	 1.265272e+09 	 1.314975e+22 	 1.331752e+09 	 6.322275e+38 	 4.132750e+38 	 2.988359e+22 	 8.726729e+09
1.20051577e+01 	 1.787119e-06 	 2.324075e+03 	 1.208419e+05 	 1.261597e+09 	 1.297676e+22 	 1.314105e+09 	 6.322251e+38 	 4.132748e+38 	 2.950175e+22 	 8.639069e+09
1.20052293e+01 	 1.808318e-06 	 2.320699e+03 	 1.194236e+05 	 1.257934e+09 	 1.280612e+22 	 1.296693e+09 	 6.322227e+38 	 4.132745e+38 	 2.912497e+22 	 8.552275e+09
1.20053008e+01 	 1.829769e-06 	 2.317328e+03 	 1.180220e+05 	 1.254283e+09 	 1.263777e+22 	 1.279513e+09 	 6.322203e+38 	 4.132743e+38 	 2.875317e+22 	 8.466341e+09
1.20053721e+01 	 1.851474e-06 	 2.313964e+03 	 1.166368e+05 	 1.250643e+09 	 1.247171e+22 	 1.262562e+09 	 6.322179e+38 	 4.132740e+38 	 2.838630e+22 	 8.381256e+09
