r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20021870e+01 	 8.005474e-03 	 2.606066e+03 	 6.779961e+02 	 1.586321e+09 	 1.601559e+22 	 3.255195e+05 	 1.715085e+39 	 1.120975e+39 	 4.797781e+22 	 4.115140e+07
1.20151781e+01 	 8.082617e-03 	 2.602149e+03 	 6.698818e+02 	 1.581556e+09 	 1.582389e+22 	 3.219281e+05 	 1.711307e+39 	 1.119147e+39 	 4.740374e+22 	 4.078163e+07
1.20282128e+01 	 8.160462e-03 	 2.598235e+03 	 6.618647e+02 	 1.576803e+09 	 1.563436e+22 	 3.183776e+05 	 1.707537e+39 	 1.117322e+39 	 4.683616e+22 	 4.041528e+07
1.20412912e+01 	 8.239015e-03 	 2.594325e+03 	 6.539435e+02 	 1.572060e+09 	 1.544698e+22 	 3.148675e+05 	 1.703776e+39 	 1.115500e+39 	 4.627503e+22 	 4.005232e+07
1.20544132e+01 	 8.318282e-03 	 2.590418e+03 	 6.461171e+02 	 1.567329e+09 	 1.526173e+22 	 3.113974e+05 	 1.700022e+39 	 1.113681e+39 	 4.572026e+22 	 3.969272e+07
1.20675791e+01 	 8.398269e-03 	 2.586515e+03 	 6.383843e+02 	 1.562609e+09 	 1.507859e+22 	 3.079669e+05 	 1.696276e+39 	 1.111865e+39 	 4.517179e+22 	 3.933644e+07
1.20807890e+01 	 8.478982e-03 	 2.582614e+03 	 6.307441e+02 	 1.557900e+09 	 1.489753e+22 	 3.045754e+05 	 1.692538e+39 	 1.110053e+39 	 4.462957e+22 	 3.898345e+07
1.20940432e+01 	 8.560427e-03 	 2.578718e+03 	 6.231954e+02 	 1.553202e+09 	 1.471853e+22 	 3.012224e+05 	 1.688808e+39 	 1.108243e+39 	 4.409352e+22 	 3.863372e+07
1.21073416e+01 	 8.642611e-03 	 2.574825e+03 	 6.157369e+02 	 1.548516e+09 	 1.454157e+22 	 2.979076e+05 	 1.685085e+39 	 1.106437e+39 	 4.356358e+22 	 3.828722e+07
1.21206851e+01 	 8.725538e-03 	 2.570935e+03 	 6.083678e+02 	 1.543841e+09 	 1.436664e+22 	 2.946306e+05 	 1.681370e+39 	 1.104633e+39 	 4.303967e+22 	 3.794392e+07
1.21340737e+01 	 8.809216e-03 	 2.567048e+03 	 6.010868e+02 	 1.539177e+09 	 1.419369e+22 	 2.913908e+05 	 1.677664e+39 	 1.102833e+39 	 4.252174e+22 	 3.760379e+07
1.21475069e+01 	 8.893651e-03 	 2.563165e+03 	 5.938930e+02 	 1.534524e+09 	 1.402272e+22 	 2.881878e+05 	 1.673965e+39 	 1.101036e+39 	 4.200972e+22 	 3.726680e+07
1.21609855e+01 	 8.978848e-03 	 2.559286e+03 	 5.867853e+02 	 1.529882e+09 	 1.385371e+22 	 2.850213e+05 	 1.670274e+39 	 1.099241e+39 	 4.150354e+22 	 3.693292e+07
1.21745102e+01 	 9.064814e-03 	 2.555409e+03 	 5.797626e+02 	 1.525251e+09 	 1.368662e+22 	 2.818907e+05 	 1.666590e+39 	 1.097450e+39 	 4.100314e+22 	 3.660212e+07
1.21880807e+01 	 9.151555e-03 	 2.551536e+03 	 5.728240e+02 	 1.520631e+09 	 1.352144e+22 	 2.787957e+05 	 1.662915e+39 	 1.095663e+39 	 4.050846e+22 	 3.627437e+07
1.22016965e+01 	 9.239079e-03 	 2.547667e+03 	 5.659685e+02 	 1.516023e+09 	 1.335816e+22 	 2.757359e+05 	 1.659248e+39 	 1.093878e+39 	 4.001944e+22 	 3.594965e+07
1.22153578e+01 	 9.327393e-03 	 2.543801e+03 	 5.591949e+02 	 1.511425e+09 	 1.319675e+22 	 2.727107e+05 	 1.655588e+39 	 1.092096e+39 	 3.953603e+22 	 3.562791e+07
