r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20004405e+01 	 1.692017e-05 	 2.500394e+03 	 7.183776e+04 	 1.460284e+09 	 1.597515e+22 	 1.483741e+08 	 1.019393e+39 	 6.662211e+38 	 4.138679e+22 	 4.631727e+09
1.20005584e+01 	 1.711548e-05 	 2.497512e+03 	 7.101640e+04 	 1.456919e+09 	 1.580784e+22 	 1.465058e+08 	 1.019380e+39 	 6.662162e+38 	 4.097312e+22 	 4.585307e+09
1.20006763e+01 	 1.731305e-05 	 2.494635e+03 	 7.020444e+04 	 1.453565e+09 	 1.564246e+22 	 1.446613e+08 	 1.019368e+39 	 6.662114e+38 	 4.056405e+22 	 4.539342e+09
1.20007942e+01 	 1.751289e-05 	 2.491764e+03 	 6.940176e+04 	 1.450221e+09 	 1.547899e+22 	 1.428403e+08 	 1.019355e+39 	 6.662064e+38 	 4.015954e+22 	 4.493829e+09
1.20009120e+01 	 1.771505e-05 	 2.488900e+03 	 6.860826e+04 	 1.446889e+09 	 1.531741e+22 	 1.410424e+08 	 1.019342e+39 	 6.662015e+38 	 3.975953e+22 	 4.448763e+09
1.20010299e+01 	 1.791954e-05 	 2.486042e+03 	 6.782383e+04 	 1.443568e+09 	 1.515769e+22 	 1.392673e+08 	 1.019329e+39 	 6.661966e+38 	 3.936397e+22 	 4.404140e+09
1.20011477e+01 	 1.812639e-05 	 2.483190e+03 	 6.704837e+04 	 1.440258e+09 	 1.499982e+22 	 1.375148e+08 	 1.019316e+39 	 6.661916e+38 	 3.897281e+22 	 4.359955e+09
1.20012656e+01 	 1.833562e-05 	 2.480345e+03 	 6.628177e+04 	 1.436959e+09 	 1.484378e+22 	 1.357845e+08 	 1.019303e+39 	 6.661866e+38 	 3.858599e+22 	 4.316204e+09
1.20013834e+01 	 1.854727e-05 	 2.477505e+03 	 6.552394e+04 	 1.433671e+09 	 1.468952e+22 	 1.340762e+08 	 1.019290e+39 	 6.661816e+38 	 3.820346e+22 	 4.272883e+09
1.20015012e+01 	 1.876137e-05 	 2.474672e+03 	 6.477478e+04 	 1.430394e+09 	 1.453705e+22 	 1.323897e+08 	 1.019277e+39 	 6.661766e+38 	 3.782518e+22 	 4.229988e+09
1.20016190e+01 	 1.897794e-05 	 2.471845e+03 	 6.403418e+04 	 1.427127e+09 	 1.438633e+22 	 1.307245e+08 	 1.019264e+39 	 6.661716e+38 	 3.745109e+22 	 4.187515e+09
1.20017368e+01 	 1.919700e-05 	 2.469024e+03 	 6.330205e+04 	 1.423872e+09 	 1.423735e+22 	 1.290805e+08 	 1.019251e+39 	 6.661666e+38 	 3.708114e+22 	 4.145460e+09
1.20018546e+01 	 1.941860e-05 	 2.466209e+03 	 6.257829e+04 	 1.420627e+09 	 1.409007e+22 	 1.274573e+08 	 1.019238e+39 	 6.661615e+38 	 3.671528e+22 	 4.103818e+09
1.20019724e+01 	 1.964275e-05 	 2.463400e+03 	 6.186280e+04 	 1.417393e+09 	 1.394449e+22 	 1.258547e+08 	 1.019225e+39 	 6.661564e+38 	 3.635347e+22 	 4.062585e+09
1.20020902e+01 	 1.986949e-05 	 2.460598e+03 	 6.115549e+04 	 1.414170e+09 	 1.380058e+22 	 1.242725e+08 	 1.019212e+39 	 6.661514e+38 	 3.599565e+22 	 4.021759e+09
1.20022080e+01 	 2.009885e-05 	 2.457802e+03 	 6.045627e+04 	 1.410958e+09 	 1.365832e+22 	 1.227104e+08 	 1.019199e+39 	 6.661463e+38 	 3.564179e+22 	 3.981334e+09
1.20023258e+01 	 2.033085e-05 	 2.455012e+03 	 5.976505e+04 	 1.407756e+09 	 1.351769e+22 	 1.211681e+08 	 1.019186e+39 	 6.661411e+38 	 3.529183e+22 	 3.941307e+09
1.20024436e+01 	 2.056554e-05 	 2.452228e+03 	 5.908173e+04 	 1.404565e+09 	 1.337868e+22 	 1.196453e+08 	 1.019173e+39 	 6.661360e+38 	 3.494572e+22 	 3.901675e+09
1.20025614e+01 	 2.080293e-05 	 2.449450e+03 	 5.840622e+04 	 1.401385e+09 	 1.324125e+22 	 1.181419e+08 	 1.019159e+39 	 6.661308e+38 	 3.460343e+22 	 3.862432e+09
1.20026792e+01 	 2.104306e-05 	 2.446678e+03 	 5.773844e+04 	 1.398215e+09 	 1.310539e+22 	 1.166575e+08 	 1.019146e+39 	 6.661257e+38 	 3.426490e+22 	 3.823576e+09
1.20027970e+01 	 2.128596e-05 	 2.443912e+03 	 5.707829e+04 	 1.395056e+09 	 1.297109e+22 	 1.151920e+08 	 1.019133e+39 	 6.661205e+38 	 3.393009e+22 	 3.785103e+09
1.20029148e+01 	 2.153167e-05 	 2.441153e+03 	 5.642568e+04 	 1.391907e+09 	 1.283832e+22 	 1.137451e+08 	 1.019120e+39 	 6.661153e+38 	 3.359897e+22 	 3.747009e+09
