r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20011050e+01 	 4.606273e-06 	 2.423456e+03 	 1.178564e+05 	 1.371800e+09 	 1.590576e+22 	 5.306491e+08 	 7.604439e+38 	 4.970003e+38 	 3.772749e+22 	 7.962439e+09
1.20011885e+01 	 4.659460e-06 	 2.420194e+03 	 1.165093e+05 	 1.368110e+09 	 1.571128e+22 	 5.238456e+08 	 7.604397e+38 	 4.969994e+38 	 3.728212e+22 	 7.884218e+09
1.20012720e+01 	 4.713261e-06 	 2.416938e+03 	 1.151775e+05 	 1.364431e+09 	 1.551929e+22 	 5.171300e+08 	 7.604355e+38 	 4.969985e+38 	 3.684228e+22 	 7.806752e+09
1.20013554e+01 	 4.767683e-06 	 2.413688e+03 	 1.138610e+05 	 1.360763e+09 	 1.532974e+22 	 5.105010e+08 	 7.604313e+38 	 4.969976e+38 	 3.640790e+22 	 7.730035e+09
1.20014386e+01 	 4.822734e-06 	 2.410443e+03 	 1.125595e+05 	 1.357107e+09 	 1.514260e+22 	 5.039576e+08 	 7.604271e+38 	 4.969966e+38 	 3.597891e+22 	 7.654059e+09
1.20015218e+01 	 4.878420e-06 	 2.407204e+03 	 1.112729e+05 	 1.353463e+09 	 1.495784e+22 	 4.974987e+08 	 7.604229e+38 	 4.969957e+38 	 3.555523e+22 	 7.578817e+09
1.20016048e+01 	 4.934749e-06 	 2.403971e+03 	 1.100011e+05 	 1.349829e+09 	 1.477542e+22 	 4.911231e+08 	 7.604187e+38 	 4.969948e+38 	 3.513679e+22 	 7.504303e+09
1.20016877e+01 	 4.991729e-06 	 2.400744e+03 	 1.087437e+05 	 1.346207e+09 	 1.459533e+22 	 4.848297e+08 	 7.604145e+38 	 4.969939e+38 	 3.472354e+22 	 7.430510e+09
1.20017705e+01 	 5.049367e-06 	 2.397522e+03 	 1.075007e+05 	 1.342597e+09 	 1.441752e+22 	 4.786176e+08 	 7.604103e+38 	 4.969930e+38 	 3.431540e+22 	 7.357430e+09
1.20018533e+01 	 5.107671e-06 	 2.394306e+03 	 1.062720e+05 	 1.338997e+09 	 1.424198e+22 	 4.724856e+08 	 7.604061e+38 	 4.969920e+38 	 3.391231e+22 	 7.285056e+09
