r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.19909166e+01 	 8.924124e-07 	 2.365908e+03 	 1.530992e+05 	 1.307423e+09 	 1.603908e+22 	 2.685876e+09 	 6.009027e+38 	 3.925527e+38 	 3.580509e+22 	 1.072659e+10
1.19909893e+01 	 9.032707e-07 	 2.362327e+03 	 1.512567e+05 	 1.303468e+09 	 1.581915e+22 	 2.649268e+09 	 6.009006e+38 	 3.925526e+38 	 3.532636e+22 	 1.061649e+10
1.19910618e+01 	 9.142610e-07 	 2.358751e+03 	 1.494364e+05 	 1.299525e+09 	 1.560231e+22 	 2.613163e+09 	 6.008984e+38 	 3.925524e+38 	 3.485426e+22 	 1.050751e+10
1.19911341e+01 	 9.253851e-07 	 2.355183e+03 	 1.476380e+05 	 1.295596e+09 	 1.538851e+22 	 2.577553e+09 	 6.008962e+38 	 3.925523e+38 	 3.438868e+22 	 1.039963e+10
1.19912063e+01 	 9.366446e-07 	 2.351620e+03 	 1.458612e+05 	 1.291679e+09 	 1.517771e+22 	 2.542431e+09 	 6.008941e+38 	 3.925521e+38 	 3.392953e+22 	 1.029285e+10
1.19912783e+01 	 9.480410e-07 	 2.348063e+03 	 1.441059e+05 	 1.287775e+09 	 1.496987e+22 	 2.507791e+09 	 6.008919e+38 	 3.925520e+38 	 3.347673e+22 	 1.018714e+10
1.19913503e+01 	 9.595762e-07 	 2.344513e+03 	 1.423716e+05 	 1.283884e+09 	 1.476494e+22 	 2.473626e+09 	 6.008898e+38 	 3.925518e+38 	 3.303018e+22 	 1.008250e+10
1.19914220e+01 	 9.712518e-07 	 2.340969e+03 	 1.406582e+05 	 1.280006e+09 	 1.456289e+22 	 2.439929e+09 	 6.008876e+38 	 3.925517e+38 	 3.258978e+22 	 9.978918e+09
1.19914936e+01 	 9.830694e-07 	 2.337432e+03 	 1.389655e+05 	 1.276140e+09 	 1.436367e+22 	 2.406694e+09 	 6.008855e+38 	 3.925515e+38 	 3.215546e+22 	 9.876386e+09
1.19915651e+01 	 9.950309e-07 	 2.333900e+03 	 1.372931e+05 	 1.272287e+09 	 1.416724e+22 	 2.373914e+09 	 6.008834e+38 	 3.925514e+38 	 3.172713e+22 	 9.774892e+09
1.19916364e+01 	 1.007138e-06 	 2.330375e+03 	 1.356408e+05 	 1.268446e+09 	 1.397356e+22 	 2.341584e+09 	 6.008812e+38 	 3.925512e+38 	 3.130470e+22 	 9.674425e+09
1.19917076e+01 	 1.019392e-06 	 2.326856e+03 	 1.340085e+05 	 1.264618e+09 	 1.378259e+22 	 2.309696e+09 	 6.008791e+38 	 3.925510e+38 	 3.088808e+22 	 9.574974e+09
1.19917787e+01 	 1.031796e-06 	 2.323343e+03 	 1.323957e+05 	 1.260802e+09 	 1.359429e+22 	 2.278246e+09 	 6.008770e+38 	 3.925509e+38 	 3.047719e+22 	 9.476531e+09
1.19918496e+01 	 1.044350e-06 	 2.319836e+03 	 1.308024e+05 	 1.256999e+09 	 1.340863e+22 	 2.247226e+09 	 6.008749e+38 	 3.925507e+38 	 3.007196e+22 	 9.379085e+09
1.19919204e+01 	 1.057058e-06 	 2.316335e+03 	 1.292283e+05 	 1.253208e+09 	 1.322557e+22 	 2.216632e+09 	 6.008728e+38 	 3.925506e+38 	 2.967229e+22 	 9.282626e+09
1.19919910e+01 	 1.069919e-06 	 2.312840e+03 	 1.276731e+05 	 1.249429e+09 	 1.304507e+22 	 2.186456e+09 	 6.008706e+38 	 3.925504e+38 	 2.927812e+22 	 9.187143e+09
1.19920615e+01 	 1.082938e-06 	 2.309352e+03 	 1.261366e+05 	 1.245663e+09 	 1.286708e+22 	 2.156693e+09 	 6.008685e+38 	 3.925503e+38 	 2.888937e+22 	 9.092629e+09
1.19921319e+01 	 1.096115e-06 	 2.305870e+03 	 1.246186e+05 	 1.241909e+09 	 1.269159e+22 	 2.127339e+09 	 6.008664e+38 	 3.925501e+38 	 2.850595e+22 	 8.999071e+09
1.19922021e+01 	 1.109452e-06 	 2.302393e+03 	 1.231188e+05 	 1.238168e+09 	 1.251855e+22 	 2.098386e+09 	 6.008643e+38 	 3.925500e+38 	 2.812778e+22 	 8.906462e+09
1.19922722e+01 	 1.122951e-06 	 2.298923e+03 	 1.216372e+05 	 1.234438e+09 	 1.234792e+22 	 2.069829e+09 	 6.008622e+38 	 3.925498e+38 	 2.775481e+22 	 8.814792e+09
1.19923422e+01 	 1.136615e-06 	 2.295459e+03 	 1.201733e+05 	 1.230720e+09 	 1.217968e+22 	 2.041664e+09 	 6.008601e+38 	 3.925497e+38 	 2.738694e+22 	 8.724051e+09
1.19924120e+01 	 1.150445e-06 	 2.292001e+03 	 1.187271e+05 	 1.227015e+09 	 1.201379e+22 	 2.013883e+09 	 6.008580e+38 	 3.925495e+38 	 2.702412e+22 	 8.634230e+09
