r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20006556e+01 	 1.010339e-06 	 2.368301e+03 	 1.514511e+05 	 1.310069e+09 	 1.602119e+22 	 2.374252e+09 	 6.072471e+38 	 3.968682e+38 	 3.585712e+22 	 1.060258e+10
1.20007285e+01 	 1.022545e-06 	 2.364749e+03 	 1.496412e+05 	 1.306143e+09 	 1.580354e+22 	 2.342131e+09 	 6.072449e+38 	 3.968680e+38 	 3.538234e+22 	 1.049449e+10
1.20008011e+01 	 1.034898e-06 	 2.361204e+03 	 1.478530e+05 	 1.302229e+09 	 1.558891e+22 	 2.310447e+09 	 6.072427e+38 	 3.968678e+38 	 3.491406e+22 	 1.038749e+10
1.20008736e+01 	 1.047401e-06 	 2.357665e+03 	 1.460861e+05 	 1.298329e+09 	 1.537727e+22 	 2.279194e+09 	 6.072405e+38 	 3.968677e+38 	 3.445220e+22 	 1.028156e+10
1.20009460e+01 	 1.060055e-06 	 2.354132e+03 	 1.443403e+05 	 1.294441e+09 	 1.516857e+22 	 2.248367e+09 	 6.072382e+38 	 3.968675e+38 	 3.399666e+22 	 1.017670e+10
1.20010183e+01 	 1.072861e-06 	 2.350606e+03 	 1.426154e+05 	 1.290565e+09 	 1.496278e+22 	 2.217960e+09 	 6.072360e+38 	 3.968673e+38 	 3.354735e+22 	 1.007289e+10
1.20010903e+01 	 1.085822e-06 	 2.347085e+03 	 1.409111e+05 	 1.286702e+09 	 1.475985e+22 	 2.187966e+09 	 6.072338e+38 	 3.968672e+38 	 3.310419e+22 	 9.970121e+09
1.20011623e+01 	 1.098940e-06 	 2.343571e+03 	 1.392272e+05 	 1.282852e+09 	 1.455973e+22 	 2.158380e+09 	 6.072316e+38 	 3.968670e+38 	 3.266709e+22 	 9.868387e+09
1.20012341e+01 	 1.112217e-06 	 2.340063e+03 	 1.375634e+05 	 1.279014e+09 	 1.436240e+22 	 2.129197e+09 	 6.072295e+38 	 3.968668e+38 	 3.223595e+22 	 9.767676e+09
1.20013058e+01 	 1.125654e-06 	 2.336560e+03 	 1.359195e+05 	 1.275189e+09 	 1.416780e+22 	 2.100411e+09 	 6.072273e+38 	 3.968666e+38 	 3.181070e+22 	 9.667977e+09
1.20013773e+01 	 1.139253e-06 	 2.333064e+03 	 1.342952e+05 	 1.271375e+09 	 1.397591e+22 	 2.072016e+09 	 6.072251e+38 	 3.968665e+38 	 3.139126e+22 	 9.569280e+09
