logMdot (g/s) 	 Tb (K)      	 rhob (g/cm3) 	 Pb (dyne/cm2) 	 Lb (erg/s)  	 Lb* (erg/s) 	 Rph (cm)    	 Tph (K)     	 rhoph (g/cm3) 	 Lph (erg/s) 	 Lph* (erg/s) 	 rs (cm)     	 tflow (s)   	 tsound (s)  	 tsound2 (s) 	 Tau (s)    
18.15 		 1.200066e+11 	 1.426438e+09 	 1.588285e+22 	 9.230577e+38 	 6.032672e+38 	 4.336797e+12 	 4.047722e+06 	 3.516690e-07 	 3.597724e+38 	 3.563465e+38 	 7.045023e+06 	 8.361451e+02 	 8.361451e+02 	 1.994989e-01 	 4.294295e-01
18.20 		 1.200041e+11 	 1.443630e+09 	 1.601645e+22 	 9.681678e+38 	 6.327421e+38 	 4.774945e+12 	 3.856610e+06 	 3.192662e-07 	 3.594028e+38 	 3.562974e+38 	 7.575838e+06 	 7.532009e+02 	 7.532009e+02 	 2.171920e-01 	 4.709286e-01
18.25 		 1.199968e+11 	 1.459584e+09 	 1.603678e+22 	 1.018686e+39 	 6.657363e+38 	 5.292199e+12 	 3.662379e+06 	 2.876425e-07 	 3.590387e+38 	 3.562427e+38 	 8.192649e+06 	 6.743425e+02 	 6.743425e+02 	 2.382144e-01 	 5.214564e-01
18.30 		 1.199961e+11 	 1.475621e+09 	 1.601776e+22 	 1.075110e+39 	 7.026089e+38 	 5.885638e+12 	 3.471956e+06 	 2.587008e-07 	 3.587048e+38 	 3.561959e+38 	 8.908560e+06 	 6.034455e+02 	 6.034455e+02 	 2.631725e-01 	 5.817483e-01
18.35 		 1.200006e+11 	 1.490282e+09 	 1.589746e+22 	 1.138064e+39 	 7.437655e+38 	 6.588318e+12 	 3.280895e+06 	 2.309528e-07 	 3.583810e+38 	 3.561446e+38 	 9.740913e+06 	 5.381401e+02 	 5.381401e+02 	 2.928766e-01 	 6.551477e-01
18.40 		 1.200124e+11 	 1.508968e+09 	 1.595338e+22 	 1.208124e+39 	 7.895937e+38 	 7.421742e+12 	 3.090519e+06 	 2.046784e-07 	 3.580703e+38 	 3.560895e+38 	 1.070930e+07 	 4.871290e+02 	 4.871290e+02 	 3.282831e-01 	 7.445988e-01
18.45 		 1.200063e+11 	 1.528481e+09 	 1.604598e+22 	 1.286025e+39 	 8.404850e+38 	 8.387885e+12 	 2.906504e+06 	 1.811169e-07 	 3.577936e+38 	 3.560448e+38 	 1.183556e+07 	 4.441013e+02 	 4.441013e+02 	 3.705071e-01 	 8.522552e-01
18.50 		 1.199951e+11 	 1.544244e+09 	 1.599724e+22 	 1.371511e+39 	 8.963098e+38 	 9.537998e+12 	 2.725205e+06 	 1.591475e-07 	 3.575306e+38 	 3.559962e+38 	 1.314924e+07 	 4.046909e+02 	 4.046909e+02 	 4.210664e-01 	 9.841042e-01
18.55 		 1.200143e+11 	 1.557960e+09 	 1.594562e+22 	 1.462387e+39 	 9.557805e+38 	 1.089423e+13 	 2.549440e+06 	 1.392660e-07 	 3.572925e+38 	 3.559522e+38 	 1.468169e+07 	 3.733767e+02 	 3.733767e+02 	 4.816739e-01 	 1.144924e+00
18.60 		 1.199865e+11 	 1.570041e+09 	 1.596260e+22 	 1.553693e+39 	 1.015331e+39 	 1.251153e+13 	 2.378628e+06 	 1.211190e-07 	 3.570694e+38 	 3.559050e+38 	 1.646965e+07 	 3.502436e+02 	 3.502436e+02 	 5.544065e-01 	 1.342652e+00
18.65 		 1.200066e+11 	 1.577545e+09 	 1.596511e+22 	 1.629367e+39 	 1.064878e+39 	 1.442011e+13 	 2.215344e+06 	 1.050351e-07 	 3.568712e+38 	 3.558633e+38 	 1.855117e+07 	 3.337678e+02 	 3.337678e+02 	 6.415621e-01 	 1.584440e+00
18.70 		 1.200175e+11 	 1.582004e+09 	 1.599386e+22 	 1.675291e+39 	 1.094945e+39 	 1.668147e+13 	 2.059441e+06 	 9.073356e-08 	 3.566923e+38 	 3.558231e+38 	 2.095822e+07 	 3.219362e+02 	 3.219362e+02 	 7.453153e-01 	 1.880063e+00
18.75 		 1.200239e+11 	 1.583197e+09 	 1.597332e+22 	 1.695447e+39 	 1.108150e+39 	 1.934409e+13 	 1.912251e+06 	 7.822156e-08 	 3.565352e+38 	 3.557874e+38 	 2.371927e+07 	 3.113732e+02 	 3.113732e+02 	 8.678044e-01 	 2.239344e+00
18.80 		 1.200425e+11 	 1.583881e+09 	 1.596767e+22 	 1.704161e+39 	 1.113936e+39 	 2.249159e+13 	 1.773227e+06 	 6.721968e-08 	 3.563937e+38 	 3.557522e+38 	 2.686822e+07 	 3.021001e+02 	 3.021001e+02 	 1.011554e+00 	 2.675854e+00
18.85 		 1.200539e+11 	 1.584372e+09 	 1.596890e+22 	 1.708543e+39 	 1.116857e+39 	 2.619799e+13 	 1.642841e+06 	 5.765379e-08 	 3.562694e+38 	 3.557201e+38 	 3.044040e+07 	 2.933326e+02 	 2.933326e+02 	 1.179295e+00 	 3.204258e+00
18.90 		 1.201086e+11 	 1.582715e+09 	 1.589061e+22 	 1.709510e+39 	 1.117759e+39 	 3.051415e+13 	 1.522212e+06 	 4.952068e-08 	 3.561669e+38 	 3.556965e+38 	 3.447392e+07 	 2.841220e+02 	 2.841220e+02 	 1.374038e+00 	 3.839217e+00
18.95 		 1.200270e+11 	 1.586055e+09 	 1.601744e+22 	 1.713557e+39 	 1.120001e+39 	 3.559830e+13 	 1.409198e+06 	 4.242627e-08 	 3.560766e+38 	 3.556745e+38 	 3.900831e+07 	 2.769286e+02 	 2.769286e+02 	 1.599012e+00 	 4.605101e+00
19.00 		 1.200955e+11 	 1.584123e+09 	 1.593387e+22 	 1.712936e+39 	 1.119934e+39 	 4.156243e+13 	 1.303998e+06 	 3.630289e-08 	 3.559996e+38 	 3.556563e+38 	 4.407615e+07 	 2.683392e+02 	 2.683392e+02 	 1.857192e+00 	 5.524828e+00
