Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.47497819  	 6.47497873 
1.01285714  	 6.65916157  	 6.65916200 
1.01571429  	 6.82181316  	 6.82181354 
1.01857143  	 6.96749327  	 6.96749361 
1.02142857  	 7.09900889  	 7.09900919 
1.02428571  	 7.21820946  	 7.21820971 
1.02714286  	 7.32633266  	 7.32633288 
1.03000000  	 7.42421646  	 7.42421742 
1.03285714  	 7.51246765  	 7.51246847 
1.03571429  	 7.59159957  	 7.59160026 
1.03857143  	 7.66214270  	 7.66214328 
1.04142857  	 7.72470102  	 7.72470150 
1.04428571  	 7.77996911  	 7.77996950 
1.04714286  	 7.82869964  	 7.82869995 
1.05000000  	 7.87166353  	 7.87166378 
