Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.46588575  	 6.46588629 
1.01285714  	 6.66379233  	 6.66379276 
1.01571429  	 6.85526972  	 6.85527010 
1.01857143  	 7.04969242  	 7.04969275 
1.02142857  	 7.25444743  	 7.25444770 
1.02428571  	 7.47350740  	 7.47350761 
1.02714286  	 7.69389935  	 7.69390010 
1.03000000  	 7.87395162  	 7.87395205 
1.01000000  	 6.46588575  	 6.47419800 
1.01285714  	 6.66379233  	 6.70439400 
1.01571429  	 6.85526972  	 6.87851100 
1.01857143  	 7.04969242  	 7.01597100 
1.02142857  	 7.25444743  	 7.12814300 
1.02428571  	 7.47350740  	 7.22201700 
1.02714286  	 7.69389935  	 7.30212800 
1.03000000  	 7.87395162  	 7.37155600 
1.01000000  	 6.46588575  	 6.47419800 
1.01285714  	 6.66379233  	 6.70439400 
1.01571429  	 6.85526972  	 6.87851100 
1.01857143  	 7.04969242  	 7.01597100 
1.02142857  	 7.25444743  	 7.12814300 
1.02428571  	 7.47350740  	 7.22201700 
1.02714286  	 7.69389935  	 7.30212800 
1.03000000  	 7.87395162  	 7.37155600 
1.01000000  	 6.46588575  	 7.43247900 
1.01285714  	 6.66379233  	 7.48648900 
