Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.46544529  	 6.46544583 
1.01285714  	 6.66558374  	 6.66558418 
1.01571429  	 6.86274314  	 6.86274352 
1.01857143  	 7.06938690  	 7.06938722 
1.02088988  	 7.25283286  	 7.25283340 
1.02111210  	 7.27145622  	 7.27145643 
1.02133432  	 7.29028516  	 7.29028537 
1.02142857  	 7.29833420  	 7.29833446 
1.02155655  	 7.30932454  	 7.30932475 
1.02177877  	 7.32857554  	 7.32857652 
1.02200099  	 7.34804148  	 7.34804243 
1.02222321  	 7.36772193  	 7.36772286 
1.02244544  	 7.38761582  	 7.38761672 
1.02266766  	 7.40771813  	 7.40771900 
1.02288988  	 7.42802397  	 7.42802482 
1.02428571  	 7.55924460  	 7.55924560 
