Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.48074743  	 6.48074798 
1.01296000  	 6.76779882  	 6.76779925
1.01300000  	 6.77304573  	 6.77304627 
1.01314286  	 6.79250983  	 6.79251017 
1.01328571  	 6.81328458  	 6.81328492 
1.01342857  	 6.83568065  	 6.83568099 
1.01357143  	 6.86012238  	 6.86012271 
1.01371429  	 6.88722816  	 6.88722849 
1.01385714  	 6.91794185  	 6.91794217 
1.01400000  	 6.95383733  	 6.95383763 
1.01414286  	 6.99782905  	 6.99782935 
1.01428571  	 7.05645090  	 7.05645119 
1.01442857  	 7.15137707  	 7.15137734 
1.01443000  	 7.15273876  	 7.15273930 
1.01447071  	 7.19922598  	 7.19922622 
1.01451143  	 7.27774688  	 7.27774710 
