Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.47885264  	 6.47885318 
1.01285714  	 6.63907172  	 6.63907215 
1.01571429  	 6.77205278  	 6.77205316 
1.01857143  	 6.88451135  	 6.88451170 
1.02142857  	 6.98117609  	 6.98117640 
1.02428571  	 7.06541857  	 7.06541886 
1.02714286  	 7.13969169  	 7.13969196 
1.03000000  	 7.20581721  	 7.20581745 
1.03285714  	 7.26517808  	 7.26517831 
1.03571429  	 7.31884462  	 7.31884483 
1.03857143  	 7.36765918  	 7.36766015 
1.04142857  	 7.41229648  	 7.41229738 
1.04428571  	 7.45330471  	 7.45330555 
1.04714286  	 7.49113350  	 7.49113427 
1.05000000  	 7.52615799  	 7.52615871 
