Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.48242930  	 6.48242984 
1.01285714  	 6.64896721  	 6.64896764 
1.01571429  	 6.78832673  	 6.78832712 
1.01857143  	 6.90692381  	 6.90692415 
1.02142857  	 7.00933072  	 7.00933103 
1.02428571  	 7.09885299  	 7.09885327 
1.02714286  	 7.17792656  	 7.17792682 
1.03000000  	 7.24838152  	 7.24838175 
1.03285714  	 7.31162148  	 7.31162169 
1.03571429  	 7.36874282  	 7.36874380 
1.03857143  	 7.42061701  	 7.42061791 
1.04142857  	 7.46794905  	 7.46794987 
1.04428571  	 7.51131522  	 7.51131598 
1.04714286  	 7.55119260  	 7.55119329 
1.05000000  	 7.58798379  	 7.58798443 
