Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.48757433  	 6.48757487 
1.01031857  	 6.51555245  	 6.51555288 
1.01063714  	 6.54424090  	 6.54424132 
1.01095571  	 6.57390495  	 6.57390536 
1.01127429  	 6.60489540  	 6.60489581 
1.01159286  	 6.63769457  	 6.63769497 
1.01191143  	 6.67300901  	 6.67300940 
1.01223000  	 6.71194012  	 6.71194050 
1.01254857  	 6.75637377  	 6.75637414 
1.01286714  	 6.81000999  	 6.81001034 
1.01318571  	 6.88203711  	 6.88203745 
1.01350429  	 7.01245045  	 7.01245077 
1.01360000  	 7.10697393  	 7.10697447 
1.01366143  	 7.38785753  	 7.38785779 
