Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.47354547  	 6.47354601 
1.01285714  	 6.65928739  	 6.65928782 
1.01571429  	 6.82466149  	 6.82466187 
1.01857143  	 6.97414064  	 6.97414098 
1.02142857  	 7.11031320  	 7.11031349 
1.02428571  	 7.23474573  	 7.23474598 
1.02714286  	 7.34833825  	 7.34833847 
1.03000000  	 7.45155035  	 7.45155127 
1.03285714  	 7.54461187  	 7.54461265 
1.03571429  	 7.62772194  	 7.62772259 
1.03857143  	 7.70122241  	 7.70122294 
1.04142857  	 7.76568698  	 7.76568740 
1.04428571  	 7.82190777  	 7.82190811 
1.04714286  	 7.87081693  	 7.87081719 
1.05000000  	 7.91338465  	 7.91338557 
