logMdot 	 Edot/LEdd    	 log10(Ts)   
19.00   	 1.02180819  	 6.98708252 
18.90   	 1.02256836  	 7.03107433 
18.80   	 1.02342115  	 7.07687750 
18.70   	 1.02431380  	 7.12339391 
18.60   	 1.02517891  	 7.16927961 
18.50   	 1.02591893  	 7.21248473 
18.40   	 1.02642982  	 7.25072929 
18.30   	 1.02665942  	 7.28309705 
18.20   	 1.02658614  	 7.30925820 
18.10   	 1.02620832  	 7.32899391 
18.00   	 1.02554533  	 7.34209749 
17.90   	 1.02463752  	 7.34832533 
17.80   	 1.02354678  	 7.34735086 
17.70   	 1.02234593  	 7.33874660 
17.60   	 1.02111248  	 7.32198771 
17.50   	 1.01992107  	 7.29651127 
17.40   	 1.01882539  	 7.26192965 
17.30   	 1.01785847  	 7.21821884 
