logMdot 	 Edot/LEdd    	 log10(Ts)   
17.20   	 1.01702994  	 7.16472113 
17.25   	 1.01742516  	 7.19137615 
17.30   	 1.01785422  	 7.21567844 
17.35   	 1.01831704  	 7.23759783 
17.40   	 1.01881243  	 7.25711683 
17.50   	 1.01988935  	 7.28905853 
17.55   	 1.02046194  	 7.30159291 
17.60   	 1.02104885  	 7.31194437 
17.65   	 1.02164236  	 7.32020627 
17.70   	 1.02223402  	 7.32646679 
17.75   	 1.02281459  	 7.33080890 
17.80   	 1.02337505  	 7.33330502 
17.85   	 1.02390601  	 7.33401855 
17.90   	 1.02440037  	 7.33299482 
17.95   	 1.02484476  	 7.33029851 
18.00   	 1.02523707  	 7.32594277 
18.05   	 1.02557100  	 7.31995612 
18.10   	 1.02583634  	 7.31238173 
18.15   	 1.02603436  	 7.30321825 
18.20   	 1.02616072  	 7.29248905 
18.25   	 1.02621398  	 7.28020966 
18.30   	 1.02619387  	 7.26639539 
18.35   	 1.02610117  	 7.25106227 
18.40   	 1.02593760  	 7.23422791 
18.45   	 1.02570571  	 7.21591188 
18.50   	 1.02540948  	 7.19613131 
18.55   	 1.02505062  	 7.17492792 
18.60   	 1.02463558  	 7.15231489 
18.65   	 1.02416840  	 7.12833255 
18.70   	 1.02365417  	 7.10302260 
18.75   	 1.02309847  	 7.07643978 
18.80   	 1.02250745  	 7.04866313 
18.85   	 1.02188878  	 7.01981939 
18.90   	 1.02125221  	 6.99011733 
18.95   	 1.02060941  	 6.95984365 
19.00   	 1.01997136  	 6.92929062 
