logMdot 	 Edot/LEdd    	 log10(Ts)   
17.80   	 1.01908483  	 7.27263418 
17.85   	 1.01966871  	 7.28297950 
17.90   	 1.02025470  	 7.29107374 
17.95   	 1.02083252  	 7.29695284 
18.00   	 1.02139321  	 7.30064564 
18.05   	 1.02192786  	 7.30219703 
18.10   	 1.02242249  	 7.30168464 
18.15   	 1.02287226  	 7.29913452 
18.20   	 1.02326904  	 7.29459956 
18.25   	 1.02360162  	 7.28815410 
18.30   	 1.02386995  	 7.27982083 
18.35   	 1.02406522  	 7.26967618 
18.40   	 1.02418878  	 7.25777213 
18.45   	 1.02424140  	 7.24421301 
18.50   	 1.02422349  	 7.22922278 
18.55   	 1.02415037  	 7.21311028 
18.60   	 1.02402849  	 7.19621042 
18.65   	 1.02387109  	 7.17873689 
18.70   	 1.02368647  	 7.16088527 
18.75   	 1.02348379  	 7.14283105 
18.80   	 1.02327206  	 7.12474296 
18.85   	 1.02305995  	 7.10678570 
18.90   	 1.02285600  	 7.08912076 
18.95   	 1.02266842  	 7.07190599 
19.00   	 1.02250569  	 7.05531314 
