logMdot 	 Edot/LEdd    	 log10(Ts)   
19.00   	 1.02045878  	 6.91752286 
18.90   	 1.02149346  	 6.96923168 
18.80   	 1.02262974  	 7.02242046 
18.70   	 1.02381938  	 7.07585985 
18.60   	 1.02497898  	 7.12754743 
18.50   	 1.02600482  	 7.17515420 
18.40   	 1.02683206  	 7.21761941 
18.30   	 1.02742047  	 7.25457792 
18.20   	 1.02774125  	 7.28586194 
18.10   	 1.02777650  	 7.31138962 
18.00   	 1.02752247  	 7.33112750 
17.90   	 1.02699116  	 7.34506358 
17.80   	 1.02621245  	 7.35317061 
17.70   	 1.02523288  	 7.35535889 
17.60   	 1.02411263  	 7.35141681 
17.50   	 1.02292152  	 7.34093726 
17.40   	 1.02172861  	 7.32326075 
17.30   	 1.02059533  	 7.29744845 
17.20   	 1.01956739  	 7.26241223 
