logMdot 	 Edot/LEdd    	 log10(Ts)   
17.05   	 1.01827214  	 7.18928691 
17.10   	 1.01866810  	 7.21529989 
17.20   	 1.01956080  	 7.25903715 
17.30   	 1.02057939  	 7.29250116 
17.40   	 1.02169652  	 7.31691924 
17.50   	 1.02286591  	 7.33350589 
17.60   	 1.02402704  	 7.34320810 
17.70   	 1.02511336  	 7.34665031 
17.80   	 1.02605763  	 7.34419276 
17.90   	 1.02680335  	 7.33599891 
18.00   	 1.02730642  	 7.32211819 
18.10   	 1.02753885  	 7.30254405 
18.20   	 1.02748926  	 7.27726053 
18.30   	 1.02716176  	 7.24627697 
18.40   	 1.02657335  	 7.20965330 
18.50   	 1.02575141  	 7.16752896 
18.60   	 1.02473287  	 7.12019664 
18.70   	 1.02357223  	 7.06843917 
18.75   	 1.02296646  	 7.04149128 
18.80   	 1.02236186  	 7.01427410 
18.85   	 1.02176866  	 6.98704273 
18.90   	 1.02119397  	 6.95997903 
18.95   	 1.02064313  	 6.93322791 
19.00   	 1.02012089  	 6.90693606 
