logMdot 	 Edot/LEdd    	 log10(Ts)   
17.20   	 1.01445924  	 7.19056218 
17.30   	 1.01543628  	 7.23372963 
17.40   	 1.01646582  	 7.26966961 
17.50   	 1.01778062  	 7.29643234 
17.60   	 1.01910590  	 7.31566772 
17.70   	 1.02046853  	 7.32736845 
17.80   	 1.02181481  	 7.33198610 
17.90   	 1.02306414  	 7.32995217 
18.00   	 1.02414017  	 7.32155783 
18.10   	 1.02498480  	 7.30696793 
18.20   	 1.02554976  	 7.28630566 
18.30   	 1.02580666  	 7.25966928 
18.40   	 1.02574680  	 7.22716953 
18.50   	 1.02538074  	 7.18896506 
18.60   	 1.02473718  	 7.14534744 
18.70   	 1.02387182  	 7.09712633 
18.80   	 1.02288765  	 7.04643288 
18.90   	 1.02188706  	 6.99546184 
19.00   	 1.02093494  	 6.94552750 
